city,total,married,separated,divorced,widow,single
jacareacanga,10779.78072684,1228.73718338,57.78712714,110.56258478,213.03558632,9169.65824522
jacunda,41222.41229414,11733.88426544,310.63243303,716.87678206,1461.60862163,26999.41019198
juruti,34834.32494064,6920.02609688,247.82470004,187.78028123,760.80964089,26717.8842216
limoeiro do ajuru,18791.91466362,4048.78741007,46.99174044,54.19946383,358.85270348,14283.0833458
mae do rio,22041.39507744,5079.16334579,234.02762482,212.68372974,911.67867274,15603.84170435
magalhaes barata,6407.70522411,1333.94138758,24.06592461,27.41126242,227.65225203,4794.63439747
maraba,185155.73382512,48634.2069371,1476.02202679,3472.44674383,5008.79074487,126564.26737253
maracana,22371.26998755,4552.51217695,36.23070762,251.40035025,833.11247066,16698.01428207
marapanim,21443.90062468,4507.30082722,203.91139611,210.93717502,758.50718772,15763.24403861
marituba,88135.8069885,21592.20578323,670.19716764,1355.36832107,2543.0263636,61975.00935296
medicilandia,21677.9729908,6800.15484654,48.79292007,232.57970686,500.30699937,14096.13851796
melgaco,17488.30644566,2108.63849524,28.39462387,91.50862111,119.53473911,15140.22996633
mocajuba,20391.93121467,3932.00502215,19.67602871,134.24385035,539.33432571,15766.67198775
moju,53321.38732246,7691.66236015,472.05979027,415.82957294,1132.14147879,43609.69412031
monte alegre,43775.66906756,8908.23373316,340.17171292,395.58033315,1407.19856095,32724.48472738
muana,25960.84818679,5269.12164934,153.32436794,107.4097347,500.5922402,19930.40019461
nova esperanca do piria,15008.2188631,2602.53788013,48.07608711,47.30388814,150.40097642,12159.9000313
nova ipixuna,11517.28887492,2920.89178085,24.24977274,119.18069012,338.56422674,8114.40240447
nova timboteua,11266.86377028,2595.39507068,68.90391648,110.3616302,386.28465793,8105.91849499
novo progresso,20159.62097884,5481.96322089,130.84819575,290.31517218,352.81246518,13903.68192484
novo repartimento,47604.94661707,12312.52373923,267.52390531,448.41209148,1154.51238924,33421.97449181
obidos,37788.0275819,9390.47370398,144.45914096,318.4912082,1257.80900618,26676.79452258
oeiras do para,20488.60958541,2889.42962707,62.29467774,42.50294596,291.79149843,17202.59083621
oriximina,47556.69850127,11395.47156426,257.50037843,480.99562689,1220.05700289,34202.6739288
ourem,12964.66486258,3247.81392043,47.23186486,61.92402868,442.39815016,9165.29689845
ourilandia do norte,21640.51903346,5534.12891499,162.11401713,294.1173162,406.88521259,15243.27357255
pacaja,30879.34576728,8247.43426534,366.53070313,431.03923292,789.53524781,21044.80631808
palestina do para,5899.87773277,1464.90384179,37.60135519,39.68820106,230.81209974,4126.87223499
paragominas,76343.35192321,17839.12884754,533.98484236,1158.7453559,1752.74260697,55058.75027044
