city,total,married,separated,divorced,widow,single
sume,12342,4196,158,144,678,7166
taperoa,10484,3948,161,130,446,5798
tavares,10496,4419,37,38,380,5622
teixeira,9310,2814,35,108,348,6006
tenorio,1937,806,8,0,89,1035
triunfo,7030,2302,26,16,254,4433
uirauna,11296,4543,89,82,413,6168
umbuzeiro,7133,1943,54,66,218,4852
varzea,1742,669,13,4,74,983
vieiropolis,3835,1853,37,0,116,1830
vista serrana,2483,957,4,0,66,1457
zabele,1521,693,25,0,69,734
