city,total,regular,military_and_gov,irregular,entrepreneur,employers
sul brasil,757.16,719.1,1685.35,521.99,654.32,3116.76
taio,1109.6,956.78,1617.14,647.76,1278.57,2415.12
tangara,1144.45,1119.7,2795.53,831.52,999.21,4998.01
tigrinhos,760.92,861.1,1247.73,558.97,668.67,1800
tijucas,1268.42,1187.08,1690.49,739.25,1400.36,3329.13
timbe do sul,947.15,1016.68,1142.62,568.69,991.13,3334.12
timbo,1318.73,1214.46,1781.9,830.24,1616.96,2713.49
timbo grande,859.2,816.91,1344.86,558.32,882.09,3777.68
tres barras,930.87,1037.19,1607.53,501.98,810.96,1901.04
treviso,1087.66,1129.25,1561.71,820.21,1064.6,1939.8
treze de maio,962.75,909.25,1249.68,717.11,976.59,2259.31
treze tilias,1408.91,1104.03,2242.33,524.85,2092.27,1541.98
trombudo central,1278.13,1099.22,1553.37,749.1,1294.16,5280.6
tubarao,1479.07,1232.64,2665.36,839.19,1652.56,4387.79
tunapolis,1107.95,836.17,1241.82,569.27,1300.34,2765.68
turvo,1146.71,1013.57,1206.18,776.14,1386.42,3386
uniao do oeste,912.38,800.09,1314.77,520.21,997.67,1050.65
urubici,948.02,809.72,1462.4,571.38,1007.19,5585.87
urupema,840.15,793.81,1311.93,451.44,859.12,2247.14
urussanga,1235.86,1171.74,2866.06,1052.55,1157.68,2650.87
vargeao,960.31,865.88,1498.92,498.91,1152.03,1822.7
vargem,792.46,793.45,1058.35,518.01,842.47,1143.93
vargem bonita,1101.73,1018.85,1657.27,995.85,1143.95,2622.87
vidal ramos,1037.63,967.85,1254.61,592.53,1072.75,2790.42
videira,1339.88,1141.93,1550.56,829.16,1915.92,3606.79
vitor meireles,1002.4,1069.14,1218.43,537.7,859.73,5303.87
witmarsum,1031.95,908.97,2222.16,674.14,1185.56,1415.72
xanxere,1341.12,1111.05,2017.52,690.87,1645.89,4141.03
xavantina,1324.24,952.42,1298.68,722.07,1494.01,3435.55
xaxim,1098.68,958.25,1752.9,737.54,1348.95,3503.57
zortea,1183.65,1030.4,1462.72,498.1,1095.37,7496.65
