city,total,has_children,children_born,children_borned_live,children_borned_dead
dom cavati,2258,1432,6637,6131,506
dom joaquim,1890,1123,5648,5303,345
dom silverio,2309,1326,6173,5716,457
dom vicoso,1285,779,3090,2870,220
dona eusebia,2089,1393,5531,5074,457
dores de campos,3486,2157,7200,7007,193
dores de guanhaes,2138,1248,6644,6226,418
dores do indaia,6177,3928,14765,14270,495
dores do turvo,2037,1182,6317,5945,372
doresopolis,556,343,1213,1167,46
douradoquara,724,475,1725,1648,77
durande,2626,1571,6962,6494,468
eloi mendes,8907,5697,19481,18449,1032
engenheiro caldas,3788,2368,10914,10159,755
engenheiro navarro,2702,1662,7874,7526,349
entre folhas,2008,1170,6094,5916,179
entre rios de minas,5489,3213,12845,12335,510
ervalia,6870,4012,18651,17674,977
esmeraldas,17828,11312,41813,39144,2670
espera feliz,8157,5161,19139,18016,1123
espinosa,12105,6855,32462,31193,1270
espirito santo do dourado,1638,1044,4026,3939,87
estiva,4055,2595,9689,9276,412
estrela dalva,1092,681,2825,2743,82
estrela do indaia,1524,987,3858,3633,225
estrela do sul,2705,1822,6274,5979,295
eugenopolis,3997,2686,10229,9682,547
ewbank da camara,1411,889,3219,3101,117
extrema,7826,5167,17112,16142,970
fama,969,575,2225,2082,143
faria lemos,1417,956,3501,3299,203
felicio dos santos,2228,1255,6971,6624,347
felisburgo,2469,1484,7422,7025,397
felixlandia,5083,3200,12815,12322,493
fernandes tourinho,1025,693,3839,3385,455
ferros,4984,2921,14606,13791,815
fervedouro,3670,2280,9687,9085,602
florestal,2265,1315,5303,5007,296
formiga,27019,16559,57491,54922,2568
formoso,2367,1446,6799,6598,201
fortaleza de minas,1505,950,3479,3235,244
fortuna de minas,940,532,2352,2295,58
francisco badaro,4062,2317,12434,11597,837
francisco dumont,1613,1014,4964,4738,225
francisco sa,9061,5330,24237,23068,1169
franciscopolis,2644,1473,8484,7938,546
frei gaspar,2356,1401,7698,7150,548
frei inocencio,3268,2033,8963,8337,626
frei lagonegro,1208,653,3813,3577,235
fronteira,3631,2343,7604,7186,417
fronteira dos vales,1856,1085,5490,5257,233
fruta de leite,2529,1367,8194,7816,378
frutal,19522,13052,41552,39465,2087
funilandia,1236,790,3263,3073,190
galileia,2974,1928,8034,7459,575
gameleiras,1995,1161,6041,5701,340
glaucilandia,1068,605,2977,2759,218
goiabeira,1097,682,2877,2679,198
goiana,1401,859,3195,3119,76
goncalves,1575,971,4166,3925,241
gonzaga,2222,1270,6944,6303,641
gouveia,4968,2739,12955,12258,698
governador valadares,106310,63686,241229,228015,13214
grao mogol,5054,2968,14145,13452,693
grupiara,580,350,1246,1141,105
guanhaes,11257,6652,28969,27696,1273
guape,5161,3210,12242,11608,633
guaraciaba,4240,2452,12602,11684,918
guaraciama,1703,998,4317,4188,129
guaranesia,7402,4579,16756,15812,945
guarani,3455,2094,7702,7366,336
guarara,1649,1056,4063,3660,403
guarda-mor,2458,1604,5490,5096,394
guaxupe,19688,12170,42501,40057,2443
guidoval,3012,1993,7883,7423,461
guimarania,2539,1639,6048,5834,214
guiricema,3960,2434,10540,9974,566
gurinhata,2694,1803,6079,5822,258
heliodora,2252,1415,4843,4582,261
iapu,3892,2522,11830,11144,686
ibertioga,2034,1227,5056,4753,303
ibia,8501,5650,18980,18036,944
ibiai,2654,1597,7711,7385,326
ibiracatu,2395,1326,8358,7761,596
ibiraci,4060,2589,8924,8425,499
ibirite,51986,32295,111988,105774,6213
ibitiura de minas,1311,914,3210,3078,131
ibituruna,1068,622,2428,2334,93
icarai de minas,3357,1831,10249,9928,321
igarape,9630,5839,21843,20617,1226
igaratinga,2908,1729,7180,6849,330
iguatama,3459,2132,6887,6504,383
ijaci,2008,1329,4576,4391,185
ilicinea,4042,2493,9207,8826,381
imbe de minas,2237,1327,6221,5962,259
inconfidentes,2558,1547,5941,5497,444
indaiabira,2755,1538,8318,7797,521
indianopolis,1992,1322,4755,4561,194
ingai,950,600,2446,2301,145
inhapim,10092,6030,27189,25751,1438
inhauma,2041,1221,4777,4572,205
inimutaba,2578,1454,6070,5844,226
ipaba,5522,3346,15330,14587,743
ipanema,6905,4302,17786,16178,1608
ipatinga,89919,52655,184305,175254,9051
ipiacu,1604,1122,3996,3794,202
