city,total
piedade de ponte nova,1397
piedade do rio grande,2162
piedade dos gerais,1661
pimenta,3289
pingo-d'agua,1487
pintopolis,2247
piracema,2839
pirajuba,1149
piranga,6097
pirangucu,2060
piranguinho,3000
pirapetinga,4148
pirapora,17291
pirauba,4527
pitangui,8187
piumhi,12504
planura,3565
poco fundo,7045
pocos de caldas,59091
pocrane,4190
pompeu,9617
ponte nova,21159
ponto chique,1237
ponto dos volantes,3644
porteirinha,14221
porto firme,3601
pote,5042
pouso alegre,44741
pouso alto,2770
prados,3051
prata,10509
pratapolis,4106
pratinha,1426
presidente bernardes,2247
presidente juscelino,1619
presidente kubitschek,928
presidente olegario,7506
prudente de morais,2840
quartel geral,1297
queluzito,790
raposos,4997
raul soares,9935
recreio,4188
reduto,2442
resende costa,4022
resplendor,7317
ressaquinha,1918
riachinho,2760
riacho dos machados,3330
ribeirao das neves,94371
ribeirao vermelho,1448
rio acima,2765
rio casca,5405
rio do prado,1946
rio doce,973
rio espera,2631
rio manso,1744
rio novo,3375
rio paranaiba,5073
rio pardo de minas,10195
rio piracicaba,5348
rio pomba,6772
rio preto,2011
rio vermelho,5013
ritapolis,2202
rochedo de minas,796
rodeiro,2458
romaria,1690
rosario da limeira,1732
rubelita,3586
rubim,3667
sabara,42569
sabinopolis,5680
sacramento,9047
salinas,14232
salto da divisa,2373
santa barbara,8715
santa barbara do leste,3069
santa barbara do monte verde,970
santa barbara do tugurio,1899
santa cruz de minas,2787
santa cruz de salinas,1937
santa cruz do escalvado,2016
santa efigenia de minas,1662
santa fe de minas,1541
santa helena de minas,2126
santa juliana,3721
santa luzia,68145
santa margarida,5747
santa maria de itabira,3589
santa maria do salto,2144
santa maria do suacui,4795
santa rita de caldas,4495
santa rita de ibitipoca,1603
santa rita de jacutinga,2131
santa rita de minas,2337
santa rita do itueto,2637
santa rita do sapucai,12558
santa rosa da serra,1360
santa vitoria,7513
santana da vargem,3096
santana de cataguases,1531
santana de pirapama,2956
santana do deserto,1570
santana do garambeu,781
santana do jacare,1757
santana do manhuacu,3521
santana do paraiso,7352
santana do riacho,1259
santana dos montes,1572
santo antonio do amparo,6181
santo antonio do aventureiro,1558
santo antonio do grama,1694
santo antonio do itambe,1521
santo antonio do jacinto,4392
santo antonio do monte,10360
santo antonio do retiro,2348
santo antonio do rio abaixo,644
santo hipolito,1225
santos dumont,18706
sao bento abade,1509
sao bras do suacui,1224
sao domingos das dores,2256
sao domingos do prata,7007
sao felix de minas,1417
sao francisco,16771
