city,total,adequada,semi_adequada,inadequada
piritiba,4880,1315,3319,246
planaltino,1925,0,1601,324
planalto,5319,108,4666,544
pocoes,10867,3412,6667,788
pojuca,6404,2906,3164,334
ponto novo,3583,1207,1749,627
porto seguro,23905,4066,18263,1575
potiragua,2671,853,1501,317
prado,6122,571,4684,868
presidente dutra,3392,228,2908,256
presidente janio quadros,3770,279,2759,733
presidente tancredo neves,4227,385,2901,941
queimadas,5766,987,3815,964
quijingue,5776,13,4439,1324
quixabeira,2497,25,2200,271
rafael jambeiro,5002,147,3745,1110
remanso,8440,2610,4668,1162
retirolandia,2766,64,2312,390
riachao das neves,4776,8,3874,894
riachao do jacuipe,8051,2274,5163,614
riacho de santana,6379,34,5640,705
ribeira do amparo,3275,26,2582,666
ribeira do pombal,11374,729,9643,1002
ribeirao do largo,3381,353,2412,616
rio de contas,3331,34,2981,316
rio do antonio,3404,18,2822,564
rio do pires,2774,125,2323,325
rio real,7832,131,6097,1604
rodelas,1469,678,776,16
ruy barbosa,7376,2233,4319,824
salinas da margarida,2366,8,2344,14
salvador,651008,383974,264952,2082
santa barbara,4270,834,2678,758
santa brigida,3810,465,2329,1016
santa cruz cabralia,5758,901,4242,615
santa cruz da vitoria,1533,354,1025,155
santa ines,2817,852,1901,64
santa luzia,3689,752,2291,647
santa maria da vitoria,9259,109,8458,692
santa rita de cassia,5357,105,4315,936
santa teresinha,2187,17,1917,253
santaluz,7302,1800,4601,902
santana,5758,79,5489,190
santanopolis,2004,20,1349,634
santo amaro,14048,4953,8215,880
santo antonio de jesus,19655,7514,11405,735
santo estevao,9439,60,7602,1777
sao desiderio,4152,915,2684,552
sao domingos,2217,593,1456,167
sao felipe,4958,128,4018,812
sao felix,3189,1055,1690,444
sao felix do coribe,2730,40,2527,162
sao francisco do conde,6185,1554,4186,445
sao gabriel,4148,112,3701,335
sao goncalo dos campos,6097,43,5145,908
sao jose da vitoria,1515,386,996,133
sao jose do jacuipe,2346,691,1381,274
sao miguel das matas,2533,128,1936,469
sao sebastiao do passe,9362,2830,5464,1068
sapeacu,4023,61,3384,578
satiro dias,3847,536,2534,777
saubara,2639,207,2317,115
saude,3051,822,2087,142
seabra,9205,38,8556,611
sebastiao laranjeiras,1995,335,1435,224
senhor do bonfim,17084,6673,9587,823
sento se,6768,859,5141,768
serra do ramalho,6727,0,6277,450
serra dourada,4077,819,2801,457
serra preta,4173,87,3301,784
serrinha,19207,4753,12291,2164
serrolandia,3525,47,3236,242
simoes filho,23121,6879,15175,1066
sitio do mato,2130,0,1729,401
sitio do quinto,3780,292,3031,457
sobradinho,4854,2058,2670,126
souto soares,3307,0,2694,613
tabocas do brejo velho,2839,6,2666,167
tanhacu,4532,477,3225,830
tanque novo,3631,6,3175,450
tanquinho,1737,429,1185,123
taperoa,3550,616,2225,709
tapiramuta,3769,5,3374,390
teixeira de freitas,27210,8295,18422,493
teodoro sampaio,2246,363,1708,176
teofilandia,4325,675,2301,1349
teolandia,2803,281,1568,955
terra nova,3012,816,2037,159
tremedal,5016,15,4109,892
tucano,11831,2289,7370,2172
uaua,6089,32,5080,977
ubaira,4940,1255,2876,809
ubaitaba,5444,1778,2839,827
ubata,5303,1767,3008,529
uibai,3388,5,3101,282
umburanas,3010,0,2347,663
una,7413,915,4864,1634
urandi,3564,361,2956,248
urucuca,5060,1679,2950,431
utinga,3931,231,3295,404
valenca,19209,6810,10135,2264
valente,5028,1141,3549,338
varzea da roca,3465,20,2965,480
varzea do poco,2099,306,1622,171
varzea nova,3369,196,2789,384
varzedo,2198,178,1765,255
vera cruz,7650,1595,5680,375
vereda,1776,227,1413,136
vitoria da conquista,63557,21567,39402,2587
wagner,2005,37,1736,232
wanderley,2892,30,2269,592
wenceslau guimaraes,4596,537,3043,1016
xique-xique,9427,374,7699,1354
