city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
mogi guacu,9.9,4.53,4.01,1.25,1.01,0.24
ourinhos,10.28,6.09,3.83,1.14,0.82,0.21
pindamonhangaba,8.52,4.47,4.08,0.84,1.26,0.17
piracicaba,8.93,4.55,1.35,0.23,0.26,0.05
poa,7.52,3.3,0.24,0.23,0.1,0.02
praia grande,12.11,5.72,0.42,0.02,0.15,0.0
presidente prudente,5.5,2.87,1.51,0.49,0.17,0.02
ribeirao pires,7.06,2.99,1.24,0.23,0.42,0.07
rio claro,8.37,4.34,0.93,0.81,0.17,0.15
salto,8.27,4.06,0.95,0.31,0.21,0.05
santa barbara d'oeste,7.14,3.54,0.94,0.15,0.19,0.01
santana de parnaiba,13.88,6.2,1.94,0.38,0.53,0.04
santos,7.19,3.79,0.16,0.04,0.06,0.01
sao caetano do sul,3.09,1.29,0,0.0,0,0.0
sao carlos,8.29,4.16,3.34,0.56,0.71,0.12
sao jose do rio preto,5.51,2.71,1.27,0.17,0.18,0.02
sao vicente,11.13,5.96,0.05,0.2,0.01,0.01
sertaozinho,13.07,6.3,1.89,0.07,0.43,0.01
sumare,9.35,4.71,1.19,0.23,0.32,0.04
suzano,11.92,5.87,3.36,0.43,0.8,0.1
taboao da serra,9.47,5.02,0.04,0.01,0,0.0
tatui,9.56,6.39,4.3,0.87,0.92,0.1
taubate,6.71,3.68,1.74,0.46,0.43,0.11
valinhos,6.79,2.97,1.71,0.24,0.39,0.03
varzea paulista,8.03,5.06,1.12,0.01,0.25,0.0
votorantim,6.14,3.3,0.8,0.3,0.14,0.02
mais de 500.000 ,9,4.48,0.38,0.14,0.11,0.02
campinas,8.16,4.4,0.83,0.27,0.2,0.03
guarulhos,10.16,5.26,0.79,0.15,0.23,0.05
osasco,9.27,4.59,0.7,0.67,0.17,0.03
ribeirao preto,7.25,4.19,0.28,0.23,0.09,0.07
santo andre,7.97,3.79,0.08,0.0,0.02,0.0
sao bernardo do campo,9.1,3.88,0.25,0.08,0.06,0.02
sao jose dos campos,7.07,3.67,0.79,0.19,0.18,0.05
sao paulo,9.15,4.58,0.28,0.09,0.08,0.02
sorocaba,6.58,3.42,0.48,0.09,0.13,0.01
