city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
capivari,7.61,5.0,2.01,1.09,6.45,4.25,24.93,15.03
casa branca,8.91,6.62,2.46,1.99,7.31,4.82,24.22,18.44
cerquilho,4.88,3.56,0.94,0.87,3.38,2.05,20.92,14.24
conchal,12.24,9.64,4.21,2.83,12.22,8.93,32.32,25.92
cordeiropolis,6.72,4.78,1.24,0.9,5.52,3.5,23.55,16.16
cravinhos,9.05,6.4,2.77,1.82,7.51,4.57,29.83,21.36
cunha,14.15,10.52,4.06,1.98,11.92,7.59,43.65,30.76
descalvado,8.16,5.5,2.06,1.21,6.38,3.83,25.94,16.51
dois corregos,11.01,8.26,4.66,2.82,8.23,7.07,29.97,19.31
dracena,8.97,5.82,1.08,1.03,4.89,2.69,32.72,19.9
espirito santo do pinhal,9.38,5.71,2,0.72,7.62,3.84,27.47,17.78
garca,11.73,7.34,1.96,0.9,9.55,4.67,34.63,23.5
guaira,8.93,5.58,2.03,0.94,7.26,3.87,31.84,18.85
guararapes,9.4,6.76,1.59,1.19,6.26,3.94,33.9,22.49
guararema,12.04,7.17,2.43,0.86,11.55,5.57,35.54,23.15
guariba,14.25,9.91,3.27,2.08,14.33,8.68,43.4,32.48
ibate,9.57,7.33,2.45,1.64,8.33,6.17,35.48,25.95
igaracu do tiete,12.6,9.52,3.07,1.64,10.61,7.08,47.32,35.28
igarapava,9,8.14,2.97,2.45,7.77,7.13,23.88,19.27
iguape,9.82,8.0,2.06,1.48,8.19,5.4,29.75,22.09
ilha solteira,5.23,4.27,0.96,0.82,3.54,2.31,25.02,15.11
ilhabela,9.31,5.31,3.5,1.16,9.7,4.79,26.05,17.26
ipero,8.2,5.04,2.82,1.31,7.28,4.1,28.86,18.96
iracemapolis,6.32,3.44,1.56,0.89,4.78,2.25,24.83,13.58
itai,12.49,8.27,3.32,1.5,10.82,6.56,42.3,27.52
itapolis,9.73,7.03,2.09,1.61,7.3,5.05,29.83,19.67
itarare,9.2,6.51,2.2,1.1,7.36,4.57,31,22.2
itupeva,8.66,4.69,2.18,0.97,8.03,3.82,32.85,18.85
ituverava,9.13,6.57,2.67,1.69,7.41,5.2,27.69,16.84
jaguariuna,7.53,4.33,1.62,0.91,5.83,2.72,31.03,17.59
jales,9.08,5.71,1.43,0.86,5.66,2.7,35.98,19.93
jardinopolis,7.58,5.39,1.97,1.4,5.79,3.93,27.24,17.49
jarinu,11.78,7.14,2.51,1.04,12.8,5.92,30,22.13
jose bonifacio,9.84,5.92,2.09,0.78,6.84,3.64,36.24,21.64
juquitiba,13.72,10.83,2.81,1.98,12.9,8.51,48.18,36.77
laranjal paulista,7.19,4.76,1.65,1.18,5.67,3.53,21.17,13.06
louveira,8.15,4.32,2.12,1.04,7.16,3.44,31.63,18.65
mairinque,7.21,5.41,1.68,0.73,6.64,4.09,26.89,19.49
martinopolis,12.61,7.53,1.85,0.72,9.47,4.2,42.09,27.46
