city,total,married,separated,divorced,widow,single
igarape do meio,9623.65185474,2964.71476202,14.77291507,45.86335101,348.36855356,6249.93227308
igarape grande,9041.57810057,3275.28719214,29.40773317,110.68601252,433.03575797,5193.16140477
imperatriz,205147.68769632,72194.93129017,2887.14352569,5136.08104494,9493.67286987,115435.85896565
itaipava do grajau,10808.27606077,3386.75288242,61.95988823,9.7909505,381.35430384,6968.41803578
itapecuru mirim,49137.67323663,10545.31967174,328.0988367,401.32833039,1742.32465413,36120.60174367
itinga do maranhao,19709.95524004,5821.52801704,174.36657946,432.59485447,740.51567566,12540.95011341
jatoba,6625.23264007,2066.39118581,29.4307259,15.3841896,312.84882297,4201.17771579
jenipapo dos vieiras,11536.53286298,3304.46033923,51.83068032,49.32107321,327.07467228,7803.84609794
joao lisboa,16472.44175363,5395.56745821,172.89356317,307.60352962,812.6960522,9783.68115043
joselandia,12236.74667585,4474.01521988,34.80049027,78.48481061,645.36703511,7004.07911998
junco do maranhao,3145.68344979,778.46378464,10.50959536,9.45382518,118.78556316,2228.47068145
lago da pedra,36768.81226807,11821.14134014,189.50865052,328.91960642,1948.01611056,22481.22656043
lago do junco,8490.71073449,2820.88658642,24.22579183,35.79526448,320.64067299,5289.16241877
lago dos rodrigues,6306.99425026,2289.62305732,17.34297879,24.89417106,367.73125494,3607.40278815
lago verde,11734.68432231,2909.62383507,77.20189259,54.41716899,476.8271106,8216.61431506
lagoa do mato,8812.53235647,3696.22836916,52.20147485,57.71435057,355.86689247,4650.52126942
lagoa grande do maranhao,7975.75210945,2126.5013202,3.38750998,37.95882617,138.0239672,5669.8804859
lajeado novo,5541.80516351,1621.36641542,20.17569683,106.51700118,191.92781955,3601.81823053
lima campos,9292.98785948,3263.14706702,45.84825097,76.91690764,500.07484142,5407.00079243
loreto,9206.81851012,2793.00914606,46.10587329,58.1166416,345.85023707,5963.7366121
luis domingues,5187.58555946,1182.42382202,9.89122642,28.79845998,206.18064864,3760.2914024
magalhaes de almeida,14096.8557648,3393.08121281,29.0688848,45.25772802,420.90474428,10208.54319489
maracacume,14660.29179078,3607.2657228,62.76982478,105.47616303,481.46897171,10403.31110846
maraja do sena,5982.34470643,1698.30461532,12.78817239,34.53678094,107.07968625,4129.63545153
maranhaozinho,11430.74629912,2696.79871031,31.09491966,23.64203036,330.69198542,8348.51865337
mata roma,11587.8366172,3073.53765364,3.98651575,91.46726853,372.0569359,8046.78824338
matinha,17541.56214599,4088.86769712,111.21940824,105.03726442,786.53328409,12449.90449212
matoes,23811.18183412,7969.8960136,198.66366829,149.81232559,1193.44356521,14299.36626143
matoes do norte,10841.19530617,1184.09615942,8.34565107,31.06351927,210.38720377,9407.30277264
milagres do maranhao,6094.74590233,1313.55377717,8.69660497,3.99416253,173.79115154,4594.71020612
mirador,16154.14607116,5857.79952202,100.4217924,100.75288806,688.22875789,9406.94311079
miranda do norte,20004.14961728,4869.39164077,88.75067339,158.89066834,606.06357649,14281.05305829
mirinzal,11339.44553159,1997.01429107,27.80864549,62.12429065,412.11205372,8840.38625066
moncao,24170.40567595,5017.44576411,80.05184631,164.98226052,807.42242447,18100.50338054
montes altos,7460.30535134,2002.91012991,59.8378488,98.98954383,327.64203473,4970.92579407
morros,13597.12250612,2353.02305175,54.221227,88.96648771,365.82515912,10735.08658054
nina rodrigues,9281.27293718,2365.63422058,6.03930674,34.26893371,166.86567208,6708.46480407
nova colinas,3815.81899303,1340.72253526,20.78241072,15.89762608,133.75056816,2304.66585281
nova iorque,3735.04338083,1363.73555283,8.52621504,33.79557416,177.10657575,2151.87946305
nova olinda do maranhao,15150.11171173,4108.02868422,132.85644326,79.4506323,698.99886111,10130.77709084
olho d'agua das cunhas,15210.76416985,4889.97443739,128.52707338,135.43307778,682.56276569,9374.26681561
olinda nova do maranhao,10332.42650075,2196.69303022,42.23762587,53.01711651,328.93009989,7711.54862826
