city,total,regular,military_and_gov,irregular,entrepreneur,employers
carmesia,737.89,867.4,777.45,413.19,611.57,5168.64
carmo da cachoeira,800.96,667.15,875.87,540.34,1713.39,3300.77
carmo da mata,797.49,735.8,1545.11,545.4,1181.97,1611.16
carmo de minas,784.78,681.51,1387.6,551.85,1246.91,2170.5
carmo do cajuru,861.56,838.78,1128.8,533.55,986.47,3197.17
carmo do paranaiba,1049.47,817.05,1191.59,614.14,1527.17,6658.22
carmo do rio claro,948.99,768.43,1537.2,565.02,1291.1,2304.97
carmopolis de minas,941.95,790.69,1056.22,534.98,1110.19,10512.27
carneirinho,1053.77,932.73,1437.97,492.72,1455.12,5486.81
carrancas,907.2,808.83,913.9,490.56,1393.09,3785.12
carvalhopolis,828.89,733.29,999.22,499.54,861.41,2441.76
carvalhos,841.18,757.01,1025.59,421.87,851.42,8748.53
casa grande,639.63,669.15,772.36,510.48,731.69,1000
cascalho rico,1071.03,814.1,884.98,575.39,1634.44,4118.17
cassia,1065.86,879.48,2087.66,725.25,1542.34,6003.64
cataguases,1011.32,983.05,1844.38,682.18,1179.02,2284.7
catas altas,880.62,990.23,897.7,543.35,895.6,1700
catas altas da noruega,570.49,639.83,992.39,440.33,478.15,750.38
catuji,585.2,645.66,872.93,415.23,439.41,7285.56
catuti,497.94,754.06,889.84,283.35,338.46,851.47
caxambu,1468.16,770.55,1776.13,566.73,1364.12,19802.4
cedro do abaete,668.88,758.58,809.78,544.01,667.2,2400
central de minas,1054.59,683.56,867.6,437.12,1955.45,3121.1
centralina,791.34,845.41,840.49,504.73,1149.2,210
chacara,727.31,724.97,1176.53,505.05,742.61,2631.98
chale,623.69,855.07,988.93,376.06,658.37,1653.11
chapada do norte,582.24,613.21,744,418.71,546.52,-
chapada gaucha,634.78,749.52,808.05,495.71,644.84,1677.11
chiador,784.27,818.91,1401.67,539.07,712.79,1998.08
cipotanea,424.51,612.04,741.42,605.53,235.18,1932.45
claraval,936.99,724.88,1025.88,617.02,1371.8,1846.98
claro dos pocoes,544.56,622.56,733.52,388.23,619.46,841.93
claudio,919.69,839.52,1213.46,546.32,1260.2,2198.61
coimbra,714.26,722.15,1255.63,439.7,779.24,1541.5
coluna,555.95,679.33,1014.71,346.26,793.94,1258.03
comendador gomes,1011.62,864.21,1011.46,567.35,1503.95,1858.92
comercinho,511.19,739.02,921.92,322.46,406.6,648.73
conceicao da aparecida,933.98,711.72,923.03,621.36,1161.2,4527.25
conceicao da barra de minas,814.37,647.63,917.05,560.21,1288.49,4867.55
conceicao das alagoas,1329.53,1091.27,1287.69,671.39,2061.72,6531.91
conceicao das pedras,753.91,663.96,1341.89,453.22,676.31,10000
conceicao de ipanema,882.15,815.89,979.52,499.35,892.5,15829.15
conceicao do mato dentro,677.53,762.98,1055,387.56,764.05,2764.62
conceicao do para,832.9,767.27,877.03,572.25,1378.63,1719.77
conceicao do rio verde,692.62,584.47,1548.08,492.5,960.09,1528.95
conceicao dos ouros,799.72,742.42,1023.34,627.8,979.37,2185.98
conego marinho,553.44,700.45,701.07,397.98,327.81,5356.29
confins,926.96,857.79,852.79,583.87,1353.48,5344.01
congonhal,919.2,814.8,1254.45,643.99,1145.3,3321.93
congonhas,1245.37,1251.23,1692.27,587.15,1411.53,3749.62
congonhas do norte,615.71,695.58,716.96,554.36,572.93,200
conquista,1078.97,993.65,1356.39,618.92,1360.68,5779.88
conselheiro lafaiete,1162.89,1115.22,1774.95,631.24,1353.41,3301.94
conselheiro pena,785.54,839.29,1182.13,487,911.94,1846.12
consolacao,550.38,617.02,922.95,390.71,564.49,3000
contagem,1200,1111.05,1887.09,800.68,1426.92,3747.94
coqueiral,725.84,631.09,897.76,458.01,847.92,3978.38
coracao de jesus,480.57,621.99,978.26,359.93,432.12,1321.1
cordisburgo,659.21,712.05,1007.88,403.23,795.12,1494.25
cordislandia,759.04,648.52,983.07,459.23,1031.12,8366.33
corinto,769.44,713.92,1183.27,466.39,929.63,4298.11
coroaci,667.93,708.5,743.21,487.11,910.08,3110.03
coromandel,1142.66,879.07,907.81,658.67,1716.29,7203.06
coronel fabriciano,1117.3,1131.82,1490.74,704.08,1155.04,3255.04
coronel murta,436.8,602.14,732.16,292.06,359.43,866.01
coronel pacheco,744.08,685.16,1137.53,553.47,842.88,2469.55
coronel xavier chaves,879.99,859.02,1610.69,472.35,927.36,3206.3
corrego danta,868.48,741.79,845.9,532.77,981.91,6044.14
corrego do bom jesus,674.48,821.1,1633.76,498.51,543.79,1767.1
corrego fundo,821.42,822.35,975.08,690.93,829.77,1360.75
corrego novo,607.79,582.42,725.46,394.68,663.06,2879.23
couto de magalhaes de minas,656.41,706.77,967.74,419.63,583.93,1454.94
crisolita,608.22,561.51,785.08,427.56,741.84,10683.77
cristais,1160.6,686.85,924.96,1621.56,1582.92,4004.73
cristalia,552.03,607.28,812.68,443.38,514.79,2000
cristiano otoni,806.93,706,875.26,496.53,1200.19,2193.24
cristina,725.23,760.54,1296.47,533.76,668.15,4187.3
crucilandia,685,658.43,903.87,535.44,740.28,1431.41
cruzeiro da fortaleza,1342.64,696.77,1527.25,545.45,3716.66,-
cruzilia,859.34,694.23,1044.03,511.11,883.04,5254.45
cuparaque,684.9,746.71,906.72,423.93,1042.26,681.16
curral de dentro,656.15,805.09,748.37,375.78,1067.38,1005.73
curvelo,897.05,815.59,1661.99,522.63,1117.84,2773.42
datas,568.34,626.12,958.97,380.22,514.29,1669.6
delfim moreira,712.76,763.65,982.57,431.07,772.5,2171.51
delfinopolis,1073.33,830.99,2127.23,719.56,2148.02,2300.57
