city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
itaquaquecetuba,68124,2122,4519,39940,3658,17885
itarare,11942,470,1344,5454,755,3920
itariri,3448,196,509,1167,184,1392
itatiba,27854,1450,1929,18779,440,5255
itatinga,4914,122,269,3154,287,1082
itirapina,4364,176,221,2428,464,1075
itirapua,2009,122,123,916,84,765
itobi,2784,103,93,1182,147,1260
itu,43734,3037,3207,28342,1383,7765
itupeva,8967,647,886,5394,283,1757
ituverava,11538,605,1103,5671,724,3435
jaborandi,2024,79,111,1144,31,659
jaboticabal,21429,1347,1636,12689,1580,4178
jacarei,56727,2107,3729,37231,3125,10534
jaci,1548,60,116,1059,9,305
jacupiranga,4409,168,377,2186,249,1429
jaguariuna,10726,459,465,7720,262,1820
jales,14220,447,1082,6503,1215,4973
jambeiro,1158,72,120,670,86,210
jandira,28046,1253,2179,17511,1529,5572
jardinopolis,10090,414,965,6257,275,2180
jarinu,5798,683,1155,1929,121,1910
jau,38447,1857,1893,26061,1371,7265
jeriquara,1365,28,33,501,35,768
joanopolis,3640,200,366,1457,149,1467
joao ramalho,1245,13,71,976,45,140
jose bonifacio,9022,271,813,4585,405,2949
julio mesquita,1406,36,95,818,191,266
jumirim,822,33,37,592,28,132
jundiai,102197,3111,5552,72023,4673,16838
junqueiropolis,5217,99,498,1898,522,2199
juquia,4541,152,428,2333,490,1138
juquitiba,7951,1131,1602,2818,383,2017
lagoinha,1350,73,122,442,116,597
laranjal paulista,6635,309,457,4058,172,1638
lavinia,1650,48,136,768,122,577
lavrinhas,1691,117,193,943,31,407
leme,26179,1017,1514,16446,1680,5522
lencois paulista,17853,681,1138,12912,458,2665
limeira,76712,3383,5192,45996,3165,18975
lindoia,2134,96,189,1289,50,510
lins,21401,1167,1442,11964,2796,4033
lorena,20917,1304,1702,11282,2062,4567
lourdes,682,13,38,236,76,319
louveira,8603,247,637,5596,436,1688
lucelia,5568,260,549,3014,196,1549
lucianopolis,755,35,25,355,20,320
luis antonio,2191,97,107,1558,47,382
luiziania,1439,30,143,694,62,511
lupercio,1576,86,67,887,56,480
lutecia,858,18,92,417,71,259
macatuba,4947,75,244,3503,185,940
macaubal,2301,57,195,758,181,1110
macedonia,1130,40,155,355,48,533
magda,975,13,82,319,144,416
mairinque,12210,914,1355,7317,376,2249
mairipora,17699,1667,2529,7777,1263,4463
manduri,2607,87,154,1463,120,783
maraba paulista,982,22,69,488,59,343
maracai,4108,125,393,2733,122,735
marapoama,769,6,82,348,6,327
mariapolis,1034,12,71,726,63,163
marilia,61885,3717,4280,37408,4706,11773
marinopolis,783,38,229,156,89,271
martinopolis,6529,189,602,2649,465,2623
matao,21429,964,1439,15083,542,3401
maua,103887,2517,6524,69528,4144,21174
mendonca,994,5,62,398,45,485
meridiano,1197,13,103,508,82,491
mesopolis,445,6,35,229,13,162
miguelopolis,5991,184,693,3031,331,1752
mineiros do tiete,4009,66,150,2739,101,953
mira estrela,766,15,79,313,71,288
miracatu,5980,154,592,1859,704,2671
mirandopolis,7467,294,877,3508,1195,1593
mirante do paranapanema,3669,30,312,1111,337,1879
mirassol,15491,830,1444,9194,660,3363
mirassolandia,1027,30,110,459,23,404
mococa,20968,1206,1225,13598,475,4464
mogi guacu,37767,1320,1822,25479,1259,7886
moji das cruzes,94408,3532,5873,54268,7086,23650
moji-mirim,25176,1470,1348,16782,953,4622
mombuca,928,76,28,554,12,259
moncoes,682,30,52,197,134,269
mongagua,8018,198,880,3232,595,3114
monte alegre do sul,2347,169,179,1301,68,631
monte alto,14102,339,807,9203,398,3356
monte aprazivel,5873,180,565,2657,419,2051
monte azul paulista,6214,499,564,3534,158,1460
monte castelo,1286,44,160,476,73,533
monte mor,11291,539,829,6164,587,3172
monteiro lobato,1028,95,106,458,55,314
morro agudo,8078,289,629,5391,299,1471
morungaba,3802,138,164,2285,69,1146
motuca,1057,9,23,914,0,112
murutinga do sul,1173,16,157,499,54,447
nantes,742,16,30,483,70,144
narandiba,923,22,77,464,56,304
natividade da serra,1746,155,203,583,98,706
nazare paulista,3847,585,859,1126,100,1179
neves paulista,3116,140,331,1217,230,1197
nhandeara,2762,83,291,983,363,1042
nipoa,1217,13,61,527,43,573
nova alianca,1614,121,192,777,38,486
nova campina,1634,15,64,907,219,429
nova canaa paulista,403,0,65,57,54,227
nova castilho,222,5,0,143,35,39
nova europa,2598,53,104,1885,106,451
nova granada,5291,245,449,3063,202,1331
nova guataporanga,729,8,39,331,64,287
nova independencia,632,19,25,346,16,226
nova luzitania,921,7,67,509,88,250
nova odessa,13288,354,838,8994,582,2521
novais,856,43,60,418,70,266
novo horizonte,10648,482,723,5314,512,3617
nuporanga,2275,61,208,1319,90,597
ocaucu,1551,35,101,752,58,605
