city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
encantado,6.97,1.99,4.69,0.46,0.7,0.0
encruzilhada do sul,19.28,11.29,29.6,21.33,7.1,3.94
estancia velha,5.56,2.41,1.46,0.25,0.51,0.06
estrela,5.83,2.64,1.74,0.34,0.12,0.14
flores da cunha,5.04,3.5,13.47,3.21,0.48,0.17
frederico westphalen,11.81,5.21,19.69,4.77,2.87,0.43
garibaldi,5.43,1.95,9.81,0.72,0.71,0.06
gramado,5.22,2.42,2.9,0.13,0.69,0.0
guapore,8.03,3.31,4.6,1.76,0.48,0.0
igrejinha,6.67,3.22,0.53,0.12,0,0.0
itaqui,15.14,8.87,12.56,6.91,2.38,0.83
jaguarao,11.08,6.02,7.04,3.06,1.55,0.25
lagoa vermelha,12.08,7.25,17.08,3.26,2.5,0.44
marau,7.32,1.87,13.42,0.56,1.54,0.04
nova prata,6.76,3.26,6.89,1.13,1.02,0.07
nova santa rita,10.62,3.53,11.54,2.19,2.25,0.19
osorio,7.34,4.58,2,0.17,0.38,0.03
palmeira das missoes,19.39,10.82,22.28,7.63,5.84,1.12
panambi,6.02,2.44,10.13,3.29,0.73,0.14
portao,9.44,4.48,1.52,0.16,0.56,0.0
quarai,9.89,6.58,5.25,4.55,0.72,0.53
rio pardo,14.8,8.86,19.58,6.26,4.07,1.51
rosario do sul,16.95,10.47,11.4,8.4,2.49,1.66
santa vitoria do palmar,12.48,7.97,8.8,4.03,1.6,0.55
santiago,8.02,3.68,11.31,2.9,1.18,0.21
santo antonio da patrulha,13.41,6.62,13.44,3.6,4.1,0.97
sao francisco de paula,14.93,9.99,21.77,6.97,5.41,1.15
sao jeronimo,14.74,7.81,16.86,16.91,4.8,2.13
sao jose do norte,31.43,19.22,18.91,5.31,7.85,1.83
sao lourenco do sul,9.83,5.88,34.03,28.52,2.92,1.53
sao luiz gonzaga,13.42,6.72,14.43,5.06,2.63,0.57
sao marcos,7.33,3.38,11.33,1.77,1.66,0.31
sao sebastiao do cai,7.97,4.29,2.97,0.24,0.78,0.0
sao sepe,14.15,8.68,20.61,8.87,3.29,1.14
sarandi,10.11,5.59,4.2,2.41,0.17,0.38
soledade,18.08,9.92,18.89,9.27,5.91,0.91
taquari,11.18,6.42,8.76,1.12,2.18,0.05
teutonia,3.29,1.32,2.34,0.26,0.05,0.05
torres,7.19,3.52,3.63,0.25,1,0.04
tramandai,10.39,5.22,0.51,0.06,0.24,0.06
tres coroas,7.26,2.57,1.7,0.51,0.6,0.0
tres de maio,8.98,5.71,20.48,4.86,2.42,0.33
tres passos,6.38,4.21,18.88,1.93,1.78,0.07
triunfo,14.69,6.91,15.69,1.47,3.62,0.32
tupancireta,11.4,5.24,23.43,14.13,3.33,1.13
vera cruz,10.16,4.51,5.9,2.93,1.33,0.18
veranopolis,5.78,2.64,10.08,0.7,0.87,0.08
de 50.001 a 100.000 ,9.4,4.9,8.52,4.4,1.49,0.58
alegrete,13.15,6.96,8.76,5.98,1.66,1.12
cachoeira do sul,13.45,6.71,15.21,6.61,3.23,0.87
camaqua,13.78,8.45,17.58,11.04,4.2,2.26
campo bom,5.87,2.56,0.35,0.07,0.02,0.02
cangucu,14.74,8.27,60.9,51.73,11.26,5.93
carazinho,9.36,4.03,5.88,2.38,0.59,0.3
cruz alta,10.21,5.38,10.49,3.5,1.4,0.42
erechim,7.75,3.63,6.7,1.5,0.78,0.07
esteio,5.17,2.68,0.38,0.08,0.05,0.05
farroupilha,5.61,2.61,4.01,1.52,0.45,0.05
guaiba,7.25,4.14,1.67,0.37,0.41,0.05
ijui,8.45,4.56,11.69,2.54,1.19,0.07
lajeado,5.45,3.03,3.5,0.08,0.52,0.0
montenegro,8.95,4.1,3.36,0.3,0.81,0.04
parobe,7.31,3.92,2.42,0.4,0.71,0.13
santa rosa,7.25,3.34,10.22,0.93,0.74,0.06
sant'ana do livramento,8.28,5.24,6.15,5.23,1.14,0.72
santo angelo,9.22,4.77,6.04,0.86,1.06,0.05
sao borja,14.28,6.58,6.4,7.19,1.31,0.87
sao gabriel,16.09,9.4,12.9,10.74,3.47,1.87
sapiranga,9.51,3.81,0.98,0.4,0.35,0.03
taquara,10.18,5.11,5.75,1.45,1.83,0.23
vacaria,11.05,6.04,4.56,2.07,0.69,0.27
venancio aires,8.05,4.11,18.14,5.2,2.51,0.57
de 100.001 a 500.000 ,7.59,3.74,2.08,0.79,0.42,0.11
alvorada,7.83,3.79,1.11,0.27,0.36,0.05
bage,11.09,5.13,3.35,1.34,0.83,0.2
bento goncalves,5.28,2.04,1.7,0.58,0.21,0.09
cachoeirinha,5.23,2.82,0.5,0.44,0.07,0.03
canoas,6.15,3.14,1.14,1.12,0.22,0.17
caxias do sul,4.85,2.25,2.67,0.42,0.24,0.04
