city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
sao pedro das missoes,-,7.86,-,73.98,-,18.17
sao pedro do butia,1.84,29.07,94.23,70.3,3.93,0.63
sao valentim,20.96,27.5,25.6,48.17,53.43,24.33
sao valentim do sul,5.16,17.7,59.19,72.16,35.65,10.14
sao valerio do sul,0.15,7.21,69.57,89.66,30.28,3.13
sao vendelino,47.07,79.09,47.91,20.28,5.02,0.63
sede nova,3,11.64,50.86,78.86,46.14,9.49
selbach,18.97,26.12,45.75,68.4,35.28,5.49
senador salgado filho,1.09,19.03,38.5,72.52,60.41,8.46
serio,0.65,9.95,23.16,70.94,76.2,19.11
sete de setembro,0.73,10.4,69.11,87.04,30.16,2.56
severiano de almeida,25.8,39.35,25.36,42.28,48.84,18.37
silveira martins,27.49,32.23,37.43,60.52,35.08,7.26
tabai,-,6.67,54.81,85.57,45.19,7.77
taquarucu do sul,1.18,22.43,35.17,74.73,63.65,2.84
tio hugo,-,9.92,-,81.98,-,8.09
toropi,0.62,0.19,18.77,89.68,80.62,10.13
travesseiro,-,6.6,57.83,89.26,42.17,4.14
tres arroios,23.99,47.94,30.59,47.52,45.42,4.54
tres forquilhas,0.2,8.8,25.94,87.34,73.86,3.86
tres palmeiras,-,21.61,42.03,68.84,57.97,9.54
tunas,0.17,0.87,45.64,63.04,54.18,36.09
tupanci do sul,9.24,40.75,35.74,45.05,55.02,14.21
tupandi,4.73,76.88,81.09,22.89,14.18,0.23
turucu,1.34,29.42,60.78,51.49,37.87,19.09
ubiretama,0.13,4.41,51.89,89.39,47.98,6.2
uniao da serra,0.2,25.98,59.68,67.9,40.12,6.11
unistalda,0.26,0.84,45.83,59.62,53.91,39.54
vale verde,0.8,27.84,67.96,54.98,31.24,17.18
vanini,0.78,54.02,60.35,45.35,38.87,0.63
vespasiano correa,5.27,32.96,57.99,64.15,36.73,2.89
victor graeff,4.96,22.19,36.61,72.53,58.43,5.28
vila flores,19.5,45.5,56.48,49.14,24.03,5.36
vila langaro,4.87,39.47,25.31,58.17,69.81,2.36
vila maria,-,52.87,77.34,46.84,22.66,0.3
vila nova do sul,26.5,42.65,35.19,30.81,38.31,26.55
vista alegre,3.9,12.12,40.78,58.32,55.32,29.56
vista alegre do prata,19.39,27.54,56.03,60.38,24.59,12.08
vista gaucha,2.98,14.68,31.44,65.58,65.59,19.75
vitoria das missoes,1.96,5.72,81.79,91.34,16.26,2.94
westfalia,-,73.47,-,26.07,-,0.46
de 5.001 a 10.000 ,19.72,30.18,47.03,57.04,33.25,12.79
