city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
marcelino ramos,7.52,6.42,1.98,1.14,5.6,3.98,19.52,16.07
mata,9.52,7.52,3.14,1.52,7.54,4.96,23.16,18.02
minas do leao,14.78,10.25,2.88,1.83,14.09,7.56,42.37,30.87
morro redondo,12.23,8.99,2.83,1.05,10.29,5.65,26.09,21.84
morro reuter,1.6,1.04,0.7,0.34,1.31,0.66,4.33,3.27
nova bassano,3.81,3.29,0.68,0.35,1.69,1.56,16.76,11.68
nova palma,5.86,3.62,1.32,0.73,5.19,2.36,15.4,10.31
palmitinho,11.55,8.95,3.08,1.66,9.16,6.21,38.09,26.91
pantano grande,13.75,10.55,3.38,1.13,12.71,8.69,36.57,26.46
parai,4.1,2.75,0.5,0.45,2.54,1.35,17.4,10.69
paraiso do sul,9.39,7.57,1.01,1.52,7.77,5.38,23.65,18.78
passa sete,16.55,12.84,3.78,2.3,15.39,9.95,45,38.15
passo do sobrado,8.67,5.92,2.34,1.17,6.94,4.67,22.27,14.7
paverama,7.61,6.35,1.7,0.73,5.66,4.16,20.81,17.47
pedro osorio,12.39,8.65,2.39,1.74,10.59,6.32,29.59,20.34
picada cafe,2.89,2.33,1.8,0.35,2.57,1.74,6.2,6.88
porto lucena,10.92,8.63,1.68,2.18,9.17,5.73,26.07,18.4
progresso,15.28,8.8,3.9,1.61,13.66,5.82,37.88,25.63
rodeio bonito,9.34,7.93,1.6,0.86,7.81,5.31,29.08,24.79
rondinha,7.5,4.26,2.04,0.7,4.88,2.59,21.97,10.29
roque gonzales,10.17,7.1,1.51,1.19,8,4.59,29.89,18.93
salvador do sul,4.16,2.31,0.42,0.5,3.55,1.64,11.64,7.27
santa barbara do sul,7.87,6.73,1.5,0.76,6.21,5.12,27.71,19.45
santa clara do sul,3.84,3.88,0.8,0.95,3.93,2.32,7.62,11.51
santa maria do herval,3.22,1.91,0.75,0.87,2.12,1.18,12.62,5.92
santana da boa vista,17.53,13.97,3.19,1.37,15.54,10.26,37.66,31.55
sao jose do ouro,8.24,6.04,1.14,1,5.9,3.26,26.01,18.67
sao martinho,7.57,6.15,1.11,1.32,5.34,3.14,24.78,17.54
sao miguel das missoes,11.74,9.06,3.18,1.86,9.43,6.81,36.39,23.68
sao nicolau,19.94,12.87,3.22,0.72,17.67,10.24,49.56,29.47
sao paulo das missoes,6.04,6.22,1.49,1.84,5.02,4.3,15.17,14.93
sao vicente do sul,9.69,7.51,1.5,1.19,7.33,5.48,29.79,20.58
segredo,14.85,9.81,2.93,1.97,14.24,7.74,38.65,26.56
sentinela do sul,10.98,7.57,2.33,0.86,8.68,5.37,28.53,20.19
