estacaounidadeexaminada;2
rgumentou;2
existem;3
entretanto;6
disponibilizadas;1
nem;5
somatorio;2
quantidades;5
informadas;1
termos;14
remessa;15
generos;9
inferior;2
atestadas;1
notas;10
fiscais;9
aquisicao;16
controles;16
estoques;2
alim;1
enticios;1
adquiridos;18
estao;15
maneira;4
eficiente;1
guias;15
recebimento;14
central;2
localizado;2
coteja;1
las;1
estabelecimentos;1
ensino;2
quantitativos;9
equivalentes;2
possui;8
atestos;2
contabilizam;1
compra;6
agregada;1
mes;7
porem;10
entregas;6
global;3
uma;28
data;14
parceladas;1
variando;1
carnes;1
oriundos;4
agricultura;4
familiar;5
parcelada;1
pratica;3
portanto;5
ha;12
estoque;12
regist;2
ros;1
semanalmente;1
efetuado;2
exclusivamente;7
espelha;1
fluxo;1
apresenta;4
planilha;7
escola;17
designacao;2
preenchidos;1
momento;6
despacho;1
funcionar;2
imprime;1
corrige;1
mao;1
impressos;1
impedindo;1
interpretacao;2
correta;1
certeza;3
quando;11
entrega;18
todos;9
produto;10
disponibilizado;3
entrevista;5
gestor;14
estes;5
registro;13
destas;2
ntregas;1
totalmente;2
confiaveis;1
possuem;4
semelhante;1
mesmos;4
problemas;3
apontados;2
impressas;1
corrigido;2
remessas;1
compararam;2
amostra;6
tomando;2
referencia;3
ano;12
fidedignas;1
seguir;8
comparativo;1
guia;7
diferenca;3
kg;47
carne;16
bovina;16
maio;9
salsicha;4
frango;8
peito;4
abril;6
arroz;8
marco;5
ultimo;3
comparou;1
via;3
equiva;1
lentes;1
selecionou;1
seis;2
sintetiza;1
achados;1
enviados;3
alime;2
nticios;1
preco;18
unitario;3
quantidade;12
adquirida;2
enviada;2
coxa;4
sobrecoxa;4
leite;6
c;31
lt;2
hot;2
dog;2
fornecidos;8
analisando;2
constantes;4
quadros;1
constata;7
houve;20
diferencas;1
significativas;2
exemplo;4
apena;1
computando;1
exercicios;4
perfaz;1
litros;7
nota;8
fiscal;5
mesmo;14
inspecao;10
dia;12
havia;8
informacao;5
confirmada;2
inventario;2
neste;3
interim;2
novas;2
outra;2
inconsistencia;1
verificada;1
emitida;1
ultima;1
ocorreu;5
item;3
posto;1
isso;7
exist;1
encia;1
salientar;3
virtude;2
deficiencia;1
imprecisoes;1
mencionadas;1
emitir;2
opiniao;1
ocorrencia;6
pagamento;19
superfaturamento;3
apontar;1
configuram;1
razoavel;1
atraves;1
termo;4
qual;5
adq;1
uirido;1
consta;2
itens;7
serem;2
faltam;1
alguns;6
posteriormente;2
afirmam;1
referente;9
demais;6
consideracoes;3
iremos;3
adequar;2
melhor;3
con;3
trole;1
informou;8
realizariam;1
arma;1
zem;1
tampouco;3
impropriedades;4
apontadas;8
avaliacao;6
estruturacao;1
intuito;2
constituido;3
membros;16
formalmente;2
designados;2
indicacao;1
pelos;16
segmentos;1
processo;9
escolha;2
representantes;2
elaborado;4
egimento;1
i;10
nterno;1
atos;2
seu;3
regimento;6
documentos;27
relacionados;3
objeto;6
adicionalmente;1
presidente;8
visita;7
locais;3
onde;5
reune;1
lei;9
alterado;1
pe;6
la;1
aprovado;1
composicao;2
segue;2
disposto;3
comprovacao;6
assembleia;1
consignad;1
ata;5
pais;3
sociedade;1
civil;1
forneceu;1
formal;2
deg;2
pre;1
ve;3
nomeacao;1
conselheiros;1
ato;2
especifico;3
prefeito;5
possua;1
estrutura;2
propria;5
reunioes;9
convocadas;1
dependencias;3
infraestrutura;1
mesas;1
cadeiras;1
computadores;1
impressoras;1
arquivos;2
informado;2
q;3
uando;1
necessario;3
coloca;1
disposicao;1
veiculo;1
proprio;7
transporte;2
emitiu;1
pareceres;1
rados;1
conselhos;1
igecon;1
vencidos;4
deteriorados;4
qualidade;3
localizavam;1
seleca;1
recebidos;4
manufaturados;1
industrializados;1
estavam;13
dentro;1
validade;6
sinais;2
deterioracao;3
decorrentes;1
fungos;1
produtores;1
estragados;3
mofo;5
haviam;3
ntregues;1
anterior;2
inquirir;1
merendeiras;9
porque;4
terem;3
aceitado;1
naquelas;1
afirmaram;2
recebiam;1
eram;7
rapidamente;1
tempo;5
detectar;1
relatos;1
comum;2
nestas;2
fotos;4
foto;14
cenouras;2
bacia;1
bananas;2
mamoes;1
descartados;1
merendeira;1
mandioca;4
encontrada;3
corte;1
transversal;1
demonstrando;2
impropria;3
mamao;2
passado;1
estragadas;2
mandiocas;3
banana;2
enviou;1
pelas;2
casinh;1
manifestam;1
of;33
b;13
vem;4
cortada;3
facilitando;2
verduras;1
algumas;7
vezes;3
chegam;5
murchas;1
machucadas;1
ja;21
otimo;1
pago;4
grande;2
chega;1
sempre;2
necessidade;4
selecionar;1
murchos;1
macaxeira;1
cenoura;1
questao;1
so;5
pontas;1
escuras;1
estava;4
feito;4
selecao;2
suficiente;6
bom;2
pagos;2
todavia;12
qualquer;2
documentacao;10
comprove;2
venio;1
extensao;2
agroflorestal;1
producao;2
seaprof;2
deste;9
convenio;1
essa;3
origem;3
