city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
presidente janio quadros,44.1,34.04,17.33,3.84,48.54,32.74,82.03,73.64
retirolandia,28.15,19.21,8.17,2.23,30.54,15.91,69.76,54.53
ribeira do amparo,45.99,35.59,24.86,8.92,49.98,39.34,74.68,68.34
rio de contas,26.55,20.07,7.37,3.01,25.68,16.62,59.58,48.0
rio do antonio,35.22,28.44,14.08,3.94,37.93,28.8,68.06,63.85
rio do pires,33.04,27.34,13.24,4.24,34,27.11,66.26,58.43
salinas da margarida,15.64,12.04,6.74,3.51,15.83,11.71,37.04,30.23
santa barbara,31.01,22.23,12.01,5.56,31.33,19.74,68.54,53.78
santa brigida,48.89,34.08,27.38,7.16,54.13,37.28,80.03,70.81
santa ines,34.21,28.26,12.06,4.51,34.94,27.51,69.71,62.53
santa luzia,35.52,29.89,17.19,7.75,39.9,31.92,63.01,60.58
sao felix,23.1,15.01,9.88,3.12,23.24,14.62,57.36,41.75
sao felix do coribe,23.47,16.83,5.79,2.49,25.48,15.65,62.84,51.82
sao gabriel,27.19,19.56,11.4,3.93,31.39,19.11,59.06,49.95
sao jose do jacuipe,36.66,28.56,14.54,5.44,40.27,27.0,74.05,65.04
sao miguel das matas,29.37,24.61,9.59,3.81,29.26,23.44,63.61,59.34
sapeacu,25.68,15.88,6.36,1.91,25.52,13.8,65.01,46.85
satiro dias,41.33,30.37,21.02,7.78,44.77,31.52,71.69,63.14
saubara,19.21,14.57,7.43,3.55,18.98,12.9,45.32,36.16
saude,32.34,21.74,12,3.93,35.03,20.55,61.79,49.33
sebastiao laranjeiras,33.48,24.78,12.89,3.65,37.11,25.98,68.26,64.35
serra dourada,30.11,23.85,9.28,3.25,32.8,22.98,69.61,57.81
serra preta,33.85,27.78,11.41,5.6,34.89,24.94,69.31,62.33
serrolandia,33.17,22.61,12.56,4.1,34.33,21.0,65.89,52.05
sitio do mato,29.82,21.02,13.26,5.12,34.96,22.2,59.36,52.88
sitio do quinto,47.35,37.98,24.21,5.81,51.78,41.96,82.08,76.52
souto soares,25.92,20.92,9.62,3.49,27.33,19.59,63.51,57.62
tabocas do brejo velho,39.26,29.38,14.2,4.39,44.07,29.38,75.28,68.96
tanque novo,36.71,27.81,12.84,3.64,40.46,27.18,71.63,67.33
taperoa,36.33,27.21,21.78,6.87,41.15,30.28,60.07,59.99
tapiramuta,35.04,23.61,15.84,4.48,40.6,26.61,68.24,60.11
teolandia,43.36,30.8,23.27,7.5,49.27,35.13,78.76,74.91
terra nova,18.91,13.08,5.54,2.1,18.23,10.6,55.13,40.7
tremedal,42.75,30.6,13.66,2.98,46.97,27.48,80.51,67.67
ubaira,34.77,29.87,13.4,5.47,37.71,30.48,68.87,64.33
uibai,22.33,16.58,9.04,3.68,23.1,15.01,48.54,38.62
umburanas,41.17,25.39,21.2,3.7,48.65,27.84,73.91,67.22
urandi,28.25,23.26,7.16,3.14,30.99,21.16,68.45,62.73
urucuca,31.18,21.91,14.66,5.69,34.59,22.2,59.29,48.71
utinga,29.93,20.97,12.99,3.5,31.7,21.63,66.03,52.51
varzea da roca,34.54,28.96,12.54,5.04,37.33,27.9,70.68,65.33
varzea nova,32.24,23.57,15.57,4.23,36.21,23.78,59.84,53.33
wanderley,37.87,24.74,13.95,3.18,45.84,25.91,74.09,60.05
de 20.001 a 50.000 ,30.83,22.97,13.29,4.84,33.26,22.72,63.77,55.27
alcobaca,30.31,23.59,11.5,4.44,33.88,24.63,64.03,57.74
amargosa,28.02,20.85,9.09,3.64,27.35,18.52,61.23,52.22
amelia rodrigues,17,13.22,5.45,2.88,16.8,11.83,51.01,37.99
anage,38.64,33.87,14.59,5.22,43.72,32.77,76.29,69.61
baixa grande,29.7,25.56,8.05,4.24,30.74,23.43,69.97,63.09
barra,35.12,23.59,19.89,5.94,39.19,26.1,63.03,55.09
barra da estiva,30.89,18.03,10.53,1.89,34.75,17.95,71.22,53.61
barra do choca,35.68,27.71,13.85,4.17,42.92,29.03,79.21,68.52
belmonte,30.72,24.76,18.39,6.88,33.18,26.75,49.86,49.18
boquira,32.91,25.81,12.68,4.77,34.59,24.39,65.76,58.29
cachoeira,21.9,16.09,10.1,5.22,21.46,15.27,51.69,40.33
cacule,25.09,20.17,7.47,2.1,25.1,16.69,58.2,54.79
caetite,30.71,20.42,11.6,3.02,32.49,20.11,62.69,51.18
camacan,29.12,22.82,11.8,5.75,32.54,22.26,61.66,54.35
camamu,37.7,26.65,21.41,7.33,42.4,30.06,64.95,58.11
campo alegre de lourdes,37.21,27.96,18.43,5.95,41.42,29.67,70.9,60.82
