city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
itarantim,58.47,69.8,20.21,17.18,21.32,13.02
itatim,1.4,2.04,68.67,84.37,29.93,13.59
itirucu,5.68,43.55,77.63,48.18,16.69,8.27
itororo,59.25,67.34,24.45,23.12,16.3,9.53
ituacu,2.46,7.16,36.62,47.6,60.92,45.24
iuiu,4.86,12.21,54.47,53.88,40.67,33.91
jacaraci,4.82,5.32,59.85,80.22,35.32,14.45
jaguaripe,2.82,4.01,43.07,49.65,54.1,46.34
jandaira,0.09,2.56,49.68,72.45,50.23,24.99
jiquirica,18.87,26.78,15.28,21.43,65.85,51.79
jitauna,36.78,43.59,15.37,32.3,47.85,24.11
jucurucu,12.26,30.13,22.35,22.37,65.39,47.5
jussara,0.14,0.84,66.69,90.84,33.17,8.32
lagoa real,0.31,1.54,46.4,36.88,53.29,61.58
lencois,36.44,53.6,38.12,29.5,25.43,16.9
licinio de almeida,0.34,1.41,71.34,79.82,28.32,18.78
macajuba,17.15,42.6,41.83,24.73,41.02,32.67
macarani,58.49,73.25,23.89,15.16,17.61,11.59
madre de deus,86.74,91.55,13.2,8.45,0.07,-
mairi,24.03,46.19,27.77,28.83,48.2,24.98
malhada,0.73,8.05,59.7,65.25,39.58,26.71
manoel vitorino,21.95,1.52,26.34,57.48,51.71,41.01
mansidao,9.64,0.14,47.35,72.0,43.02,27.85
marau,5.38,7.52,19.89,50.35,74.73,42.13
marcionilio souza,1.34,5.1,56.5,72.74,42.16,22.16
mascote,15.8,40.81,61.9,41.49,22.3,17.7
matina,21.42,1.31,11.47,61.66,67.11,37.02
milagres,0.92,3.69,74.62,85.25,24.46,11.06
mirangaba,5.37,16.82,53.3,56.56,41.33,26.62
mirante,0.51,19.24,14.12,7.61,85.37,73.15
mortugaba,0.7,1.63,47.94,63.55,51.36,34.82
mucuge,13.5,30.96,52.01,55.01,34.49,14.04
mulungu do morro,0.19,0.27,40.39,57.42,59.43,42.3
muquem de sao francisco,0.05,5.05,51.66,67.25,48.28,27.7
nilo pecanha,17.03,26.21,39.95,35.74,43.03,38.05
nordestina,0.24,1.2,24.52,48.95,75.23,49.85
nova canaa,33.91,42.76,8.28,15.09,57.81,42.15
novo horizonte,0.1,1.02,69.29,86.92,30.62,12.06
novo triunfo,27.77,50.82,27.28,23.27,44.95,25.91
ourolandia,0.29,5.89,55.57,80.14,44.15,13.97
pau brasil,44,60.53,21.7,15.01,34.3,24.46
pe de serra,21.12,2.69,25.85,62.2,53.02,35.11
pedro alexandre,0.06,2.06,22.71,32.87,77.23,65.07
piata,0.09,4.51,78.09,63.32,21.81,32.17
pindai,1.27,0.79,50.59,56.08,48.14,43.13
pintadas,29.3,47.56,22.8,24.56,47.9,27.88
piripa,0.84,3.34,36.91,61.3,62.24,35.35
ponto novo,41.28,9.78,16.67,73.89,42.05,16.33
presidente dutra,9.82,6.76,66.13,91.04,24.06,2.2
presidente janio quadros,7.96,23.07,16.1,23.5,75.95,53.43
retirolandia,3.25,16.11,50.94,64.73,45.81,19.16
ribeira do amparo,1.28,0.43,44.21,75.85,54.51,23.72
rio de contas,0.93,20.64,72.32,56.92,26.75,22.44
rio do antonio,1.8,6.51,42.5,60.62,55.7,32.88
rio do pires,6.09,0.74,49.64,71.04,44.27,28.22
salinas da margarida,1.52,11.43,93.96,86.9,4.52,1.67
santa barbara,24.17,5.3,28.15,65.31,47.68,29.39
santa brigida,14.78,30.83,21.13,32.97,64.09,36.2
santa ines,37.27,62.46,55.34,32.52,7.38,5.02
santa luzia,27.84,40.29,26.45,24.86,45.71,34.85
sao felix,46.97,56.83,19.07,17.75,33.96,25.41
sao felix do coribe,1.1,1.28,77.77,92.07,21.14,6.65
sao gabriel,4.17,7.32,74.18,78.7,21.65,13.98
sao jose do jacuipe,34.76,31.29,32.92,49.27,32.32,19.45
sao miguel das matas,6.71,14.01,22.78,34.7,70.51,51.29
sapeacu,1.29,3.45,42.56,57.52,56.15,39.02
satiro dias,17.47,23.74,34.11,63.15,48.42,13.11
saubara,12.05,27.05,77.45,70.18,10.49,2.77
saude,31.87,19.75,46.35,62.02,21.78,18.23
sebastiao laranjeiras,21.3,9.17,51.03,58.71,27.67,32.12
serra dourada,21.29,0.9,41.13,64.31,37.58,34.79
serra preta,2.35,9.77,37.95,48.27,59.7,41.96
serrolandia,1.65,4.45,66.07,85.83,32.28,9.72
sitio do mato,0.14,12.04,59.91,57.54,39.95,30.43
sitio do quinto,9.18,16.07,33.53,59.2,57.28,24.73
souto soares,0.18,1.37,54.45,88.5,45.37,10.13
tabocas do brejo velho,0.18,0.16,80.24,89.61,19.58,10.23
tanque novo,0.38,1.39,51.03,63.76,48.59,34.84
taperoa,21.66,27.4,29.58,37.71,48.76,34.89
tapiramuta,0.32,2.18,75.11,86.87,24.57,10.95
teolandia,13.4,21.87,16.34,29.44,70.26,48.69
terra nova,35.87,51.69,45.02,41.4,19.1,6.91
tremedal,0.28,6.29,23.44,31.65,76.28,62.06
ubaira,31.54,33.7,19.59,27.71,48.86,38.6
uibai,0.27,1.91,70.13,95.19,29.6,2.91
umburanas,-,1.56,37.82,62.68,62.18,35.76
urandi,10.59,7.42,64.62,72.33,24.79,20.26
urucuca,46.19,59.78,31.07,22.59,22.74,17.62
utinga,4.38,1.91,71.74,85.49,23.89,12.6
varzea da roca,0.35,17.05,56.33,62.97,43.32,19.98
varzea nova,7.39,31.51,62.13,46.08,30.48,22.4
wanderley,0.69,0.86,46.8,66.44,52.5,32.7
de 20.001 a 50.000 ,19.62,26.71,43.9,50.61,36.47,22.67
alcobaca,15.14,26.75,41.34,40.28,43.52,32.97
amargosa,13.67,18.63,60.81,65.51,25.52,15.86
amelia rodrigues,24.07,8.88,56.48,80.08,19.45,11.04
anage,6.94,10.94,11.15,25.33,81.92,63.72
baixa grande,18.91,29.15,22.76,38.28,58.33,32.58
barra,7.39,15.96,45.76,51.56,46.85,32.47
barra da estiva,25.34,44.19,28.74,36.26,45.92,19.55
barra do choca,2.29,25.08,60.93,61.25,36.78,13.67
belmonte,0.79,51.81,74.72,33.66,24.49,14.53
boquira,0.38,1.1,46.42,68.81,53.2,30.08
cachoeira,33.49,44.53,31.5,37.82,35.01,17.65
cacule,51.54,15.31,19.1,72.23,29.36,12.46
caetite,18.12,31.25,43.39,34.37,38.49,34.38
camacan,58.39,64.67,24.82,25.6,16.79,9.73
camamu,19.77,31.39,31.2,40.11,49.03,28.5
campo alegre de lourdes,-,-,15.11,31.59,84.89,68.41
canarana,0.69,1.24,69.39,80.55,29.92,18.21
canavieiras,5.84,49.59,68.34,35.45,25.83,14.96
candido sales,5.1,7.28,64.05,65.46,30.85,27.26
cansancao,7.22,19.42,27.79,47.59,64.99,32.99
capim grosso,10.43,10.85,76.6,82.93,12.98,6.22
caravelas,18.01,21.14,47.74,61.94,34.25,16.92
carinhanha,2.08,5.32,59.66,63.78,38.27,30.9
castro alves,34.33,53.56,29.91,15.77,35.75,30.67
cicero dantas,25.6,40.01,42.86,43.96,31.54,16.03
coaraci,58.96,77.81,25.71,15.2,15.33,6.99
conceicao da feira,3.51,5.46,78.01,80.45,18.48,14.1
conceicao do jacuipe,0.78,4.68,75.91,84.98,23.3,10.35
conde,3.23,7.71,50.05,68.74,46.73,23.55
coracao de maria,0.24,3.55,32.74,42.65,67.02,53.8
correntina,0.45,13.94,46.82,49.04,52.72,37.02
crisopolis,0.78,4.88,52.08,72.23,47.14,22.9
curaca,26.15,33.69,27.94,32.64,45.92,33.67
encruzilhada,0.1,16.88,44.84,48.45,55.05,34.67
entre rios,1.03,9.51,66.24,72.82,32.73,17.68
esplanada,0.31,9.31,64.22,76.76,35.47,13.93
formosa do rio preto,32.76,2.67,30.02,61.2,37.22,36.13
gandu,35.33,47.81,35.85,34.16,28.82,18.02
guaratinga,23.49,39.62,30.38,26.15,46.13,34.22
iacu,21.48,27.63,55.05,53.55,23.47,18.82
ibicarai,51.98,61.48,33.77,33.61,14.25,4.91
ibirapitanga,23.26,42.67,35.17,26.8,41.57,30.53
ibotirama,4.07,26.2,79.15,58.88,16.78,14.92
iguai,39.75,51.23,17.31,20.17,42.94,28.61
inhambupe,23.37,29.13,43.69,51.71,32.94,19.16
ipiau,64.18,64.06,22.4,29.75,13.42,6.19
iraquara,3.42,4.03,73.49,76.35,23.08,19.62
irara,0.33,2.31,36.99,52.16,62.68,45.53
itabela,0.74,2.97,81.64,88.07,17.62,8.96
itacare,14.01,33.99,27.03,29.91,58.97,36.11
itajuipe,53.62,56.06,25.95,33.67,20.43,10.27
itambe,51.38,77.23,22.73,10.49,25.89,12.28
itanhem,41.31,61.94,32.45,15.0,26.24,23.05
itaparica,32.49,40.83,57.53,53.65,9.98,5.52
itapicuru,2.2,8.62,36.47,64.5,61.33,26.88
itiuba,7.04,18.15,29.6,34.82,63.36,47.03
itubera,29.07,33.36,29.68,46.71,41.24,19.92
jaguarari,32.16,54.54,33.34,30.96,34.51,14.5
jeremoabo,26.66,31.68,24.89,36.41,48.45,31.92
joao dourado,1.47,4.17,83.01,86.39,15.53,9.43
laje,14.4,19.04,21.65,39.59,63.95,41.37
lapao,25.76,8.25,55.03,83.22,19.21,8.53
livramento de nossa senhora,17.55,26.71,30.34,44.09,52.12,29.2
macaubas,2.5,23.48,74.27,66.47,23.23,10.06
maracas,0.38,6.28,60.28,71.53,39.34,22.19
maragogipe,22.79,37.71,35.38,28.89,41.83,33.4
mata de sao joao,20.62,35.95,53.6,55.8,25.78,8.24
medeiros neto,45.09,30.95,36.11,56.28,18.8,12.77
miguel calmon,25.31,36.44,36.31,49.5,38.38,14.06
morro do chapeu,23.3,7.91,43.33,67.2,33.37,24.89
mucuri,12.87,16.9,68.55,70.04,18.58,13.06
mundo novo,14.18,32.43,52.01,46.62,33.82,20.95
muritiba,10.08,12.68,52.23,65.35,37.69,21.96
mutuipe,37.51,41.86,13.89,17.58,48.6,40.56
nazare,35.69,49.67,41.28,36.11,23.03,14.22
nova soure,0.24,0.8,66.9,78.26,32.86,20.94
nova vicosa,10.02,12.62,65.81,74.67,24.17,12.71
olindina,32.78,44.64,35.35,40.29,31.87,15.07
oliveira dos brejinhos,0.31,4.18,76.58,80.41,23.11,15.41
palmas de monte alto,0.14,5.56,38.21,59.15,61.65,35.29
paramirim,12.74,27.48,54.82,58.6,32.43,13.92
paratinga,0.03,1.05,53.7,64.9,46.26,34.05
paripiranga,5.2,14.55,21,35.42,73.8,50.02
pilao arcado,0.45,0.59,31.05,39.57,68.49,59.85
pindobacu,6.1,27.14,64.02,61.42,29.88,11.45
piritiba,29.03,34.46,54.5,52.29,16.46,13.25
planalto,1.67,0.78,63.19,68.73,35.14,30.49
pocoes,36.26,62.69,38.97,22.09,24.77,15.22
pojuca,62.06,81.02,20.82,13.49,17.12,5.49
prado,14.1,11.85,49.64,60.92,36.26,27.23
presidente tancredo neves,11.62,25.17,28.89,29.84,59.5,45
queimadas,19.82,33.06,30.71,35.25,49.46,31.69
quijingue,0.14,9.31,34.7,51.59,65.17,39.1
rafael jambeiro,3.58,11.01,26.77,44.49,69.65,44.5
remanso,39.37,48.02,21.98,18.92,38.65,33.06
riachao das neves,0.25,3.54,53.83,62.58,45.92,33.89
riachao do jacuipe,39.92,56.84,27.8,28.68,32.28,14.49
riacho de santana,0.41,5.21,64.38,62.98,35.21,31.81
ribeira do pombal,7.97,23.51,67.92,67.36,24.11,9.13
rio real,2.09,6.68,44.42,68.2,53.49,25.12
ruy barbosa,37.53,49.86,30.69,31.99,31.78,18.14
santa cruz cabralia,23.71,40.89,49.65,47.8,26.64,11.31
santa maria da vitoria,1.41,10.04,74.53,71.82,24.06,18.14
santa rita de cassia,5.64,13.21,53.09,56.1,41.27,30.7
santaluz,29.4,51.71,32.28,24.21,38.32,24.09
santana,1.58,7.3,84.23,86.07,14.19,6.63
santo estevao,0.76,6.48,48.93,78.29,50.31,15.23
sao desiderio,26.9,5.91,32.08,58.4,41.02,35.69
sao felipe,2.07,8.14,38.13,48.22,59.8,43.64
sao francisco do conde,37.95,60.64,44.32,37.91,17.74,1.44
sao goncalo dos campos,0.97,5.96,59.69,75.8,39.35,18.25
sao sebastiao do passe,42.05,53.06,28.4,37.69,29.54,9.25
seabra,0.53,2.26,77.1,73.03,22.37,24.71
sento se,21.45,28.66,49.56,55.41,28.99,15.93
serra do ramalho,0.01,0.8,84.2,82.21,15.79,17
sobradinho,58.29,73.72,35.37,20.09,6.34,6.19
tanhacu,11.14,12.13,32.35,41.17,56.51,46.7
teofilandia,16.65,21.44,17.76,54.48,65.6,24.08
uaua,0.79,2.21,43.46,57.66,55.76,40.13
ubaitaba,44.97,61.26,26.05,27.51,28.99,11.22
ubata,40.82,51.33,33.96,27.0,25.22,21.67
una,16.16,21.86,33.45,47.09,50.39,31.04
valente,27.45,45.23,47.97,44.1,24.58,10.67
vera cruz,25.83,20.13,62.51,76.62,11.66,3.25
wenceslau guimaraes,14.51,23.72,24.59,31.17,60.9,45.11
xique-xique,3.53,32.35,69.74,52.23,26.73,15.42
de 50.001 a 100.000 ,35.52,44.86,41.7,39.66,22.78,15.48
araci,14.34,28.17,27.13,29.32,58.53,42.51
bom jesus da lapa,5.46,30.02,71.55,50.7,22.99,19.28
brumado,49.36,60.53,25.41,18.82,25.23,20.66
campo formoso,4.87,9.16,54.66,61.35,40.47,29.49
candeias,47.79,66.58,43.06,31.21,9.15,2.21
casa nova,20.12,34.96,29.99,27.5,49.9,37.54
catu,52.83,65.49,32.66,28.08,14.51,6.43
conceicao do coite,17.59,29.12,44.23,56.06,38.18,14.82
cruz das almas,6.51,16.57,72.17,71.46,21.31,11.97
dias d'avila,61.75,55.01,34.4,42.51,3.85,2.48
euclides da cunha,2.77,7.61,65.31,79.39,31.91,13
guanambi,37.09,51.35,42.43,34.14,20.47,14.51
ipira,31.29,46.77,19.39,19.58,49.31,33.65
irece,17.51,28.68,78.57,70.01,3.92,1.31
itaberaba,56.63,65.05,24.82,24.35,18.55,10.6
itamaraju,36.97,51.71,43.91,36.75,19.12,11.54
itapetinga,83.45,90.28,11.7,8.19,4.85,1.53
jacobina,45.54,51.91,37.44,39.01,17.03,9.08
jaguaquara,6.93,28.88,69.85,53.03,23.22,18.09
luis eduardo magalhaes,-,16.17,-,81.33,-,2.5
monte santo,0.09,8.93,18.27,28.14,81.64,62.93
santo amaro,45.64,53.47,34.79,34.74,19.57,11.8
santo antonio de jesus,48.45,62.64,38.19,25.97,13.37,11.39
senhor do bonfim,48.85,53.42,36.12,39.34,15.03,7.24
serrinha,30.19,46.15,42.06,42.65,27.75,11.2
tucano,25.5,40.74,28.92,40.37,45.58,18.89
valenca,48.48,59.15,22.43,19.05,29.1,21.8
de 100.001 a 500.000 ,49.21,61.42,39.6,33.58,11.19,5
alagoinhas,43.73,53.48,44.78,42.47,11.49,4.05
barreiras,35.64,33.63,54.74,59.97,9.62,6.4
camacari,58.36,62.37,36.61,35.48,5.03,2.15
eunapolis,21.4,34.76,71.08,61.32,7.52,3.91
ilheus,47.35,58.02,30.12,32.94,22.53,9.04
itabuna,73.18,78.14,21.9,19.3,4.93,2.56
jequie,62.26,75.63,26.26,18.75,11.48,5.62
juazeiro,52.01,62.17,32.23,30.58,15.76,7.24
lauro de freitas,62.12,78.62,35.09,21.24,2.79,0.14
paulo afonso,70.92,79.32,18.73,12.2,10.35,8.47
porto seguro,24.92,51.35,62.44,41.78,12.64,6.87
simoes filho,42.51,57.96,46.82,39.08,10.67,2.96
teixeira de freitas,38.03,63.06,56.14,33.74,5.82,3.19
vitoria da conquista,41.78,56.8,44.77,35.76,13.45,7.44
mais de 500.000 ,79.11,84,20.15,15.43,0.73,0.57
feira de santana,39.98,53.02,48.45,43.96,11.57,3.02
salvador,79.11,89.87,20.15,10.03,0.73,0.1
