city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
pequeri,14.33,9.76,9.33,6.5,2.33,1.63
pequi,17.2,8.56,24.82,21.41,6.14,2.75
pescador,39.45,24.93,28.13,22.35,15.23,8.31
piau,15.27,17.99,45.42,12.17,9.54,3.7
piedade de ponte nova,33.95,24.8,27.54,6.07,11.18,1.58
piedade do rio grande,26.64,13.01,28.22,13.01,9.71,2.4
piedade dos gerais,19.01,9.82,61.98,38.04,16.05,4.91
pingo-d'agua,28.1,19.53,11.67,6.05,6.9,0.93
pirajuba,14.87,10.34,18.22,8.17,4.09,0.72
ponto chique,40.71,18.52,38.12,21.69,16.71,7.14
pratinha,9.19,7.08,34.19,24.34,3.31,1.33
presidente juscelino,33.47,25.0,42.24,41.1,20,11.3
presidente kubitschek,37.84,19.39,34.86,15.45,16.22,3.94
quartel geral,31.88,14.5,17.81,8.02,6.25,1.53
queluzito,15.48,6.0,29.17,23.0,4.17,0.0
ressaquinha,16.14,9.12,34.25,19.71,6.89,2.06
ribeirao vermelho,12.63,8.37,9.9,2.28,2.39,1.14
rio doce,24.21,11.41,22.22,10.74,6.75,3.36
ritapolis,17.97,8.28,24.5,23.51,4.54,2.65
rochedo de minas,17.7,12.73,8.41,6.06,1.33,3.03
romaria,14.65,8.21,31.35,16.79,3.43,2.14
rosario da limeira,29.05,14.92,53.1,38.31,16.9,7.12
santa barbara do monte verde,26.85,15.18,35.02,20.09,8.17,4.02
santa barbara do tugurio,23.64,12.62,58.72,28.0,17.05,4.31
santa cruz de salinas,38.39,27.83,57.89,40.89,24.15,16.26
santa cruz do escalvado,32.97,16.1,49.73,21.36,17.3,4.33
santa efigenia de minas,43.08,24.4,52.57,35.02,26.28,14.73
santa fe de minas,42.18,24.61,51.7,40.05,26.02,12.04
santa rita de ibitipoca,25.82,21.37,36.15,30.53,10.33,10.31
santa rita de jacutinga,20.12,12.2,29.48,13.11,8.76,2.13
santa rosa da serra,23.4,8.05,17.27,13.41,4.46,2.3
santana de cataguases,16.49,10.12,22.68,10.89,2.06,2.72
santana do deserto,25,8.42,16.93,7.41,6.25,0.34
santana do garambeu,26.04,20.25,32.29,20.86,14.58,3.68
santana do jacare,31.05,18.12,4.57,5.83,1.6,1.62
santana do riacho,34.2,17.75,33.16,15.02,14.77,4.44
santana dos montes,20,12.36,44.65,27.64,11.16,5.82
santo antonio do aventureiro,23.47,13.28,24.76,14.52,6.75,1.66
santo antonio do grama,34.89,16.44,23.4,12.08,8.09,0.67
santo antonio do itambe,47.61,25.92,73.38,42.54,35.92,17.11
santo antonio do rio abaixo,30.48,27.14,58.29,49.29,26.74,21.43
santo hipolito,29.51,19.6,40.98,22.4,12.41,6.0
sao bento abade,24.13,16.09,6.81,4.29,1.47,1.07
sao bras do suacui,16.72,1.19,17.35,5.56,3.47,0.0
sao felix de minas,32.55,23.26,57.55,32.99,21.09,10.42
sao geraldo da piedade,42.39,22.44,31.59,20.2,16.37,5.24
sao geraldo do baixio,30.38,18.92,43.67,31.76,14.87,5.74
sao goncalo do rio preto,46.05,25.31,27.63,30.71,15.79,9.54
sao joao da lagoa,36.79,17.99,51.47,29.63,21.07,6.08
sao joao da mata,14.52,10.06,33.87,15.64,8.87,2.23
sao joao do pacui,58.61,24.28,28.1,26.37,18.3,7.57
sao jose da safira,40.7,28.34,28.95,20.84,15.44,9.84
sao jose da varginha,18.13,7.31,35.49,7.89,7.77,0.58
sao jose do alegre,14.25,6.62,23.99,9.06,3.33,0.7
sao jose do divino,47.22,24.71,29.28,12.06,17.94,2.35
sao jose do mantimento,31.95,13.83,34.59,16.49,10.53,1.6
sao sebastiao da bela vista,27.18,15.04,15.15,6.42,5.39,3.1
sao sebastiao da vargem alegre,23.26,10.36,53.82,33.33,9.38,4.95
sao sebastiao do rio preto,26.58,14.62,56.33,35.38,20.89,3.85
sao sebastiao do rio verde,11.39,7.95,48.1,15.89,5.7,1.32
sem-peixe,31.41,11.17,53.07,41.34,15.88,3.91
senador cortes,25.33,11.22,30.22,17.86,10.67,3.57
senador jose bento,8.98,2.27,67.66,19.32,5.99,1.14
senador modestino goncalves,44.28,32.31,67.65,49.86,35.13,19.5
senhora do porto,42.54,30.42,62.19,44.88,27.36,16.57
seritinga,17.93,7.69,17.93,16.15,7.07,3.08
serra azul de minas,54.55,39.68,57.38,52.38,37.7,22.22
serra da saudade,21.13,8.47,42.25,10.17,8.45,1.69
serranopolis de minas,43.66,27.8,42.2,50.24,26.2,16.34
serranos,34.58,27.07,19.16,24.81,2.8,6.77
silveirania,19.05,5.07,22.86,30.43,6.19,1.45
simao pereira,21.35,17.2,26.69,19.35,7.83,2.15
tabuleiro,26.83,13.87,19.29,20.8,6.65,2.19
taparuba,26.95,12.82,40.23,27.78,12.11,4.7
tapira,8.46,5.11,30.82,28.43,3.02,1.28
tapirai,19.59,13.28,33.51,23.44,7.73,0.78
taquaracu de minas,26.7,17.61,64.99,36.79,23.43,10.69
tocos do moji,8.26,6.9,59.59,8.87,5.6,1.97
turvolandia,19.35,10.88,50.97,25.29,10.97,2.35
umburatiba,43.5,34.02,24.17,18.26,9.97,7.47
uniao de minas,18.35,10.7,47.18,18.02,9.48,2.87
uruana de minas,21.93,13.65,30.29,29.72,6.79,5.62
vargem bonita,11.86,9.71,25.99,10.29,3.39,0.57
vargem grande do rio pardo,51.03,34.31,38.19,42.89,25.04,25.0
verissimo,20.63,9.45,44.76,25.09,11.43,3.27
vermelho novo,25.19,12.33,60.45,49.6,12.31,7.51
vieiras,25.88,14.18,53.77,31.56,17.34,7.45
wenceslau braz,12.11,3.06,5.47,1.02,1.95,0.51
de 5.001 a 10.000 ,30.44,17.68,35.37,22.1,13.88,5.97
abadia dos dourados,10.44,5.21,35.6,34.17,3.16,1.88
aiuruoca,24.96,13.58,37.76,26.11,12.95,4.44
alfredo vasconcelos,16.58,7.28,38.68,10.63,8.02,2.36
alpercata,30.02,12.44,21.89,16.93,8.01,2.94
alto caparao,24.64,13.7,30.71,9.57,10.54,1.96
alto jequitiba,19.02,11.46,55.09,44.05,11.33,5.95
amparo do serra,39.2,26.52,43.69,39.78,19.6,11.6
angelandia,51.06,35.46,56.33,40.21,29.74,16.45
antonio dias,34.68,20.19,48.17,39.3,19.41,9.31
araponga,40.15,26.68,65.65,53.07,29.88,16.83
arapora,17.73,9.69,1.87,2.08,1.09,0.17
araujos,11.73,8.32,10.19,5.5,1.23,1.83
arceburgo,19.46,13.47,18.5,6.35,3.95,1.4
baldim,19.74,11.37,24.53,14.69,6.07,2.37
bandeira do sul,10.81,9.14,14.65,2.54,2.93,0.51
barao de monte alto,32.41,21.18,20.2,8.13,7,3.94
barra longa,26.87,22.41,36.43,30.05,9.42,10.34
belo vale,12.93,6.61,45.17,31.06,7.39,4.41
bocaina de minas,31.24,19.18,33.01,10.38,16.7,1.57
bom jardim de minas,14.72,10.2,13.8,7.1,1.38,0.22
bom jesus do amparo,24.39,13.62,47.28,21.88,14.63,3.57
bonfim,18.15,12.05,55.15,26.41,12.04,4.62
bonfinopolis de minas,18.61,8.49,29.05,15.71,6.96,1.49
bonito de minas,65.05,41.91,73.06,70.68,51.63,33.64
botumirim,41.13,25.16,56.75,43.13,27.92,14.84
braunas,35.07,26.86,64.76,53.14,24.83,14.57
cabeceira grande,24.6,12.56,18.15,12.56,4.17,2.35
cachoeira de pajeu,50.4,33.17,45.79,44.23,25.73,17.32
campo florido,20.81,10.36,33.63,19.32,7.39,2.63
cana verde,16.51,10.92,14.82,2.73,3.19,0.0
caparao,29.16,16.07,62.75,25.37,20.61,6.34
capetinga,15.61,11.49,19.08,2.15,0.99,0.0
capim branco,18.85,8.75,7.1,3.86,2.11,1.34
capitolio,11.49,5.16,21.89,6.49,4.32,1.5
caputira,26.74,14.55,49.64,38.5,13.86,5.16
carbonita,36.47,20.86,19.82,14.08,11.13,6.0
careacu,17.01,11.75,20.67,10.07,4.61,2.99
carneirinho,16.74,7.81,35.29,20.26,3.73,0.87
catuji,55.63,31.58,72.43,55.9,45.45,22.76
catuti,61.03,37.19,47.42,9.35,32.09,2.67
central de minas,34.75,14.62,18.11,13.98,5.87,3.6
chale,27.12,18.81,53.2,41.74,17.14,8.03
cipotanea,27.17,13.56,58.61,47.33,18.49,7.56
claro dos pocoes,26.67,15.66,29.59,10.77,8.77,3.54
coimbra,13.94,10.49,31.06,12.23,4.39,2.33
coluna,49.18,27.74,56.83,47.5,32.65,15.95
comercinho,42.51,25.84,56.82,48.46,29.04,14.94
conceicao da aparecida,10.43,9.22,42.29,29.7,4.54,1.8
conceicao do para,15.56,9.5,34.14,7.75,6.26,1.25
conego marinho,43.61,20.06,39.46,29.94,23.39,9.55
confins,14.63,5.57,5.34,1.16,1.89,0.0
conquista,15.78,14.48,7.8,8.41,1.95,0.78
coqueiral,14.04,6.25,34.02,24.42,6.6,2.18
cordisburgo,24.97,15.03,32.16,26.42,8.01,4.49
coronel murta,37.55,25.26,26.69,24.35,13.95,9.97
corrego fundo,8.28,5.43,38.99,8.64,4.24,0.99
crisolita,59.37,41.34,55.62,41.68,34.93,19.9
cristalia,51.01,23.56,41.66,24.62,26.89,6.99
cristiano otoni,14.84,8.35,19.6,8.59,4.21,2.15
curral de dentro,50.89,29.6,50,15.91,32.14,8.71
datas,21.95,12.5,17.4,19.18,6.67,4.53
delfim moreira,15.75,7.97,40.27,13.17,9,0.52
delfinopolis,17.97,5.19,20.97,5.19,4.99,0.56
delta,20.64,17.48,7.04,1.08,1.44,0.32
desterro de entre rios,18.04,10.82,38.79,40.69,10.29,6.28
dionisio,25.09,14.14,16.51,7.82,5,1.66
divinolandia de minas,26.29,18.85,22.18,18.21,7.51,4.79
divisa alegre,47.57,30.68,2.8,1.18,1.91,0.88
divisa nova,27.74,16.8,18.5,11.52,3.13,2.54
divisopolis,53.76,34.51,18.82,17.57,11.96,9.1
dom cavati,18.77,13.65,13.54,2.1,3.79,0.26
dom silverio,14.56,10.16,23.34,11.48,4.93,2.3
dona eusebia,15.24,7.71,11.22,10.79,2.51,1.1
dores de campos,13.34,8.33,7.1,6.29,2.82,1.02
dores de guanhaes,35.5,22.3,60.75,43.41,26.87,13.67
durande,33.58,24.33,53.85,47.31,19.32,12.24
engenheiro navarro,40.97,20.34,30.67,17.21,16.09,4.85
entre folhas,21.97,11.22,28.31,22.96,5.96,1.79
estrela do sul,19.66,12.03,10.81,9.87,1.69,1.44
felicio dos santos,35.48,19.41,54.66,20.99,19.58,5.64
felisburgo,54.65,36.83,19.77,27.88,11.24,13.94
florestal,12.94,7.26,25.55,13.83,4.03,1.59
formoso,43.84,26.5,38.03,31.34,14.93,10.6
franciscopolis,58.77,35.12,68.38,52.02,44.25,23.42
frei gaspar,54.71,32.44,51.61,46.32,31.23,18.39
frei inocencio,30.98,20.0,18.17,17.33,5.74,5.94
fruta de leite,64.68,41.21,43.22,54.47,33,29.11
galileia,33.07,24.21,14.25,15.16,6.24,4.25
gameleiras,55.63,27.78,35.78,24.54,22.5,9.49
gonzaga,37.7,27.66,52.88,41.39,25.39,15.09
guarani,23.73,17.53,28.36,13.47,8.22,4.22
guarda-mor,14.57,9.31,27.81,32.59,4.64,2.59
guidoval,23.35,12.01,27.61,17.72,7.1,2.95
guimarania,13.58,9.64,16.64,13.2,1.9,0.85
guiricema,18.5,13.03,53.7,31.34,10.62,6.16
gurinhata,15.38,11.22,47.66,52.3,5.88,6.89
heliodora,21.28,12.94,16.61,3.13,3.11,0.21
ibertioga,27.61,15.04,29.1,17.29,9.89,2.26
ibiai,37.6,22.98,27.89,19.97,11.78,4.96
ibiracatu,55.02,26.17,42.23,12.64,24.26,2.89
igaratinga,15.11,9.51,17.27,14.2,4.56,2.92
iguatama,12.12,7.23,15.84,7.62,2.62,1.56
ijaci,21.16,10.8,12.84,1.08,2.35,0.0
imbe de minas,30.29,19.42,72.34,42.96,21.99,8.08
inconfidentes,13.28,7.46,34.03,2.41,4.33,0.0
indaiabira,58.52,39.87,50.9,43.3,35.97,23.86
indianopolis,19.75,15.23,45.83,20.25,7.41,2.51
inhauma,18.47,9.48,29.62,5.21,7.65,0.24
inimutaba,27.66,15.73,19.72,23.5,7.66,6.99
ipuiuna,15.21,12.11,18.93,14.77,3.25,1.62
irai de minas,22.46,10.76,10.29,7.99,1.16,0.17
itapeva,16.74,10.89,28.37,3.68,7.09,1.84
itatiaiucu,19.09,8.62,28.19,9.46,8.31,1.44
itaverava,29.36,22.44,57.45,41.67,17.16,14.1
itueta,24.95,14.49,49.01,34.06,9.4,3.14
itumirim,15.96,7.5,14.49,9.09,2.05,1.14
jacui,13.98,6.26,49.68,3.4,7.37,0.54
jampruca,48.29,26.97,33.96,32.16,18.43,6.02
japonvar,47.62,25.36,19.58,5.48,8.29,1.3
jeceaba,12.64,8.07,40.19,24.78,5.51,1.15
jenipapo de minas,62.75,37.89,53.61,39.1,38.6,22.26
jequitai,33.96,22.48,23.94,31.94,9.08,6.98
jequitiba,27.37,11.86,46,35.58,14.9,5.12
