city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
santa maria de itabira,20.17,13.96,4.3,1.96,20.05,11.78,47.27,39.08
santa maria do suacui,29.44,24.05,8.16,3.6,31.34,22.24,64.08,59.39
santa vitoria,17.23,12.22,3.86,1.28,14.68,8.16,49.7,39.12
santo antonio do amparo,16.74,12.58,4.34,1.21,16.2,10.44,47.49,38.11
santo antonio do jacinto,38.3,29.42,12.54,4.56,43.42,26.36,78.61,67.23
sao domingos do prata,12.7,8.88,2.9,1.21,11.36,6.61,29.92,22.63
sao geraldo,17.7,10.44,6.46,1.45,14.62,8.14,41.09,28.93
sao goncalo do para,10.71,6.59,3.17,1.29,8.87,4.86,29.03,19.32
sao joao das missoes,43.82,30.4,20.18,9.18,51.18,33.88,83.71,74.3
sao joao do manhuacu,18.34,14.25,6.07,2.31,19.39,12.63,46.7,46.62
sao joao evangelista,20.82,16.42,4.71,1.95,20.45,13.72,49.66,43.28
sao jose da lapa,8.45,5.46,2.03,1.12,7.73,3.82,32.29,23.14
sao romao,22.49,14.64,5.33,2.5,24.69,13.63,59.54,48.84
sao sebastiao do maranhao,32.48,25.04,7.76,2.73,34.4,22.01,73.46,62.37
sao tiago,11.16,8.16,1.74,1.28,10.14,5.84,29.24,23.71
senhora dos remedios,18.89,13.76,4.29,0.85,17.96,10.84,51.74,39.2
serra do salitre,13.72,9.02,5.22,1.31,14.12,7.96,34.08,30.15
setubinha,46.08,32.25,17.36,5.82,56.05,36.3,82.14,73.47
simonesia,20.7,16.99,7.32,2.89,22.22,15.93,47.76,45.13
tarumirim,22.27,17.98,4.14,3.12,20.48,13.24,53.34,44.99
teixeiras,14.61,10.15,2.88,1.13,12.57,7.81,38.79,27.36
tocantins,13.94,8.72,2.85,0.72,12.16,6.11,39.34,26.7
turmalina,22.53,14.94,3.38,1.87,23.81,11.58,67.63,56.91
ubai,26.16,20.1,6.11,3.07,28.68,17.72,68.92,60.73
