city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
ribeirao das neves,48.22,72.56,47.11,27.01,4.66,0.43
sabara,71.72,85.38,24.19,13.1,4.1,1.53
santa luzia,69.42,84.05,27.98,14.77,2.6,1.18
sete lagoas,87.47,92.67,10.75,6.16,1.78,1.17
teofilo otoni,64.54,73.59,19.7,14.65,15.76,11.76
uba,83.1,84.27,10.89,12.97,6.01,2.76
uberaba,93.87,95.67,3.09,2.84,3.04,1.49
varginha,93.58,96.18,2.09,2.56,4.33,1.27
vespasiano,52.11,87.27,44.49,12.59,3.4,0.14
mais de 500.000 ,90.94,95.15,8.68,4.63,0.39,0.22
belo horizonte,92.39,96.07,7.46,3.9,0.15,0.04
contagem,79.29,92.07,20.32,7.82,0.4,0.11
juiz de fora,91.53,92.16,7.57,7.33,0.9,0.52
uberlandia,96.18,97.1,2.42,2.09,1.41,0.8
