city,total,married,separated,divorced,widow,single
sao goncalo,874677.73245549,312347.86011184,13921.00520758,34356.58749334,54178.17208069,459874.10756204
sao joao da barra,28415.65992896,9620.24142653,433.13578994,1113.20698958,1707.8904334,15541.18528951
sao joao de meriti,394809.53656339,132802.70073651,6261.67224186,13826.6752053,25071.00664093,216847.48173879
sao jose de uba,6104.90738168,2901.80157181,126.83422996,177.07201486,305.07648302,2594.12308203
sao jose do vale do rio preto,17442.33808796,7224.00625167,184.11982341,583.61823736,993.49057947,8457.10319605
sao pedro da aldeia,74766.6928603,26938.0212296,1064.23413,2599.70369253,3609.85694157,40554.8768666
sao sebastiao do alto,7687.97927164,2862.86825057,145.66712037,219.92073538,581.18978526,3878.33338006
sapucaia,15155.74602004,5815.81749012,337.90160713,426.94336737,810.70574132,7764.3778141
saquarema,64059.26167926,18850.24431698,1188.28067639,2190.39069003,3877.20282925,37953.14316661
seropedica,66815.37039795,21741.90439637,721.53336278,2775.41711561,3470.52344088,38105.99208231
silva jardim,18061.09765634,5595.33291993,194.72964778,467.17013523,798.66244725,11005.20250615
sumidouro,12844.17267974,4750.85314025,175.77917317,467.75345044,566.98603205,6882.80088383
tangua,26160.82323645,9482.38789795,239.7050359,881.94161781,1244.11176053,14312.67692426
teresopolis,141945.86030602,51754.44971403,3097.64923214,7030.81161371,9118.5737508,70944.37599534
trajano de moraes,8913.52621956,3090.21256086,164.96021756,341.8228358,609.57149252,4706.95911282
tres rios,66868.06697466,24068.9356106,1299.88639789,3193.1401424,4567.03669248,33739.06813129
valenca,62722.58323588,19576.29575729,1579.08940766,2786.19387985,4704.86804126,34076.13614982
varre-sai,7869.72082485,3614.90501378,138.72257852,184.47817763,416.69390623,3514.92114869
vassouras,29798.99063438,8786.89819799,616.09923132,1413.67692977,1952.81104901,17029.50522629
volta redonda,226657.39149086,87838.21297692,5383.91377958,10893.19976276,14464.59113448,108077.47383712
