city,total,regular,military_and_gov,irregular,entrepreneur,employers
ribeira do amparo,289.2,650.99,815.25,306.5,175.44,205.41
ribeira do pombal,588.44,898.38,871.18,377.51,545.34,1861.54
ribeirao do largo,471.18,535.24,721.76,402.67,455.14,1744.65
rio de contas,522.51,859.45,925.29,455.1,388.25,145.2
rio do antonio,455.07,696.35,1530.92,413.44,355.4,1500.34
rio do pires,516.05,696.99,733.89,448.64,438.08,-
rio real,477.45,704.26,1339.97,297.68,513.5,1443
rodelas,572.96,988.8,819.24,346.21,521.97,1468.26
ruy barbosa,571.9,716.31,1212.89,414.27,493.2,1707
salinas da margarida,374,706.87,1340.96,588.35,191.71,1833.27
salvador,1411.24,1313.7,3535.01,710.69,1371.3,6076.49
santa barbara,502.21,737.46,728.53,394.55,402.1,3825.45
santa brigida,434.65,860.89,660.65,290.86,348.25,1547.73
santa cruz cabralia,767.55,775.58,1064.01,492,793.55,3484.47
santa cruz da vitoria,681.24,699.39,964.23,554.72,851.45,793.63
santa ines,492.43,659.21,2600.68,368.58,391.14,2710.57
santa luzia,539.33,685.96,664.51,411.5,565.39,1073.55
santa maria da vitoria,673.34,754.11,1274.89,417.86,601,4985.21
santa rita de cassia,614.03,686.63,1056.2,429.39,412.01,7745.66
santa teresinha,481.7,742.46,1413.76,411.72,347.64,630.09
santaluz,466.37,689.16,1331.2,326.62,437.57,1401.14
santana,566.3,895.31,1644.91,359.2,510.3,2423.9
santanopolis,459.81,609.99,1004.22,356.48,325.68,600
santo amaro,591.72,792.68,1343.24,504.92,355.71,1402.92
santo antonio de jesus,837.3,791.64,1697.34,515.27,801.27,3653.76
santo estevao,660.84,663.86,1240.02,380.41,750.25,2497.46
sao desiderio,834.27,921.77,866.48,572.37,776.3,4712.82
sao domingos,482.86,710.22,737.98,329.78,587.39,511
sao felipe,438.4,592.57,1415.84,332.69,290.17,1946.49
sao felix,538.54,755,1401.24,403.5,331.78,1000
sao felix do coribe,640.44,693.88,975.78,495.03,697.71,1387.74
sao francisco do conde,844.87,899.02,933.1,687.5,529,11574.86
sao gabriel,441.32,694.13,970.05,344.96,387.89,826.79
sao goncalo dos campos,721.03,706.81,1873.3,433.12,508.96,9300.33
sao jose da vitoria,509.35,639.45,654.8,398.62,575.43,800
sao jose do jacuipe,386.05,646.9,562.96,307.8,369.65,377.06
sao miguel das matas,376.15,617.91,948.41,319.59,282.32,2422.33
sao sebastiao do passe,783.72,970.88,1168.19,476.03,594.18,1008.14
sapeacu,608.59,756.3,817.02,492.66,490.45,3553.02
satiro dias,398.41,732.54,685.34,381.27,247.94,326.79
saubara,400.05,693.81,519.91,406.73,230.68,1657.68
saude,445.25,720.12,875.76,324.7,335.48,747.88
seabra,597.72,1081.25,1699.73,368.41,363.62,3275.74
sebastiao laranjeiras,509.58,644.08,787.28,429.34,450.62,2105.64
senhor do bonfim,759.93,901.96,1690.2,478.63,667.43,2918.53
sento se,481.67,764.85,836.72,347.72,439.06,1691.1
serra do ramalho,527.09,636.3,795.2,364.52,482.5,2321.03
serra dourada,482.76,696.37,648.78,324.25,536.8,2331.95
serra preta,460.51,582.34,854.17,350.45,407.06,1334.79
serrinha,688.7,762.64,1407.37,389.35,593.64,2631.72
serrolandia,450.32,682.97,621.98,333.26,373.98,2366.71
simoes filho,815.83,885.51,1443.27,521.59,788.04,2315.83
sitio do mato,390.5,617.87,778.48,331.72,271.56,1184.17
sitio do quinto,469.26,717.57,694.02,283.72,477.39,2378.12
sobradinho,736.79,1020.67,1302.23,446,572.75,1500
souto soares,413.25,833.23,968.38,393.44,288.25,829.34
tabocas do brejo velho,547.88,681.08,869.73,404.27,553.23,929.67
tanhacu,453.09,684.2,626.74,336.87,393.32,1773.2
tanque novo,622.67,814.26,1059.92,403.77,812.96,1632.3
tanquinho,569.48,710.8,1340.77,382.36,529.73,1682.57
taperoa,465.06,691.69,1123.69,385.32,329.48,2029.8
tapiramuta,739.82,610.09,2893.24,368.92,553.46,1128.25
teixeira de freitas,1012.52,936.78,1578.16,558.7,1146.01,3690.04
teodoro sampaio,590.09,660.82,27000,396.48,380.19,1859.24
teofilandia,643.13,953.61,1076.65,309.47,424.32,911.39
teolandia,480.54,765.25,972.27,335.28,428.43,1810.77
terra nova,589.45,672.76,1353.2,372.95,450.65,1500
tremedal,414,676.21,650.17,379.12,373.7,-
tucano,688.43,972.48,899.07,277.03,368.6,17307.42
uaua,525.28,790.81,1508.68,318.69,356.62,3967.14
ubaira,496.8,759.22,1089,289.73,511.55,1477.75
ubaitaba,662.23,774.55,1013.36,472.94,755.58,1383.36
ubata,651.72,923.86,1868.77,427.48,560.47,5001.28
uibai,460.92,795.61,1033,339.52,399.88,2186.9
umburanas,352.24,622.17,618.89,344.43,276.6,120
una,622.84,799.66,1234.01,445.36,591.85,2548.5
urandi,708.62,744.95,1354.47,424.28,564.98,8430.04
urucuca,670.19,824.02,1498.36,477.58,636.97,1418.43
utinga,540.99,706.64,884.12,412.48,584.94,1277.45
valenca,596.72,818.41,2215.62,418.8,454.56,1557.67
valente,644.79,761.63,2643.07,324.03,872.18,2725.5
varzea da roca,361.61,617.69,812.99,284.02,284.51,1784.97
varzea do poco,441.07,713.06,1926.08,287.63,411.26,1290.44
varzea nova,377.23,672.72,782.17,241.59,264.74,3399.57
varzedo,471.43,712.37,1070.92,341.15,411.46,2615.5
vera cruz,625.82,783.83,981.25,443.43,522.86,1782.48
vereda,556.91,661.23,728.89,407.22,640.55,2251.42
vitoria da conquista,916.6,879.4,2175.42,504.38,927.17,3452.08
wagner,532.39,742.82,802.18,406.91,427.58,5047.85
wanderley,632.7,644.64,709.46,375.09,1109.17,1548.48
wenceslau guimaraes,479.47,695.45,810.31,371.49,466.04,1354.3
xique-xique,588.95,784.69,1412.95,366.04,596.23,3076.48
