city,total,has_children,children_born,children_borned_live,children_borned_dead
nova castilho,447,274,798,796,3
nova europa,2957,1997,6626,6302,324
nova granada,7092,4964,15084,14538,546
nova guataporanga,877,645,2308,2203,105
nova independencia,846,590,2351,2223,128
nova luzitania,1116,766,2647,2546,100
nova odessa,17671,11132,34548,33219,1330
novais,1255,849,2810,2733,77
novo horizonte,13793,9209,29279,28442,837
nuporanga,2613,1687,5578,5377,201
ocaucu,1648,1106,4053,3920,133
oleo,1208,801,2860,2727,133
olimpia,19737,12900,41182,39558,1624
onda verde,1398,958,3013,2903,109
oriente,2525,1648,5814,5524,289
orindiuva,1629,1093,3428,3310,118
orlandia,15104,9791,30145,29041,1104
osasco,277608,170046,516654,490888,25766
oscar bressane,1111,692,2380,2330,50
osvaldo cruz,12917,8498,27523,26664,859
ourinhos,40037,26261,83442,79440,4002
ouro verde,2886,1901,7802,7396,406
ouroeste,2628,1767,5986,5833,152
pacaembu,5004,3411,12423,11858,565
palestina,3965,2739,8660,8378,281
palmares paulista,3291,2240,7375,7007,368
palmeira d'oeste,4331,2961,10033,9641,393
palmital,8884,6123,19970,18892,1078
panorama,5401,3756,13453,12700,753
paraguacu paulista,16467,11139,39225,37202,2023
paraibuna,6698,4132,16441,15696,746
paraiso,2183,1529,4702,4415,287
paranapanema,5913,3896,13946,12973,973
paranapua,1492,1039,3925,3795,130
parapua,4635,3112,10697,10305,392
pardinho,1802,1213,4048,3933,115
pariquera-acu,7003,4414,16484,15637,847
parisi,840,539,1687,1643,44
patrocinio paulista,4532,2848,9674,9144,530
pauliceia,2025,1424,5451,5112,339
paulinia,21423,13491,40574,38485,2089
paulistania,722,492,1675,1580,95
paulo de faria,3521,2424,7795,7440,355
pederneiras,14777,9859,32700,31179,1522
pedra bela,2175,1413,5177,4866,311
pedranopolis,1162,791,2626,2470,156
pedregulho,6043,3854,13640,12828,812
pedreira,14900,9610,29417,28475,942
pedrinhas paulista,1174,797,2354,2231,123
pedro de toledo,3482,2274,9187,8787,400
penapolis,23623,15494,49544,47724,1820
pereira barreto,10652,7250,26015,24813,1201
pereiras,2538,1667,5530,5264,266
peruibe,20863,13722,47592,45175,2417
piacatu,1947,1263,5095,4867,228
piedade,19290,12353,46707,43444,3263
pilar do sul,9264,5889,21907,20925,982
pindamonhangaba,51674,31533,106352,101537,4815
pindorama,5625,3757,11162,10731,432
pinhalzinho,4410,2949,10040,9517,522
piquerobi,1456,970,3457,3233,224
piquete,6583,4053,15417,14474,942
piracaia,9427,5911,19713,18627,1086
piracicaba,140374,88409,270688,258258,12430
piraju,11937,7610,25440,24097,1344
pirajui,7965,5191,16775,15454,1320
pirangi,4168,2827,8570,8340,230
pirapora do bom jesus,4735,2978,10371,9828,544
pirapozinho,9343,6220,22469,21478,991
pirassununga,27820,17749,53815,51925,1889
piratininga,4461,2821,9573,9247,326
pitangueiras,12155,8054,27638,26290,1349
planalto,1489,1023,3614,3519,95
platina,1128,814,3270,3048,222
poa,39520,24668,78810,74659,4151
poloni,2128,1446,4961,4863,97
pompeia,7820,4986,17346,16480,866
pongai,1553,1071,3790,3620,170
pontal,11678,7669,26335,24987,1348
pontalinda,1387,941,3807,3665,142
pontes gestal,1085,767,2895,2847,48
populina,1824,1303,4539,4293,245
porangaba,2602,1772,5962,5549,412
porto feliz,18678,11892,39804,37763,2040
porto ferreira,19914,12711,39847,38386,1462
potim,5359,3435,12261,11619,642
potirendaba,5781,3966,11626,11144,482
pracinha,600,393,1953,1843,109
pradopolis,5291,3450,11201,10810,391
praia grande,81314,52435,156885,149077,7808
pratania,1516,1012,3553,3354,199
presidente alves,1778,1147,4575,4295,279
presidente bernardes,5925,3848,13172,12632,540
presidente epitacio,16371,10780,37722,36156,1566
presidente prudente,82797,52695,165306,157915,7391
presidente venceslau,15934,10474,33938,32700,1238
promissao,12797,8425,29760,28114,1646
quadra,1096,675,2169,2086,84
quata,4847,3245,11029,10447,582
queiroz,857,604,2662,2560,102
queluz,3687,2233,8094,7603,491
quintana,2259,1481,5554,5419,135
rafard,3463,2236,7332,7039,293
rancharia,12086,7941,27701,26499,1203
redencao da serra,1491,989,4363,4107,256
regente feijo,7179,4599,15342,14614,728
reginopolis,2005,1347,4846,4623,223
registro,21582,13507,51735,48711,3023
restinga,2153,1407,5158,4822,336
ribeira,1370,942,4057,3769,288
ribeirao bonito,4567,2963,10244,9659,585
ribeirao branco,7401,4664,20901,19165,1736
ribeirao corrente,1461,972,3432,3251,181
ribeirao do sul,1855,1243,4483,4235,248
ribeirao dos indios,893,634,2092,1998,94
ribeirao grande,2834,1708,7133,6730,403
ribeirao pires,44392,27266,80555,76983,3572
ribeirao preto,223095,135188,398763,382519,16244
rifaina,1384,928,3085,2917,168
rincao,4141,2688,9081,8656,424
rinopolis,4330,2911,10163,9774,389
rio claro,72805,46923,139538,133922,5616
rio das pedras,9548,6082,20960,19967,993
rio grande da serra,14805,9301,31218,29260,1958
riolandia,3107,2059,7279,6980,299
riversul,2833,1879,8099,7567,532
rosana,9398,6181,19940,19134,806
roseira,3423,2099,7772,7308,463
rubiacea,939,631,2308,2149,159
rubineia,1143,792,2907,2755,152
sabino,2102,1446,4712,4546,167
sagres,987,648,2836,2716,120
sales,1875,1254,4616,4423,193
sales oliveira,3890,2593,8141,7734,407
salesopolis,5715,3702,13911,13034,877
salmourao,1785,1231,4913,4731,182
saltinho,2476,1601,4728,4541,186
salto,38283,24662,77762,73439,4323
salto de pirapora,14115,8697,30920,28919,2001
salto grande,3485,2280,8256,7687,569
sandovalina,1216,772,2859,2705,155
santa adelia,5588,3859,11417,10948,469
santa albertina,2410,1712,6047,5718,329
santa barbara d'oeste,71262,45435,139911,133451,6460
santa branca,5327,3410,10352,9765,587
santa clara d'oeste,889,634,2201,2137,64
santa cruz da conceicao,1453,982,3106,3024,82
santa cruz da esperanca,724,489,1676,1641,36
santa cruz das palmeiras,10338,6791,21473,20132,1341
santa cruz do rio pardo,17260,11443,38345,35976,2369
santa ernestina,2110,1352,4342,4271,71
santa fe do sul,11686,7606,24310,22866,1444
santa gertrudes,6314,4078,13068,12551,517
santa isabel,17502,11182,36760,34519,2241
santa lucia,3032,2016,7027,6799,228
santa maria da serra,1768,1198,3920,3812,107
santa mercedes,1161,771,3362,3235,127
santa rita do passa quatro,11580,7381,21890,21153,737
santa rita d'oeste,1168,844,2953,2807,146
santa rosa de viterbo,8945,5671,18525,17919,606
santa salete,584,398,1655,1560,95
santana da ponte pensa,804,567,2038,1968,69
santana de parnaiba,30057,17910,54935,51567,3368
santo anastacio,8889,6016,20667,19755,912
santo andre,287928,176627,511680,485997,25682
santo antonio da alegria,2325,1431,5180,4873,306
santo antonio de posse,7415,4808,14545,13683,862
santo antonio do aracangua,2733,1830,6547,6183,365
santo antonio do jardim,2462,1612,5406,5122,284
santo antonio do pinhal,2469,1539,6105,5738,367
santo expedito,1036,707,2837,2702,135
santopolis do aguapei,1545,1013,4212,3751,461
santos,199087,122447,312194,300447,11747
sao bento do sapucai,4221,2637,10165,9480,684
sao bernardo do campo,302460,182466,522146,498010,24136
sao caetano do sul,67122,40862,105627,102183,3444
sao carlos,82958,52139,157405,149917,7488
sao francisco,1202,796,2784,2587,196
sao joao da boa vista,33662,21204,62996,60160,2837
sao joao das duas pontes,1084,735,2654,2474,180
sao joao de iracema,693,478,1943,1910,32
sao joao do pau d'alho,935,640,2412,2278,134
sao joaquim da barra,17712,11377,35836,34268,1568
sao jose da bela vista,3108,2045,7078,6733,345
sao jose do barreiro,1647,1021,4160,3954,206
sao jose do rio pardo,21131,13347,43169,41356,1813
sao jose do rio preto,159536,101759,283864,272753,11111
sao jose dos campos,225423,136395,427627,404765,22862
sao lourenco da serra,4745,2921,10026,9289,737
sao luis do paraitinga,4138,2667,11173,10367,806
sao manuel,15158,9699,30721,29579,1142
sao miguel arcanjo,11892,7467,27541,26254,1287
sao paulo,4620804,2739856,7768100,7404168,363932
sao pedro,11792,7756,23336,22229,1107
sao pedro do turvo,2737,1842,6658,6314,343
sao roque,27743,17851,55690,52299,3391
sao sebastiao,23172,14518,44546,42470,2076
sao sebastiao da grama,5090,3139,9821,9475,346
sao simao,5742,3693,12101,11501,600
sao vicente,129460,81814,244974,232601,12373
sarapui,2984,1921,7624,7191,433
sarutaia,1514,914,3434,3316,119
sebastianopolis do sul,1070,762,2219,2174,45
serra azul,2870,1880,6658,6405,253
serra negra,10330,6592,19315,18444,871
serrana,12898,8255,27878,26516,1362
sertaozinho,39292,24531,80455,77100,3355
sete barras,5215,3308,14244,13630,614
severinia,5312,3523,11736,11313,422
silveiras,2114,1293,5323,4974,349
socorro,13982,8833,27673,26114,1559
sorocaba,208726,130894,403356,381679,21677
sud mennucci,2959,2061,7307,7191,116
sumare,79914,51159,164985,156547,8438
suzanapolis,1139,796,3020,2892,128
suzano,92483,58135,191622,180890,10732
tabapua,4406,3029,9437,8884,553
tabatinga,5262,3559,11637,11322,315
taboao da serra,83837,50583,149827,140365,9463
taciba,2107,1402,5507,5279,228
taguai,3082,1936,7136,6910,226
taiacu,2245,1551,5165,5106,59
taiuva,2301,1529,5032,4873,159
tambau,9060,5746,19645,18517,1128
tanabi,9842,6506,21362,20314,1048
tapirai,3180,2089,8144,7661,483
tapiratiba,5261,3332,11695,11144,550
taquaral,1088,750,2586,2478,108
taquaritinga,21527,14492,43931,42263,1668
taquarituba,8892,6009,21731,20489,1242
taquarivai,1645,1034,4314,4044,270
tarabai,2315,1486,5698,5514,184
taruma,4278,2925,10182,9726,456
tatui,38517,24762,79975,75983,3992
taubate,103571,63236,204397,194357,10041
tejupa,1976,1275,4988,4586,402
teodoro sampaio,7931,5247,19884,18364,1520
terra roxa,3145,2004,6729,6552,177
tiete,13415,8392,26414,25171,1243
timburi,1121,759,3219,3057,162
torre de pedra,871,546,1804,1727,78
torrinha,3654,2493,7622,7437,185
trabiju,501,339,1110,1076,34
tremembe,13793,8495,28272,26502,1770
tres fronteiras,2195,1499,5233,4998,235
tuiuti,2135,1379,4637,4437,200
tupa,28128,17933,59332,56910,2422
tupi paulista,5896,3944,13174,12766,408
turiuba,814,557,1945,1875,70
turmalina,1012,700,2445,2394,50
ubarana,1588,1110,3887,3653,234
ubatuba,26163,16534,57708,54247,3460
ubirajara,1649,1118,4104,3843,262
uchoa,3856,2678,8643,8177,467
uniao paulista,543,371,1238,1190,48
urania,3778,2533,8574,8235,339
uru,603,393,1220,1175,45
urupes,5044,3470,10691,10343,347
valentim gentil,3550,2352,7597,7256,341
valinhos,35649,22283,65967,63684,2283
valparaiso,7258,5028,17223,16341,882
vargem,2827,1851,6251,5739,513
vargem grande do sul,15161,9946,30916,29362,1554
vargem grande paulista,13159,8142,26794,25341,1453
varzea paulista,37381,23681,75290,71401,3889
vera cruz,4639,3015,10582,10084,498
vinhedo,20186,12536,37317,35816,1501
viradouro,6477,4197,13878,13311,566
vista alegre do alto,1999,1361,3896,3803,93
vitoria brasil,693,469,1630,1597,33
votorantim,39022,24799,81480,76484,4996
votuporanga,33339,21710,64716,62239,2477
zacarias,811,531,1871,1733,138
