city,total,suitable,semi_suitable,inappropriate
cristais,3724.33093886,2614.29574769,1074.34375835,35.69143282
cristalia,1477.26467836,400.90167339,982.75305332,93.60995165
cristiano otoni,1417.0,827.97183179,558.86280842,30.16535979
cristina,3097.68899299,1317.72962049,1732.14381012,47.81556238
crucilandia,1610.91668908,845.54430771,747.65602453,17.71635684
cruzeiro da fortaleza,1246.0,999.41113638,246.58886362,-
cruzilia,4537.99999999,3428.8982794,1050.62165606,58.48006453
cuparaque,1557.83205022,1036.95032779,502.61170272,18.27001971
curral de dentro,1955.0,501.98722367,1387.58515822,65.42761811
curvelo,22675.89025514,15514.87120219,6942.10151503,218.91753792
datas,1404.84486227,790.12590729,579.59801499,35.12093999
delfim moreira,2423.0,726.17758183,1671.59666803,25.22575014
delfinopolis,2210.73218687,1450.14692725,746.90766772,13.6775919
delta,2383.23059457,1583.96173518,799.26885939,-
descoberto,1590.00000001,1117.04200164,465.87034052,7.08765785
desterro de entre rios,2335.0,1039.86825918,1243.94323036,51.18851046
desterro do melo,952.94307959,349.34889279,590.41328988,13.18089692
diamantina,12809.94181591,7443.7239637,5116.23772978,249.98012243
diogo de vasconcelos,1179.0,309.25717743,830.28800376,39.45481881
dionisio,2641.62393845,1572.06024456,1024.3467525,45.21694139
divinesia,1042.99999998,431.31045119,603.06296856,8.62658023
divino,6022.36911276,2657.04123375,3111.51620656,253.81167245
divino das laranjeiras,1601.99999999,890.64724691,692.02297446,19.32977862
divinolandia de minas,1924.00000002,836.69760719,1040.38861227,46.91378056
divinopolis,66632.99860641,56078.54034059,10462.55551524,91.90275058
divisa alegre,1643.90140422,32.080579,1607.27036282,4.5504624
divisa nova,1771.83964338,1157.07717942,588.30306983,26.45939413
divisopolis,2419.76065685,217.03866893,2129.50721335,73.21477457
dom bosco,1240.60711042,405.89830044,810.71726165,23.99154833
dom cavati,1700.99999998,1076.00406899,620.15542627,4.84050472
dom joaquim,1334.00000002,584.84677354,695.35746962,53.79575686
dom silverio,1703.72981647,693.57865355,982.8529617,27.29820122
dom vicoso,971.99999999,477.08390365,465.16916663,29.74692971
dona eusebia,1886.23394193,934.88927488,930.86346805,20.481199
dores de campos,2990.0,2136.30497676,843.53764885,10.15737439
dores de guanhaes,1487.99999997,277.83897991,1135.01169083,75.14932923
dores do indaia,4965.45946978,4108.41840455,830.81916184,26.22190339
dores do turvo,1368.0,300.66824246,1010.78100582,56.55075172
doresopolis,493.73666653,348.32263297,143.60373822,1.81029534
douradoquara,669.67273723,400.51664065,268.15609658,1
durande,2185.8419328,531.92151598,1575.83119506,78.08922176
eloi mendes,7718.00000001,5594.36287764,2022.40321461,101.23390776
engenheiro caldas,3208.0,1581.17516225,1588.61550913,38.20932862
engenheiro navarro,2043.45504675,249.44033831,1739.28447688,54.73023156
entre folhas,1646.70103087,716.19453831,893.3715179999997,37.13497456
entre rios de minas,4264.00000001,2480.86980177,1717.64986843,65.48032981
ervalia,5687.16858402,2520.54259386,3051.91052118,114.71546898
esmeraldas,17505.854574,2963.32667296,14248.50888735,294.01901369
espera feliz,7390.94555375,3703.32445618,3547.56417251,140.05692506
espinosa,8479.3803081,89.09523095,8081.4641257,308.82095145
espirito santo do dourado,1450.0,652.53668443,768.0298136,29.43350197
estiva,3429.99999999,1380.91239143,2023.55665375,25.53095481
estrela dalva,827.0,440.79777571,366.99954321,19.20268108
estrela do indaia,1220.65049512,520.36617961,685.02461398,15.25970153
estrela do sul,2425.29972309,1379.19097174,1010.56258817,35.54616318
eugenopolis,3574.67060334,2141.06883112,1385.16539314,48.43637908
ewbank da camara,1083.78306449,851.74666202,223.85141778,8.18498469
extrema,9046.62362736,4978.30126382,4068.32236354,-
fama,817.17513352,365.94914247,451.22599105,-
faria lemos,1120.534963,653.45800688,449.30500259,17.77195353
felicio dos santos,1482.9014235,8.61057927,1433.04056838,41.25027585
felisburgo,2009.37640508,1115.34091314,825.6768762,68.35861574
felixlandia,4473.36238521,530.90137142,3839.87990902,102.58110477
fernandes tourinho,979.7020488,457.98669006,492.34435045,29.37100829
ferros,3350.0,560.11252271,2524.4097044,265.47777289
fervedouro,3111.53155997,1068.90113811,1848.37528697,194.25513489
florestal,2033.99999999,1398.89739836,597.32449566,37.77810597
formiga,21279.03507162,17282.40765202,3961.89782903,34.72959057
formoso,2222.71203392,128.47045608,1945.25915408,148.98242376
fortaleza de minas,1370.13245963,930.49431126,432.97366696,6.66448141
fortuna de minas,821.0,265.2785183,541.94194631,13.77953539
francisco badaro,2817.00000001,185.94564549,2529.71444011,101.33991441
francisco dumont,1491.21477559,211.42620403,1219.06470734,60.72386422
francisco sa,6821.82751243,2391.35527704,4054.27035458,376.20188081
franciscopolis,1660.45936104,568.24137736,919.04495409,173.17302959
frei gaspar,1698.71366149,519.92841404,1059.40033079,119.38491666
frei inocencio,2599.95540192,1398.4741737,1131.21986972,70.2613585
frei lagonegro,903.0,136.61720849,661.18904988,105.19374163
fronteira,4576.00000001,3281.09471909,1294.90528092,-
fronteira dos vales,1402.0,519.24654811,825.83919115,56.91426074
fruta de leite,1585.74328535,4.17038544,1411.34823262,170.22466729
frutal,17974.74052369,13309.15452479,4527.49795798,138.08804092
funilandia,1155.66326289,375.24402505,773.397049,7.02218884
galileia,2256.89407944,1311.40804493,909.05763427,36.42840024
gameleiras,1481.36095777,-,1428.84916139,52.51179638
glaucilandia,854.0,167.18792724,677.5907243,9.22134846
goiabeira,1047.93138359,620.28404124,416.284177,11.36316535
goiana,1206.87118636,844.87841454,353.09161328,8.90115854
goncalves,1376.54847103,373.44985923,1003.0986117999997,-
gonzaga,1518.52450553,584.72203655,860.14610653,73.65636245
gouveia,3358.09664162,2019.43628068,1297.57207079,41.08829015
governador valadares,81784.85963359,65000.04663217,16349.3544058,435.45859562
grao mogol,3888.17967842,965.30688854,2500.51428815,422.35850173
grupiara,507.0,8.0543784,495.45675368,3.48886792
guanhaes,9366.00000001,5782.03843077,3447.60656049,136.35500875
guape,4392.60820249,2574.94413509,1733.34102392,84.32304348
