city,total,suitable,semi_suitable,inappropriate
paulistana,5510.6990644,49.14128872,4633.53784114,828.01993454
pavussu,1058.80000002,83.45240271,839.32919613,136.01840118
pedro ii,9783.0,529.8491379,8385.22728143,867.92358067
pedro laurentino,655.00000001,-,630.29648342,24.70351659
picos,21166.12758191,6570.32036545,14403.57528818,192.23192828
pimenteiras,3185.57006514,21.71800673,2742.72951783,421.12254058
pio ix,4889.93662911,652.90643723,3369.57976708,867.4504248
piracuruca,7719.94792212,619.4800135,6420.53891468,679.92899394
piripiri,16997.84897337,2133.53733889,14196.17237696,668.13925752
porto,2782.87435202,351.40196293,2087.00888866,344.46350043
porto alegre do piaui,670.86665112,3.27791606,639.07285364,28.51588142
prata do piaui,888.75,115.32938259,745.96104029,27.45957712
queimada nova,2192.99999999,-,1655.82723942,537.17276057
redencao do gurgueia,2043.70412244,467.67224865,1468.62998297,107.40189082
regeneracao,4930.01291816,548.15440521,4049.74433062,332.11418233
riacho frio,1119.27614283,32.00659533,945.53212868,141.73741882
ribeira do piaui,1215.62517604,44.56083765,1122.99472373,48.06961466
ribeiro goncalves,1642.75697593,125.43664059,1361.97586294,155.34447240000003
rio grande do piaui,1861.12843955,838.7054942,908.57923831,113.84370704
santa cruz do piaui,1681.00000001,243.73766901,1368.83224991,68.43008109
santa cruz dos milagres,1048.4973862,36.83541204,940.34352726,71.3184469
santa filomena,1531.0,187.80498094,1109.25032406,233.94469500000002
santa luz,1460.21622712,3.36829621,1349.91699042,106.93094049
santa rosa do piaui,1544.79439913,215.89677202,1274.74068842,54.15693869
santana do piaui,1419.00000001,22.67772332,1385.48684855,10.83542814
santo antonio de lisboa,1775.86853771,142.48536777,1555.71475413,77.66841581
santo antonio dos milagres,531.99999999,2.06635443,452.33261429,77.60103127
santo inacio do piaui,1126.0,-,1094.76198665,31.23801335
sao braz do piaui,1228.27667572,4.53819033,1049.72586401,174.01262138
sao felix do piaui,955.18839769,4.95038579,929.74116275,20.49684915
sao francisco de assis do piaui,1497.82077902,-,1137.81499163,360.00578739
sao francisco do piaui,1806.97429108,-,1620.49931571,186.47497537
sao goncalo do gurgueia,719.002924,9.57035315,627.64224095,81.79032990000002
sao goncalo do piaui,1334.347056,74.22887695,1243.97202125,16.1461578
sao joao da canabrava,1375.99999998,166.01116293,1164.2986663,45.69017075
sao joao da fronteira,1512.00000002,72.4480078,1251.3434662999996,188.20852592
sao joao da serra,1786.14510444,500.80773449,1139.71631769,145.62105226
sao joao da varjota,1268.0,140.8984525,945.52150443,181.58004307
sao joao do arraial,1923.06771783,136.9158906,1687.57602259,98.57580464
sao joao do piaui,5354.26532593,342.87317145,4666.28088813,345.11126635
sao jose do divino,1385.56548163,6.28038796,1276.75853408,102.52655959
sao jose do peixe,1062.50614991,25.86553824,940.03264174,96.60796993
sao jose do piaui,1930.00000001,359.52921324,1506.74523803,63.72554874
sao juliao,1729.9282559,43.39080268,1527.97922649,158.55822673
sao lourenco do piaui,1298.0,-,1148.07976658,149.92023342
sao luis do piaui,742.12467684,4.74783386,730.36760114,7.00924184
sao miguel da baixa grande,621.99999999,7.50781447,573.3710658,41.12111972
sao miguel do fidalgo,818.00000001,-,743.68844414,74.31155587
sao miguel do tapuio,4979.320823300001,485.30684253,3916.29567442,577.71830635
sao pedro do piaui,3754.27241089,134.53844848,3356.23365453,263.50030788
sao raimundo nonato,9299.85201722,222.98982615,8520.08943098,556.77276009
sebastiao barros,892.6045824999999,15.23473789,739.03877858,138.33106603
sebastiao leal,1131.53180364,-,1064.27674129,67.25506235
sigefredo pacheco,2752.12375549,391.11477692,2173.25377562,187.75520295
simoes,3660.53820832,978.86322188,1939.98043385,741.69455259
simplicio mendes,3391.9296098000004,641.73913058,2571.65364596,178.53683326
socorro do piaui,1280.5,-,1175.36616754,105.13383246
sussuapara,1811.99999998,305.63132478,1492.34019632,14.02847888
tamboril do piaui,757.74855627,281.15682216,410.87554123,65.71619288
tanque do piaui,797.97527026,409.21229816,378.52599358,10.23697852
teresina,222319.15955842,108432.91390118,112500.24232957,1386.00332767
uniao,10847.0,1224.61420189,8275.30127684,1347.08452127
urucui,5247.23409728,687.78756637,4305.18784105,254.25868986
valenca do piaui,6152.99999998,283.69622125,5815.9683287,53.33545003
varzea branca,1276.0,50.39333811,925.21927995,300.38738194
varzea grande,1382.0,649.15782265,706.62220502,26.21997233
vera mendes,923.99999999,180.24067919,713.94835561,29.81096519
vila nova do piaui,931.44080301,6.36762152,825.46577645,99.60740504
wall ferraz,1149.60000001,3.24824864,920.95814305,225.39360832
