city,total,married,separated,divorced,widow,single
sao roque do canaa,9812.24135485,4555.56591525,77.61985231,210.81472269,528.24165212,4439.99921248
serra,343632.15479126,124581.8665606,5613.7893011,13356.51261706,14046.7982452,186033.1880673
sooretama,19206.1547459,6823.39263681,281.4244151,433.20964005,725.21442551,10942.91362843
vargem alta,16109.49966515,7309.98575257,229.15944605,488.92025922,665.40020718,7416.03400013
venda nova do imigrante,17679.78820984,8079.93955804,313.93838689,623.30323186,737.75871372,7924.84831933
viana,55182.0793927,18861.05038693,918.88760489,2245.71554987,2800.84977965,30355.57607136
vila pavao,7508.14515574,3782.37337716,114.95334813,138.58333841,318.57036515,3153.66472689
vila valerio,11789.97494944,5938.25596277,139.56659891,245.00787788,438.80637372,5028.33813616
vila velha,360188.18671032,138991.89059449,7668.7710103,17253.7578978,18180.96736369,178092.79984404
vitoria,288345.79336172,106352.8524909,6556.77375646,14542.30924431,15394.96948235,145498.8883877
