city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
porto,47.3,35.01,30.49,12.56,50.8,39.61,76.39,72.87
regeneracao,41.28,31.82,22.09,6.74,43.96,32.02,73.55,71.34
sao joao do piaui,29.83,22.22,14.54,4.95,32.94,22.93,59.47,52.33
sao miguel do tapuio,47.5,36.03,30.5,7.38,50.44,38.82,76.63,71.11
sao pedro do piaui,38.04,29.58,21.53,8.25,39.76,30.09,66.96,61.24
simoes,42.21,30.51,27.82,7.62,45.67,33.18,67.79,62.5
simplicio mendes,29.64,24.01,11.6,4.94,32.45,23.67,56.8,55.88
de 20.001 a 50.000 ,36.89,27.76,19.44,7.26,39.87,28.38,67.81,61.74
altos,35.51,26.04,15.5,5.23,38.45,25.56,70.39,62.53
barras,42.59,31.53,23.54,8.37,47.33,33.8,73.84,67.32
batalha,44.92,35.72,27.44,8.38,48.74,39.08,72.26,70.86
bom jesus,29.36,18.42,12.67,3.99,32.74,18.89,68.17,55.7
campo maior,28.65,22.16,13.23,4.63,29.73,20.79,58.24,51.92
canto do buriti,36.36,29.69,20.54,6.29,38.82,30.87,65.87,59.39
cocal,46.34,35.74,30.81,11.84,50.33,39.56,68.68,67.93
corrente,23.93,18.82,12.75,5.86,24.59,19.2,53.8,44.15
esperantina,36.88,29.25,19.1,7.95,40.14,30.77,69.04,64.07
jose de freitas,32.87,24.52,15.41,5.75,35.09,23.72,68.01,61.03
luis correia,39.3,29.76,24.03,8.52,43.7,32.51,65.77,62.27
luzilandia,41.83,35.46,26.01,12.71,44.02,37.56,70.77,69.06
miguel alves,48.1,38.0,28.93,11.43,52.94,43.32,76.22,73.75
oeiras,33.06,25.51,15.11,5.65,35.33,24.34,66.93,61.53
pedro ii,38.74,31.11,18.55,8.06,43.24,31.98,67.59,63.26
piracuruca,40.18,29.96,22.81,7.81,42.64,31.85,68.89,62.6
sao raimundo nonato,25.1,20.16,10.26,4.31,26.82,19.82,57.41,52.92
uniao,39.03,28.72,18.18,7.62,43.04,28.72,73.44,64.91
urucui,30.24,18.19,15.49,5.02,30.52,17.06,63.13,50.65
valenca do piaui,30.69,26.1,12.49,4.93,30.66,22.65,66.89,61.25
de 50.001 a 100.000 ,26.91,19.07,12.69,3.93,27.66,17.99,59,50.23
floriano,19.91,13.21,8.92,2.84,19.62,11.57,49.43,38.79
picos,26.41,17.7,12.16,3.39,27.4,16.88,59.94,49.72
piripiri,34.07,26.3,17.02,5.65,35.51,25.69,66.22,60.2
de 100.001 a 500.000 ,22.67,16.47,10.69,4.5,23.68,15.88,47.24,40.51
parnaiba,22.67,16.47,10.69,4.5,23.68,15.88,47.24,40.51
mais de 500.000 ,14.11,9.12,5.69,1.88,14.46,8.18,43.27,31.41
teresina,14.11,9.12,5.69,1.88,14.46,8.18,43.27,31.41
