city,qt
tucano,52308.38052163
uaua,24294
ubaira,19739.00817429
ubaitaba,20473.32375647
ubata,24869.88207143
uibai,13559.51632497
umburanas,16927.34078141
una,23839.20239411
urandi,16454.86709276
urucuca,19749.39231362
utinga,18144
valenca,88272.57227597
valente,24560
varzea da roca,13786
varzea do poco,8661
varzea nova,13063.98162003
varzedo,9109
vera cruz,37194.93839241
vereda,6794.19845101
vitoria da conquista,306047.9535191
wagner,8979.46100401
wanderley,12474
wenceslau guimaraes,21900.39053215
xique-xique,45261.5318718
