word;freq;pct;polarity
compoem;28;0.0004448751966189485;
para;664;0.01054989751982078;
conhecimento;25;0.000397209996981204;
ministerios;25;0.000397209996981204;
repassadores;25;0.000397209996981204;
bem;104;0.0016523935874418088;
defesa;27;0.0004289867967397003;
estado;50;0.000794419993962408;
providencias;112;0.001779500786475794;
ambito;75;0.0011916299909436121;
suas;44;0.000699089594686919;
competencias;27;0.0004289867967397003;
embora;35;0.0005560939957736856;
nao;563;0.008945169132016715;
exijam;25;0.000397209996981204;
isoladas;25;0.000397209996981204;
por;367;0.005831042755684075;
pastas;25;0.000397209996981204;
ministeriais;25;0.000397209996981204;
esta;170;0.0027010279794721873;
realizara;25;0.000397209996981204;
isolado;25;0.000397209996981204;
saneadoras;25;0.000397209996981204;
relacionadas;25;0.000397209996981204;
