city,total,regular,military_and_gov,irregular,employers,entrepreneur
nova bassano,420,400,529,200,1000,500
nova boa vista,174,200,376,150,550,150
nova brescia,300,295,400,151,5000,302
nova candelaria,300,230,415,151,500,300
nova esperanca do sul,200,210,400,150,300,200
nova hartz,280,280,380,200,600,400
nova padua,600,450,500,250,1000,1150
nova palma,220,300,380,151,800,200
nova petropolis,320,302,600,300,1000,300
nova prata,350,320,450,230,1200,400
nova ramada,200,180,450,110,12236,250
nova roma do sul,400,350,500,200,500,500
nova santa rita,378,400,500,215,1000,350
novo barreiro,166,250,300,151,600,150
novo cabrais,200,240,350,150,900,200
novo hamburgo,350,350,700,260,1200,400
novo machado,200,300,270,150,1050,200
novo tiradentes,176,250,439,151,500,150
osorio,302,300,600,240,1000,360
paim filho,300,400,546,110,950,300
palmares do sul,300,300,450,180,1200,300
palmeira das missoes,250,300,521,151,1200,200
palmitinho,250,283,534,151,2000,250
panambi,320,400,484,151,1000,300
pantano grande,250,250,400,151,1000,302
parai,350,350,432,170,1000,500
paraiso do sul,227,226,390,151,800,300
pareci novo,300,370,642,250,1200,300
parobe,320,323,430,250,1000,400
passa sete,180,240,252,150,500,160
passo do sobrado,250,280,540,151,400,250
passo fundo,380,360,650,200,1500,500
paverama,200,210,550,200,600,160
pedro osorio,220,235,650,151,1500,200
pejucara,251,240,370,151,1500,302
pelotas,300,300,670,179,1500,302
picada cafe,300,300,500,300,1250,300
pinhal,200,300,360,151,1300,150
pinhal grande,250,300,400,150,250,250
pinheirinho do vale,200,260,702,151,60,200
pinheiro machado,200,220,410,151,1000,200
pirapo,150,160,400,100,400,100
piratini,200,200,368,151,500,200
planalto,200,300,337,151,2000,200
poco das antas,250,291,500,180,1000,200
pontao,300,300,600,151,2800,300
ponte preta,200,350,1000,151,1500,200
portao,350,350,600,250,1500,350
porto alegre,500,500,1000,300,2000,600
porto lucena,160,245,390,150,1000,150
porto maua,200,217,300,150,302,206
porto vera cruz,151,220,439,151,0,100
porto xavier,200,250,336,151,1000,150
pouso novo,260,336,350,170,1000,300
presidente lucena,300,290,300,200,600,300
progresso,400,292,600,200,1500,500
protasio alves,300,300,700,300,2000,300
putinga,250,300,416,200,5000,250
quarai,200,220,623,151,900,200
quevedos,151,151,350,100,2000,150
quinze de novembro,302,260,410,151,500,400
redentora,150,176,358,90,700,100
relvado,300,370,750,180,600,250
restinga seca,220,250,450,151,1000,200
rio dos indios,150,280,230,100,500,150
rio grande,300,350,820,170,1500,300
rio pardo,250,300,600,151,1500,200
riozinho,250,250,350,250,600,220
roca sales,271,250,350,220,1000,340
rodeio bonito,250,300,386,151,539,200
rolante,250,250,300,180,1000,250
ronda alta,225,300,460,151,1200,200
rondinha,300,250,365,150,500,300
roque gonzales,180,292,340,120,600,200
rosario do sul,220,220,500,151,980,250
sagrada familia,150,303,400,100,3000,100
saldanha marinho,279,250,350,151,16000,300
salto do jacui,226,300,430,151,1200,215
salvador das missoes,250,200,600,151,0,280
salvador do sul,300,300,360,151,1000,300
sananduva,300,280,402,151,1400,302
santa barbara do sul,300,297,350,151,1000,400
