city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
planalto alegre,1.42,7.59,38.33,64.05,60.25,28.36
ponte alta,43.24,33.03,35.79,58.98,20.97,7.99
ponte alta do norte,71.59,75.87,22.26,22.81,6.15,1.32
presidente castello branco,14.84,21.87,34.62,76.45,50.55,1.68
presidente nereu,30.13,34.11,18.77,55.66,51.1,10.23
princesa,0.76,19.04,36.4,63.47,62.84,17.49
rancho queimado,24.62,29.0,52.39,64.55,22.98,6.44
rio fortuna,0.92,13.95,51.2,70.73,47.87,15.32
rio rufino,15.29,32.33,26.46,57.81,58.25,9.86
riqueza,1.56,18.25,36.05,63.69,62.39,18.06
saltinho,1.5,28.47,21.46,28.56,77.05,42.97
salto veloso,55.8,74.93,36.05,19.74,8.15,5.34
santa helena,0.6,7.34,37.72,69.39,61.68,23.27
santa rosa de lima,5.88,10.98,46.86,78.54,47.26,10.48
santa terezinha do progresso,-,2.76,18.7,49.19,81.3,48.04
santiago do sul,1.45,11.37,57.73,77.26,40.82,11.37
sao bernardino,-,0.63,24.35,36.17,75.65,63.2
sao bonifacio,0.56,23.41,41.76,69.82,57.67,6.78
sao joao do itaperiu,7,18.8,68.68,79.13,24.32,2.07
sao martinho,19.95,25.31,45.51,66.53,34.54,8.16
sao miguel da boa vista,1.5,4.58,35.89,67.74,62.62,27.67
sao pedro de alcantara,17.88,53.85,62.68,42.93,19.44,3.22
serra alta,8.43,20.75,40.48,57.68,51.08,21.57
sul brasil,0.9,6.93,24.55,62.16,74.55,30.9
tigrinhos,-,4.63,39.32,84.39,60.68,10.98
treviso,32.33,87.83,33.05,12.08,34.62,0.09
tunapolis,0.48,7.59,38.36,68.84,61.16,23.57
uniao do oeste,0.59,3.29,36.75,47.62,62.66,49.09
urupema,26.72,20.81,30.75,73.01,42.53,6.18
vargeao,21.12,45.88,47.92,31.6,30.96,22.52
vargem,5.19,2.06,48.41,54.66,46.4,43.28
vargem bonita,47.94,42.92,38.3,40.82,13.76,16.26
witmarsum,14.37,22.2,60.86,72.53,24.77,5.27
xavantina,16,31.89,29.32,60.39,54.67,7.72
zortea,41.7,28.73,39,65.49,19.3,5.78
de 5.001 a 10.000 ,29.16,35.3,41.24,50.27,29.6,14.44
agrolandia,46.34,52.8,44.16,45.95,9.51,1.26
agua doce,43.29,44.04,31.69,42.49,25.03,13.47
aguas de chapeco,0.77,9.4,38.3,50.1,60.93,40.5
aguas mornas,7.42,23.14,71.24,73.37,21.34,3.49
alfredo wagner,19.56,19.59,17.37,53.32,63.07,27.1
anchieta,9.02,10.82,40.87,55.13,50.11,34.04
angelina,8.34,12.55,27.73,81.86,63.93,5.6
anita garibaldi,18.59,44.96,26.07,40.53,55.34,14.51
antonio carlos,25.09,30.4,60.24,66.61,14.67,2.99
apiuna,44.35,52.5,41.88,44.53,13.78,2.98
armazem,37.53,36.2,32.47,60.82,29.99,2.98
ascurra,62.56,74.9,36.57,24.76,0.86,0.34
aurora,13.92,13.39,43.57,71.55,42.52,15.06
balneario arroio do silva,83.94,88.25,15.06,11.72,1,0.03
balneario barra do sul,68.78,71.98,28.05,27.81,3.17,0.21
balneario gaivota,26.01,37.61,72.45,62.21,1.53,0.17
bela vista do toldo,5.86,8.2,24.84,31.28,69.3,60.52
bom retiro,42.71,57.94,35.05,37.59,22.25,4.47
caibi,16.76,16.5,40.12,53.99,43.12,29.51
campo belo do sul,42.57,54.09,20.97,19.36,36.46,26.55
campo ere,5.47,14.34,56.73,67.7,37.8,17.96
catanduvas,70,62.8,13.33,29.32,16.67,7.88
descanso,0.3,9.17,48.5,59.43,51.21,31.4
grao para,41.85,47.96,31.94,30.88,26.21,21.16
imbuia,14.66,25.73,37.68,61.07,47.66,13.2
ipora do oeste,10.3,24.72,39.82,55.71,49.88,19.56
ipuacu,-,0.8,40.57,52.13,59.43,47.07
ipumirim,29.52,46.15,27.15,50.4,43.33,3.45
irani,9.54,34.86,63.11,53.55,27.35,11.6
ita,48.11,57.95,18.78,30.64,33.11,11.41
laurentino,30.74,47.66,54.59,48.76,14.67,3.58
luzerna,69.03,75.47,18.88,16.7,12.09,7.83
major vieira,7.57,26.85,27.3,34.91,65.14,38.24
maracaja,32.13,43.94,63.69,55.46,4.18,0.6
meleiro,28.95,39.84,61.24,53.37,9.8,6.79
monte carlo,23.73,42.19,65.11,50.43,11.16,7.38
monte castelo,29.7,27.73,38.41,56.28,31.89,15.99
ouro,39.84,67.95,36.3,31.12,23.86,0.94
palma sola,2.71,13.12,56.81,69.46,40.48,17.42
passo de torres,4.5,9.88,93.61,88.26,1.89,1.86
paulo lopes,25.66,15.75,60.33,83.35,14,0.9
petrolandia,19.7,22.88,37,65.24,43.31,11.88
praia grande,47.51,50.76,37.75,45.05,14.74,4.19
rio das antas,17.93,27.04,38.3,56.76,43.78,16.19
rio do campo,31.35,39.59,39.89,54.12,28.76,6.29
rio do oeste,36.95,45.35,46.78,47.61,16.27,7.04
romelandia,14.25,7.02,25.57,56.52,60.18,36.46
salete,40.57,40.82,32.81,47.51,26.62,11.67
santa rosa do sul,15.15,43.96,80.9,53.68,3.96,2.36
santa terezinha,6.97,12.55,30.33,48.5,62.7,38.94
sao cristovao do sul,48.26,53.97,39.72,39.3,12.02,6.74
sao domingos,15.43,12.35,50,63.02,34.57,24.63
sao joao do oeste,9.87,18.44,26.67,41.4,63.47,40.16
sao joao do sul,10.15,16.79,67.67,78.8,22.18,4.41
sao jose do cerrito,7.92,10.31,21.98,42.71,70.1,46.99
saudades,9.36,14.3,37.21,81.62,53.43,4.08
tangara,24.02,34.5,33.84,43.01,42.13,22.48
timbe do sul,32.33,41.15,47.92,51.8,19.76,7.04
timbo grande,24.47,28.71,27.65,48.69,47.88,22.61
treze de maio,14.76,28.61,50.55,59.82,34.69,11.57
treze tilias,48.72,69.67,24.96,27.21,26.32,3.12
trombudo central,38.93,41.96,47.41,54.79,13.66,3.25
vidal ramos,13.47,12.78,26.14,52.64,60.39,34.58
vitor meireles,17.35,28.28,36.24,60.61,46.41,11.11
de 10.001 a 20.000 ,42.23,49.78,39.82,43.35,17.95,6.87
abelardo luz,19.53,9.96,30.51,54.68,49.96,35.37
balneario picarras,71.09,77.55,24.27,21.53,4.63,0.92
benedito novo,23.03,31.41,64.13,65.78,12.84,2.8
bombinhas,46.68,71.6,52.91,28.4,0.4,-
campo alegre,39,54.52,43.47,43.34,17.53,2.14
canelinha,51.15,46.12,39.86,51.39,8.99,2.49
cocal do sul,76.63,63.63,22.01,35.68,1.36,0.69
coronel freitas,29.5,42.57,47.27,46.0,23.23,11.44
correia pinto,60.39,61.97,20.19,30.65,19.41,7.38
corupa,62.55,57.13,32.5,39.6,4.94,3.27
cunha pora,11.36,22.44,45.85,52.5,42.79,25.06
dionisio cerqueira,18.4,35.61,44.27,45.73,37.33,18.66
