city,total,adequada,semi_adequada,inadequada
portelandia,1236.48206989,23.89303391,1174.4511148,38.13792118
posse,8995.64376491,3821.03361975,4873.5156024,301.09454276
professor jamil,1090.58627692,61.13367724,1005.58973327,23.86286641
quirinopolis,14149.37961906,8753.95553142,5289.43870452,105.98538312
rialma,3351.84552826,1539.40175767,1794.1145024100001,18.32926818
rianapolis,1441.01333757,213.17623687,1209.72989099,18.10720971
rio quente,1078.00000001,720.23400619,350.4211706,7.34482322
rio verde,55462.72688727,27339.35792688,27823.88454542,299.48441497
rubiataba,6358.61860422,253.78901849,6071.70734949,33.12223624
sanclerlandia,2670.26927752,196.80775707,2464.10667935,9.3548411
santa barbara de goias,1858.53496195,1335.59056774,522.94439421,-
santa cruz de goias,1107.82185295,-,1076.0031371,31.81871585
santa fe de goias,1566,55.4842628,1494.98377228,15.53196492
santa helena de goias,11853.63446757,6402.85738304,5392.56625974,58.21082479
santa isabel,1288,35.5681855,1239.70832463,12.72348987
santa rita do araguaia,2259.99999999,25.00183123,2193.25578274,41.74238602
santa rita do novo destino,972.75957817,121.08626005,837.32098286,14.35233526
santa rosa de goias,994.5208387,5.82655981,975.41904221,13.27523668
santa tereza de goias,1373.00000001,548.78730054,807.12350308,17.08919639
santa terezinha de goias,3299.68692278,157.79953503,3123.73066433,18.15672342
santo antonio da barra,1434.00000003,103.42339393,1291.30207289,39.27453321
santo antonio de goias,1407.79731523,123.76470666,1270.53854865,13.49405992
santo antonio do descoberto,17871.10522204,4894.68718173,12403.45260598,572.96543433
sao domingos,3284.61296205,64.68526054,3006.85561195,213.07208956
sao francisco de goias,2021.59791473,18.12640994,1966.81231102,36.65919377
sao joao da parauna,609.99999998,405.95373691,204.04626307,-
sao joao d'alianca,2820.81742249,87.34928902,2546.71779117,186.7503423
sao luis de montes belos,10460.99999998,5530.48641241,4890.39649855,40.11708902
sao luiz do norte,1504.00000001,101.50055618,1380.72917117,21.77027266
sao miguel do araguaia,7274.90803661,2296.2128604,4912.95801637,65.73715984
sao miguel do passa quatro,1233.44688029,444.96345917,751.86024988,36.62317124
sao patricio,700.1672419,74.66156919,620.12776193,5.37791078
sao simao,5507.11069058,4348.19174593,1147.14370563,11.77523902
senador canedo,24268.18764759,4257.29409533,19948.12508463,62.76846763
serranopolis,2416.97491938,37.0192888,2320.2224344,59.73319618
silvania,6168.72957772,2129.3512017,3909.45849189,129.91988413
simolandia,1821.07581516,24.22627446,1742.75329763,54.09624307
sitio d'abadia,828.24418317,-,801.4030449,26.84113827
taquaral de goias,1283.04600508,76.54081899,1191.65450907,14.85067702
teresina de goias,810.00546677,28.04993872,713.62942102,68.32610703
terezopolis de goias,1972.90674157,77.93371189,1883.95484382,11.01818586
