city,total,domestic_regular,domestic_irregular,other_regular,military_and_gov,other_irregular
porto amazonas,1305,40,141,793,48,284
porto barreiro,516,4,68,178,12,254
porto rico,744,10,59,293,25,357
porto vitoria,868,13,78,544,59,174
prado ferreira,1343,25,34,717,10,557
pranchita,1350,20,176,496,151,508
presidente castelo branco,1581,27,112,844,36,560
primeiro de maio,2964,57,382,1196,158,1171
prudentopolis,7151,178,1033,3964,198,1777
quarto centenario,1427,26,88,665,30,617
quatigua,1925,30,222,939,68,665
quatro barras,5245,233,475,3266,275,996
quatro pontes,900,8,125,356,72,339
quedas do iguacu,6215,108,686,3446,232,1744
querencia do norte,2576,90,266,859,92,1268
quinta do sol,1728,54,116,970,38,550
quitandinha,2150,69,254,885,38,905
ramilandia,664,9,49,259,36,310
rancho alegre,1358,46,79,552,58,623
rancho alegre d'oeste,701,20,104,365,2,210
realeza,3865,107,523,1519,172,1544
reboucas,2122,56,295,1016,50,705
renascenca,1318,18,176,477,51,596
reserva,4081,48,364,1957,87,1625
reserva do iguacu,1532,7,212,788,36,488
ribeirao claro,3811,191,340,1765,122,1394
ribeirao do pinhal,4142,65,304,2071,52,1650
rio azul,2041,44,174,941,98,785
rio bom,752,7,107,225,76,337
rio bonito do iguacu,1042,15,105,543,26,353
rio branco do ivai,732,4,68,212,95,353
rio branco do sul,6410,211,617,4104,145,1332
rio negro,7843,162,331,5829,519,1002
rolandia,16451,666,1116,10566,373,3730
roncador,2692,7,250,1073,102,1260
rondon,3045,15,259,1570,110,1091
rosario do ivai,1063,14,108,422,30,488
sabaudia,1640,13,86,815,46,680
salgado filho,820,21,118,266,107,308
salto do itarare,1176,9,97,277,59,733
salto do lontra,2276,17,274,880,244,862
santa amelia,1434,0,118,820,53,443
santa cecilia do pavao,972,10,88,426,42,406
santa cruz de monte castelo,2288,46,310,889,74,969
santa fe,3287,67,291,1648,100,1182
santa helena,5088,78,474,2360,234,1941
santa ines,714,21,69,395,15,214
santa isabel do ivai,2504,52,263,1097,99,993
santa izabel do oeste,2056,49,262,802,234,709
santa lucia,817,10,120,269,23,395
santa maria do oeste,2514,11,231,774,151,1347
