city,total,adequada,semi_adequada,inadequada
moji mirim,27022.4925288,22409.11233455,4514.36578455,99.0144097
mombuca,941,586.03347139,345.81592397,9.15060464
moncoes,750,594.20455272,149.58637765,6.20906963
mongagua,14557.39464711,10026.35193246,4509.41418727,21.62852738
monte alegre do sul,2340.62894463,1259.29072868,1076.33573387,5.00248208
monte alto,14935.08429019,12620.31540054,2276.6463143,38.12257535
monte aprazivel,7265.37806664,5648.34228769,1584.39697106,32.63880789
monte azul paulista,6021,4834.37187636,1152.58432662,34.04379702
monte castelo,1393.00000001,1018.7448061,366.8996697,7.35552421
monte mor,14450.17569043,7329.5881404,7072.66552621,47.92202382
monteiro lobato,1335.00000001,408.12160971,919.10874874,7.76964156
morro agudo,8798,6511.86462826,2264.20256143,21.93281031
morungaba,3520.99999999,2268.2428698,1236.87499173,15.88213846
motuca,1355.61735775,891.49449086,448.36910454,15.75376235
murutinga do sul,1438.96646401,915.64926573,488.43473158,34.8824667
nantes,846.00000001,646.29632962,199.70367039,-
narandiba,1336.99999999,820.65562027,480.74473969,35.59964003
natividade da serra,2406,926.78906633,1432.68764808,46.52328559
nazare paulista,5190.26417824,1559.09751701,3495.55598917,135.61067206
neves paulista,2960.06363004,2477.64753462,454.21816923,28.19792619
nhandeara,3682.33518681,2825.68120325,844.23401168,12.41997188
nipoa,1389,982.83978396,403.73824758,2.42196846
nova alianca,1985,1527.1820187,456.32528886,1.49269244
nova campina,2408.86972666,940.56923364,1423.83610691,44.46438611
nova canaa paulista,742.49740849,291.74704136,440.93605557,9.81431156
nova castilho,380.00000001,232.74973782,142.73944683,4.51081536
nova europa,2862.72434206,2255.02209858,607.70224348,-
nova granada,6232.00000002,4950.65968624,1281.34031378,-
nova guataporanga,760.17988845,605.59819566,151.67704473,2.90464806
nova independencia,952.12215827,624.15771711,310.89744817,17.06699299
nova luzitania,1115.62966125,879.6874508,235.94221045,-
nova odessa,15812.57754971,13044.99292822,2756.28484263,11.29977886
novais,1351,826.68192034,518.81773411,5.50034555
novo horizonte,12235.69103283,10054.28650986,2120.28943371,61.11508926
nuporanga,2167.79031197,1745.00328516,420.15969855,2.62732826
ocaucu,1365.85868394,970.40843185,383.48646601,11.96378608
oleo,911.00000003,480.0091089,420.72072911,10.27016202
olimpia,15985.97463425,12526.92470678,3425.62365362,33.42627385
onda verde,1196.00000002,850.64254428,327.03958386,18.31787188
oriente,1927,1552.77365051,374.22634949,-
orindiuva,1782.2646449,1430.01656915,346.16672574,6.08135001
orlandia,11963.12414376,9918.37847089,2037.95129776,6.79437511
osasco,201937.13853367,138347.59150783,62996.63971094,592.9073149
oscar bressane,874.00000001,685.37220597,177.90806245,10.71973159
osvaldo cruz,10026.62822968,8674.59072454,1322.30201921,29.73548593
ourinhos,32809.00000002,27871.90445787,4859.67140359,77.42413856
ouro verde,2573.67649398,1488.75685957,1076.55842869,8.36120572
ouroeste,2778.65737994,2325.81548441,432.82144895,20.02044658
pacaembu,3647,2688.21790388,953.20075167,5.58134445
palestina,3759.99999999,2421.59526233,1303.86605334,34.53868432
palmares paulista,3176.93826155,2333.17055969,839.68604471,4.08165715
palmeira d'oeste,3294.7100072,2361.20210492,911.57959171,21.92831057
palmital,7173.99999998,5928.528291,1213.46505236,32.00665662
panorama,4619.36460457,3619.53993911,989.19978729,10.62487817
paraguacu paulista,13012.09875165,10429.1451286,2538.81660389,44.13701916
paraibuna,5380.03367815,1964.74016875,3373.79539927,41.49811013
paraiso,1898.09238754,1486.93835995,397.598888,13.55513959
paranapanema,5515.68932,3421.32591212,2008.94038573,85.42302215
paranapua,1294.51664764,1047.036517,245.19617864,2.283952
parapua,3654,2739.89944429,909.32711888,4.77343683
pardinho,1708.62798812,1045.70291933,640.45945008,22.46561871
pariquera-acu,5564.99999998,3066.36077513,2293.6898941,204.94933075
parisi,711,537.38555832,170.32666523,3.28777645
patrocinio paulista,3943.00000001,2746.6664839,1166.79969553,29.53382058
pauliceia,1924.62590245,665.5817702,1248.57873995,10.4653923
paulinia,24304.23713898,19143.91711473,5120.36524903,39.95477522
paulistania,562.04126591,297.53180619,250.30627959,14.20318013
