city,qt
sao joaquim da barra,46358.79691907
sao jose da bela vista,8376
sao jose do barreiro,4062.98251849
sao jose do rio pardo,51603.86475491
sao jose do rio preto,405931.31352755
sao jose dos campos,628214.99416132
sao lourenco da serra,13872.1496024
sao luis do paraitinga,10337
sao manuel,38177
sao miguel arcanjo,31300.05656632
sao paulo,11209680.8958208
sao pedro,31573
sao pedro do turvo,7158.60856231
sao roque,78482.72576328
sao sebastiao,73732.68365862
sao sebastiao da grama,12060.79341013
sao simao,14313.23479494
sao vicente,330516.95580578
sarapui,9003
sarutaia,3555
sebastianopolis do sul,3031
serra azul,8843
serra negra,26302
serrana,38741.5564051
sertaozinho,109613.17503382
sete barras,12966
severinia,15444
silveiras,5780
socorro,36547
sorocaba,582194.13014715
sud mennucci,7435
sumare,241103.64484069
suzanapolis,3383
suzano,261439.60549359
tabapua,11280.03815975
tabatinga,14360.51860707
taboao da serra,244158.96247295
taciba,5711.15093907
taguai,10807.76007284
taiacu,5894
taiuva,5429.70022793
tambau,22318.06470662
tanabi,24001.93951073
tapirai,7993.69770379
tapiratiba,12732.5158115
taquaral,2714.47384377
taquaritinga,53834.49153435
taquarituba,22211.35000242
taquarivai,5144.12242947
tarabai,6607
taruma,12878
tatui,107022.77358312
taubate,276694.41141248
tejupa,4774.29148113
teodoro sampaio,21318.69767358
terra roxa,8479.00821807
tiete,36698
timburi,2625
torre de pedra,2232.61651477
torrinha,9299.37049144
trabiju,1542
tremembe,37369.41419613
tres fronteiras,5396.97290656
tuiuti,5918.94460251
tupa,62563.4064883
tupi paulista,13035
turiuba,1930
turmalina,1966.24180448
ubarana,5286.01597285
ubatuba,78573.23059428
ubirajara,4418.16668049
uchoa,9452
uniao paulista,1599
urania,8813.1675285
uru,1251
urupes,12688
valentim gentil,10986.78888844
valinhos,106613
valparaiso,20314.61010335
vargem,8797.37524675
vargem grande do sul,39174.93529129
vargem grande paulista,42806.96588025
varzea paulista,106876.67176227
vera cruz,10667.51669725
vinhedo,63349.48064042
viradouro,17262.80690789
vista alegre do alto,6812.42768708
vitoria brasil,1737
votorantim,108648.01187665
votuporanga,84567
zacarias,2335
