city,total,suitable,semi_suitable,inappropriate
timbe do sul,1722.95117497,698.72787098,1016.20789988,8.01540411
timbo,11648.0,5765.73554919,5882.26445081,-
timbo grande,2017.15812557,452.76944764,1457.28564306,107.10303487
tres barras,5260.97839637,2674.57579175,2551.70557942,34.6970252
treviso,1093.99999999,907.30325028,186.69674971,-
treze de maio,2119.92918649,551.87415128,1550.3637602,17.69127501
treze tilias,2084.18797972,1398.84658013,679.99974544,5.34165415
trombudo central,2122.99999999,856.91952352,1266.08047647,-
tubarao,32459.96641969,25000.49219989,7459.474219799998,-
tunapolis,1398.00000001,116.47048372,1245.22302822,36.30648807
turvo,3746.51939972,1638.70071766,2089.07098915,18.74769291
uniao do oeste,881.99999999,26.63737393,837.03971676,18.3229093
urubici,3229.0,1792.0878341,1431.92423828,4.98792762
urupema,792.99999999,168.33476154,610.8154925,13.84974595
urussanga,6451.00000001,4217.81482627,2233.18517374,-
vargeao,1056.99999998,483.32471715,552.99918517,20.67609766
vargem,920.72845983,25.58324412,849.44808638,45.69712933
vargem bonita,1379.82619362,525.38113636,830.34598982,24.09906744
vidal ramos,1933.73701816,218.20126927,1619.95591062,95.57983827
videira,15312.25559792,11397.80038887,3891.45931968,22.99588937
vitor meireles,1487.99999999,399.8078654,1054.90749769,33.2846369
witmarsum,1082.42794019,219.63626819,859.89816216,2.89350984
xanxere,13711.93366896,4088.1113242,9471.193835700002,152.62850906
xavantina,1179.00000001,364.6732814,810.80612929,3.52058932
xaxim,8075.0,3379.07010769,4670.72058653,25.20930578
zortea,1023.74546825,294.2816101,729.46385815,-
