city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
dona ines,5.81,13.29,35.1,40.26,59.09,46.45
fagundes,3.21,10.44,38.65,40.18,58.14,49.38
gurinhem,3.35,5.01,51.77,65.66,44.87,29.33
imaculada,7.22,24.29,31.46,28.25,61.32,47.45
inga,7.06,4.95,59.03,66.21,33.91,28.83
itapororoca,52.36,10.39,26.24,57.32,21.4,32.29
itatuba,7.68,13.69,46.31,50.76,46.01,35.56
jacarau,0.53,5.67,59.97,77.68,39.5,16.65
juazeirinho,0.12,45.84,54.08,23.16,45.8,31.0
juripiranga,0.53,5.54,81.24,87.4,18.22,7.06
lucena,2.09,21.99,72.06,72.15,25.86,5.87
manaira,4.35,12.94,42.28,46.09,53.37,40.97
massaranduba,8.18,23.91,31.18,35.02,60.64,41.07
mogeiro,0.4,0.69,24.88,63.87,74.72,35.44
natuba,1.52,7.83,28.21,37.66,70.27,54.51
nova floresta,3.51,1.23,84.89,89.89,11.61,8.88
paulista,12.04,29.2,25.11,28.32,62.84,42.47
pianco,19.08,46.23,47.29,28.96,33.62,24.81
picui,49.06,59.47,15.19,17.26,35.75,23.27
pilar,2.73,13.51,62.77,66.12,34.5,20.37
pirpirituba,36.44,47.52,42.09,33.13,21.47,19.35
pitimbu,0.51,7.77,71.65,69.19,27.83,23.04
pocinhos,16.49,32.23,39.52,36.17,43.99,31.6
puxinana,10.05,46.18,35.53,43.05,54.42,10.78
remigio,43.82,53.33,26.18,27.43,30,19.24
salgado de sao felix,-,1.16,42.22,54.47,57.78,44.37
santa luzia,54.71,82.91,31.19,9.26,14.1,7.83
sao joao do rio do peixe,16.43,31.9,28.65,25.43,54.91,42.67
sao jose de piranhas,30.49,48.8,22.38,14.94,47.13,36.26
sao sebastiao de lagoa de roca,9.74,22.3,22.42,26.59,67.84,51.1
serido,3.05,0.34,33.2,50.42,63.75,49.24
serra branca,-,22.23,52.39,53.17,47.61,24.6
soledade,26.37,53.26,45.21,24.14,28.43,22.59
sume,3.95,22.93,68.46,54.8,27.6,22.27
taperoa,49.42,54.11,17.06,12.2,33.52,33.69
tavares,15.96,22.92,33.97,40.44,50.07,36.64
teixeira,1.44,30.3,57.82,39.75,40.74,29.95
uirauna,26.48,53.36,40.37,29.47,33.15,17.17
de 20.001 a 50.000 ,26.35,35.34,46.67,43.36,26.98,21.29
alagoa grande,37.2,49.54,37.1,31.03,25.7,19.43
areia,33.51,40.11,21.75,28.97,44.75,30.92
bananeiras,6.28,19.01,32.87,38.94,60.84,42.06
caapora,6.93,11.52,70.73,82.88,22.34,5.6
catole do rocha,18.23,37.35,53.48,41.98,28.28,20.66
conde,1.63,6.26,51.67,70.89,46.7,22.85
esperanca,45.04,60.28,25.67,19.28,29.29,20.44
itabaiana,15.87,30.65,64.31,54.12,19.82,15.23
itaporanga,44.95,60.94,27.96,23.77,27.09,15.29
lagoa seca,11.14,32.66,69.67,41.13,19.19,26.21
mamanguape,0.83,7.53,81.96,75.91,17.21,16.56
mari,0.45,1.31,83.89,84.93,15.66,13.76
monteiro,39.56,55.24,24.05,12.43,36.39,32.34
pedras de fogo,4.15,16.2,55.03,56.97,40.82,26.83
pombal,27.92,59.95,47.01,22.02,25.07,18.03
princesa isabel,30.89,56.55,38.41,20.64,30.7,22.81
queimadas,21.58,42.84,39.01,36.06,39.41,21.1
rio tinto,23.82,18.43,46.73,53.93,29.45,27.64
sao bento,51.6,57.55,30.71,31.82,17.69,10.63
solanea,6.29,17.09,60.25,62.4,33.46,20.52
de 50.001 a 100.000 ,55.7,50.24,34.65,42.91,9.66,6.85
bayeux,49.44,42.13,49.44,57.27,1.12,0.59
cabedelo,77.3,50.98,21.21,48.36,1.49,0.65
cajazeiras,38.03,54.5,41.03,28.38,20.94,17.12
guarabira,48.13,67.11,42.68,30.69,9.19,2.2
sape,13.97,21.5,61.42,61.45,24.62,17.05
sousa,54.45,64.58,27.1,26.65,18.45,8.77
de 100.001 a 500.000 ,62.68,71.4,32.04,26.2,5.28,2.41
campina grande,74.88,83.61,21.76,14.99,3.35,1.4
patos,77.55,84.25,17.47,12.67,4.99,3.08
santa rita,23.84,19.6,64.74,75.23,11.42,5.17
mais de 500.000 ,58.65,68.69,40.65,31.16,0.7,0.15
joao pessoa,58.65,68.69,40.65,31.16,0.7,0.15
