city,2000_responsable_illiterate,2010_responsable_illiterate,2000_inappropriate_residence,2010_inappropriate_residence,2000_responsable_illiterate_and_inappropriate_residence,2010_responsable_illiterate_and_inappropriate_residence
matinha,40.09,26.54,69.15,47.88,30.92,16.57
matoes,65.4,50.77,68.99,35.15,48.84,20.22
mirador,58.87,43.56,67.36,59.93,45.72,31.58
miranda do norte,49.04,34.11,36.67,20.53,23.2,9.56
moncao,53.09,40.02,64.05,32.14,38.67,14.82
paraibano,59.09,43.18,29.73,21.47,20.81,10.74
parnarama,67.95,51.59,69.82,34.85,52.93,22.78
paulo ramos,70.13,55.62,84.16,43.75,62.98,27.99
pedreiras,41.96,28.81,26.07,18.57,14.99,7.78
pedro do rosario,60.32,44.38,95.47,79.26,58.1,36.97
penalva,45.47,32.53,73.8,52.65,38.12,19.94
peritoro,65.03,51.32,70.84,46.55,51.7,28.22
pindare-mirim,43.88,34.54,14.17,14.34,7.33,5.69
pio xii,64.4,48.72,52.93,24.58,39.03,15.11
porto franco,39.63,21.63,30.25,16.28,14.93,5.34
presidente dutra,48.48,32.57,21.44,12.82,13.69,6.15
raposa,40.21,25.15,29.45,10.98,12.93,3.44
riachao,52.46,26.39,56.49,40.82,35.29,13.22
rosario,44.52,31.17,35.47,36.74,20.61,14.15
santa helena,49.01,37.93,75.68,48.39,42.43,22.86
santa luzia do parua,56.48,36.7,59.65,21.48,38.2,10.17
santa quiteria do maranhao,63.84,56.52,72.61,57.98,51.26,36.97
santa rita,49.29,33.58,57.3,38.59,34.52,17.9
sao bento,47.8,34.43,62.7,43.91,37.59,18.53
sao bernardo,61.56,44.04,59.86,46.84,42.53,23.27
sao domingos do maranhao,57.52,39.08,30.41,11.49,21.58,6.0
sao joao dos patos,44.62,32.92,24.3,9.57,14.13,4.75
sao luis gonzaga do maranhao,60.15,49.24,76.71,40.85,50.06,24.78
sao mateus do maranhao,58.23,49.94,50.82,30.17,35.5,18.14
sao vicente ferrer,53.96,39.69,84.84,77.35,50.04,33.46
timbiras,69.54,57.09,62.86,51.93,49.73,34.42
tuntum,59.61,42.06,47.6,20.22,32.85,11.73
turiacu,51.14,40.66,85.63,67.97,46.74,30.72
turilandia,57.4,46.04,98.08,39.57,56.7,21.34
urbano santos,63.04,51.64,76.43,51.09,53.56,30.72
vargem grande,67.93,45.13,64.12,57.46,50.24,30.34
viana,38.61,27.64,72.36,51.27,32.83,18.39
vitoria do mearim,54.44,41.31,47.52,17.81,33.16,10.48
vitorino freire,61.19,46.89,59.99,32.86,41.67,17.96
de 50.001 a 100.000 ,47.49,38.77,41.53,31.71,25.8,16.71
balsas,33.96,19.9,35.45,15.01,17.42,5.78
barra do corda,55.09,40.31,41.31,28.13,28.29,14.91
barreirinhas,62.28,44.94,81.24,60.67,55.1,32.8
buriticupu,60.61,41.51,54.07,28.72,36.38,14.1
chapadinha,58.46,41.22,67.97,49.51,48.05,27.24
coroata,61.69,46.89,46.31,21.33,36.09,13.61
grajau,54.48,35.51,47.39,29.11,32.61,14.04
itapecuru mirim,55.23,39.58,50.89,33.4,35.07,16.49
pinheiro,42.07,31.59,70.98,38.0,36.18,18.14
santa ines,40.38,27.56,11.49,2.67,7.24,1.3
santa luzia,64.58,51.61,54.5,34.0,38.57,21.22
tutoia,65.05,50.04,71.22,44.42,49.8,24.21
ze doca,56.7,36.94,64.55,32.8,43.02,16.02
de 100.001 a 500.000 ,39.95,25.85,22.83,13.52,15.01,6.51
acailandia,41.05,26.87,20.62,7.88,10.92,3.13
bacabal,48.81,34.29,33.43,13.88,23.18,7.33
caxias,54.06,38.58,38.41,23.7,28.76,14.54
codo,61.85,46.83,36.61,24.69,29.43,16.09
imperatriz,27.46,16.2,5.31,4.13,3,1.49
paco do lumiar,18.03,9.93,33.69,18.54,9.77,3.57
sao jose de ribamar,23.49,10.87,28.31,9.01,9.17,1.85
timon,40.34,26.85,19.37,12.12,12.95,5.47
mais de 500.000 ,15.14,8.65,17.36,6.03,4.35,1.33
sao luis,15.14,8.65,17.36,6.03,4.35,1.33
