city,total,regular,military_and_gov,irregular,entrepreneur,employers
uru,944.24,949.42,1947.24,577.29,1191.07,-
urupes,1016.45,877.56,1872.1,601.73,1235.42,10077.84
valentim gentil,900.34,909.44,1231.42,634.48,1183.96,1790.23
valinhos,2138.17,1957.49,4028.43,1103.12,2596.35,5568.86
valparaiso,1214.36,1142.42,1720.11,619.45,1674.72,3781.27
vargem,900.72,885.95,1882.68,619.94,1154.11,2091.05
vargem grande do sul,1074.07,951.13,1830.37,629.14,1524.27,3112.43
vargem grande paulista,1351.77,1263.58,1469.36,868.14,1797.15,3804.36
varzea paulista,1113.05,1139.1,1500.36,758.4,1165.2,2681.09
vera cruz,1041.91,1022.84,1787.88,636.15,1125.4,3508.3
vinhedo,2121.43,1860.6,4308.13,1154.88,2347.04,6629.14
viradouro,1098.04,1024.65,1364.51,599.02,1556.63,3242.73
vista alegre do alto,1099.41,1103.61,1586.75,644.56,1549.56,3591.6
vitoria brasil,850.69,796.4,958.65,486.39,1014.36,4871.17
votorantim,1164.37,1158.71,1676.75,743.01,1190.21,3164.78
votuporanga,1378.68,1114.32,2310.83,719.53,2017.76,4209.03
zacarias,978.11,883.68,1253.35,661.91,889.76,7776.63
