city,total,regular,military_and_gov,irregular,entrepreneur,employers
turiacu,485.72,693.05,781.35,537.35,352.75,979.55
turilandia,398.15,702.09,617.28,416.63,338.17,510
tutoia,529.9,932.44,1106.9,476.59,367.76,642.54
urbano santos,562.41,629.15,772.35,623.92,357.71,1010.37
vargem grande,516.76,835.01,890.99,533.23,374.39,660.18
viana,493.58,820.59,883.12,495.47,386.58,1749.23
vila nova dos martirios,614.84,647.39,1800,519.35,627.1,2989.79
vitoria do mearim,540.67,818.91,743.67,405.25,474,1069.91
vitorino freire,480.07,815.78,1096.39,372.59,381.48,1333.57
ze doca,574.74,770.46,881.59,541.12,496.36,1698.66
