city,total,regular,military_and_gov,irregular,entrepreneur,employers
santo antonio de lisboa,404.69,770.51,1125.75,308.98,380.2,8000
santo antonio dos milagres,484.26,719.88,694.92,416.75,270.03,-
santo inacio do piaui,443.64,785.73,717.24,313.17,353.19,-
sao braz do piaui,450.69,719.88,-,345.14,405.94,-
sao felix do piaui,444.99,640.49,1314.51,347.9,291.37,-
sao francisco de assis do piaui,535.78,616.9,991.17,358.93,509.8,1612.19
sao francisco do piaui,478.51,605.43,983.72,322.54,291.47,2367.86
sao goncalo do gurgueia,669.89,757.98,2625.26,540.31,376.51,2262
sao goncalo do piaui,555.91,781.93,1042.14,412.87,260.2,-
sao joao da canabrava,399.32,654.1,1503.03,291.99,340.06,510
sao joao da fronteira,459.83,755.98,-,337.99,349.34,197.25
sao joao da serra,571.69,735.03,904.13,356.76,607.9,-
sao joao da varjota,556.16,808.81,1683.38,363.7,547.72,-
sao joao do arraial,330.97,744.7,742.68,272.92,185.79,531.62
sao joao do piaui,705.99,1013.96,1299.35,389.93,666.61,3590
sao jose do divino,389.21,737.21,862.6,251.84,280.57,1225.37
sao jose do peixe,473.37,680.21,961.37,284.08,345.21,1773.75
sao jose do piaui,365.78,719.98,785.05,255.23,327.78,839.15
sao juliao,648,1316.42,951.46,355.42,540.37,-
sao lourenco do piaui,507.15,686.56,750.79,371.64,422.16,5000
sao luis do piaui,404.17,571.69,435.65,262.43,341.55,-
sao miguel da baixa grande,612.73,704.14,839.57,361.85,544.52,505.91
sao miguel do fidalgo,493.15,689.86,-,345.55,524.3,-
sao miguel do tapuio,481.31,755.66,631.19,430.4,337.68,2464.6
sao pedro do piaui,556.45,792.18,911.72,389.21,382.38,2676.7
sao raimundo nonato,721.59,764.6,2224.23,477.94,676.77,2330
sebastiao barros,468.64,1013.29,643.56,383.06,510.72,202.99
sebastiao leal,778.82,677.63,1093.85,592.1,938.7,10000
sigefredo pacheco,401.69,773.37,786.65,293.78,312.53,100
simoes,438.39,830.29,889,307.28,418.5,1284.36
simplicio mendes,701.12,988.43,2663.66,382.81,628.19,4000.26
socorro do piaui,551.09,1127.7,798.09,315.88,516.27,1500
sussuapara,470.06,653.68,612.35,385.94,423.16,4000
tamboril do piaui,466.83,697.55,647.95,487.05,295.72,500
tanque do piaui,313.77,532.27,753.01,283.11,177.61,1020
teresina,1192.48,1080.09,3092.46,634.56,1028.5,4815.55
uniao,539.12,677.62,856.91,418.52,450.61,1504.61
urucui,812.71,828.73,1210.06,562.78,866.51,5753
valenca do piaui,636.76,759.08,1110.91,518.85,500.28,1559
varzea branca,439.42,814.25,1126.06,372.39,254.19,510
varzea grande,583.43,783.78,1707.6,406.7,378.45,6000
vera mendes,367.11,642.86,864.1,242.77,209.39,5000
vila nova do piaui,453.34,807.72,1298.94,350.83,240.66,542.33
wall ferraz,423.62,783.16,-,404.66,224.13,191.65
