city,total,married,separated,divorced,widow,single
senador canedo,40953,14728,583,1009,1469,23164
serranopolis,5137,1852,96,86,196,2907
silvania,16577,7580,226,202,801,7768
simolandia,4884,1528,33,49,208,3066
sitio d'abadia,2111,642,0,0,75,1394
taquaral de goias,2997,1549,81,31,178,1158
teresina de goias,1949,289,8,9,29,1615
terezopolis de goias,4011,1714,94,97,159,1948
tres ranchos,2324,1014,48,49,140,1073
trindade,65152,25706,1508,1402,2831,33704
trombas,2780,1339,25,42,163,1211
turvania,4253,1954,86,55,203,1955
turvelandia,2809,1085,66,10,64,1585
uirapuru,2415,1093,27,13,65,1218
uruacu,27185,9661,531,314,1386,15294
uruana,11505,5162,214,118,656,5354
urutai,2580,1136,31,39,103,1271
valparaiso de goias,72471,23984,1471,1406,1781,43829
varjao,2878,1606,37,4,151,1080
vianopolis,9087,3914,201,81,433,4459
vicentinopolis,4819,1975,89,61,186,2509
vila boa,2459,644,27,23,84,1681
vila propicio,3499,1490,41,31,113,1825
