city,2000_suitable,2010_suitable,2000_semi_suitable,2010_semi_suitable,2000_inappropriate,2010_inappropriate
mercedes,2.01,14.18,59.18,68.98,38.81,16.84
nova cantu,0.55,12.96,50.71,50.7,48.74,36.33
nova esperanca do sudoeste,8.33,2.64,18.73,66.35,72.94,31.01
nova fatima,2.93,1.84,81.18,88.69,15.88,9.47
nova olimpia,4.76,3.9,82.27,91.0,12.97,5.1
nova santa rosa,1.21,3.2,62.4,91.15,36.39,5.66
nova tebas,4.12,3.7,50.5,57.19,45.38,39.12
ouro verde do oeste,0.34,23.26,67.43,63.86,32.24,12.87
paula freitas,11.93,22.84,35.73,51.78,52.34,25.38
paulo frontin,13.97,14.26,36.79,56.81,49.24,28.93
perobal,1.13,1.59,63.75,79.49,35.11,18.93
perola d'oeste,11.02,28.1,49.09,55.61,39.89,16.29
pinhalao,13.27,7.25,47.09,67.72,39.64,25.03
pranchita,22.61,58.95,38.9,38.32,38.49,2.73
quatigua,78.95,81.82,12.85,12.52,8.2,5.66
quinta do sol,2.84,2.56,73.6,83.77,23.56,13.67
renascenca,34.71,44.3,29.24,23.76,36.05,31.94
reserva do iguacu,26.1,35.62,31.24,36.87,42.66,27.51
rondon,21.21,50.32,54.35,41.58,24.44,8.1
rosario do ivai,24.32,35.92,28.27,38.16,47.4,25.92
sabaudia,1.18,2.41,71.91,79.97,26.91,17.63
salto do itarare,16.84,21.41,49.42,55.71,33.74,22.88
santa cruz de monte castelo,6.56,3.41,74,79.85,19.44,16.74
santa isabel do ivai,28.43,42.89,50.32,45.1,21.25,12.01
santana do itarare,0.44,1.79,65.49,67.92,34.07,30.29
santo inacio,30.65,36.32,50.28,51.9,19.08,11.78
sao carlos do ivai,1.47,10.46,90.44,85.73,8.09,3.81
sao joao do caiua,31.91,38.47,56.95,56.77,11.14,4.77
sao jorge do ivai,28.05,82.26,54.46,8.84,17.49,8.9
sao jorge do patrocinio,4.13,1.46,79.01,96.43,16.86,2.11
sao jorge d'oeste,14.9,26.35,49.35,56.87,35.75,16.78
sao jose da boa vista,33.66,46.55,22.57,23.23,43.77,30.21
sao pedro do iguacu,0.31,1.09,62.12,80.33,37.57,18.58
sao sebastiao da amoreira,12.13,2.56,70.59,88.4,17.28,9.04
sao tome,8.2,1.89,68.85,86.75,22.95,11.35
sapopema,26.35,39.86,37.31,35.12,36.34,25.01
saudade do iguacu,10.67,1.69,44.8,69.8,44.53,28.5
sertaneja,0.21,17.79,87.04,76.58,12.75,5.63
tapira,9.92,8.22,55.09,76.67,34.99,15.11
tomazina,16.89,31.31,31.66,36.77,51.46,31.93
tunas do parana,7.28,3.96,51.38,88.29,41.35,7.75
tuneiras do oeste,0.54,4.79,67.67,77.67,31.78,17.55
tupassi,0.13,14.32,76.98,74.12,22.89,11.57
ventania,1.23,13.2,71.76,69.5,27.01,17.3
vera cruz do oeste,15.75,41.85,60.29,39.17,23.96,18.98
vere,13.9,19.97,33.92,50.7,52.19,29.34
vitorino,2.68,31.57,61.24,58.16,36.08,10.27
xambre,3.13,9.71,65.11,66.55,31.76,23.74
de 10.001 a 20.000 ,23.63,35.1,49.07,48.18,27.29,16.72
alto parana,39.33,56.58,44.05,31.6,16.62,11.82
alto piquiri,1.71,29.5,87.2,60.91,11.09,9.59
alvorada do sul,14.74,3.83,70.52,78.14,14.74,18.03
ampere,22.51,52.16,48.32,38.72,29.17,9.11
antonina,62.75,67.54,32.37,29.62,4.88,2.84
araruna,61.21,18.36,19.24,63.94,19.54,17.7
assai,37.34,48.98,38.84,39.3,23.81,11.72
balsa nova,21.39,70.12,66.15,27.44,12.47,2.44
barbosa ferraz,22.48,33.41,55.89,54.44,21.63,12.15
bela vista do paraiso,36.55,43.2,56.53,52.9,6.92,3.9
bituruna,42.1,52.88,21.78,22.22,36.12,24.9
bocaiuva do sul,37.74,41.15,43.47,48.21,18.79,10.64
cafelandia,46.72,64.12,34.43,24.93,18.85,10.94
campina da lagoa,1.6,1.98,73.03,79.98,25.37,18.04
candido de abreu,11.05,17.82,28.99,35.32,59.96,46.87
candoi,2.42,17.88,37.63,44.01,59.95,38.11
cantagalo,8.68,27.93,55.71,51.04,35.61,21.02
capanema,6.36,27.81,60.45,63.11,33.19,9.08
