city,2000_total,2010_total,2000_15_to_24_years,2010_15_to_24_years,2000_25_to_59_years,2010_25_to_59_years,2000_60_to_more_years,2010_60_to_more_years
manoel ribas,16.47,13.66,3.26,2.75,16.53,12.42,44.78,34.24
mariluz,23.41,17.46,5.79,1.72,22.45,14.84,57.13,47.16
marmeleiro,12.04,8.37,2.49,1.33,11.48,6.43,33.2,24.78
matelandia,10.5,6.73,1.52,1.38,9.74,5.6,34.52,19.79
missal,7.77,5.6,1.7,1.3,7.85,4.89,19.12,12.32
moreira sales,19.7,15.83,4.06,1.74,17.4,12.7,49.09,40.04
morretes,8.82,6.77,2.78,1.95,8.22,5.76,21.82,16.42
nova aurora,12.78,5.01,1.99,1.27,11,3.01,40.72,16.06
nova laranjeiras,17.09,12.68,4.92,1.65,16.89,11.09,44.02,37.16
nova londrina,11.6,8.53,1.77,1.16,9.56,5.17,40.97,31.73
nova prata do iguacu,15.16,10.19,2.78,1.15,14.51,8.28,43.9,29.05
palmital,19.71,14.36,5.44,1.91,21.71,12.77,47.58,39.35
paraiso do norte,15.27,9.16,2.23,0.98,13.16,6.35,43.44,32.81
paranacity,14.38,10.85,2.83,1.39,12.4,7.92,44.11,37.86
peabiru,15.27,10.42,2.41,1.5,14.31,8.05,41.54,30.64
perola,14.82,8.68,1.49,0.65,12.12,5.49,40,26.23
pien,6.51,4.21,1.87,1.13,5.9,3.13,24.62,16.31
planalto,10.78,9.39,2.16,1.29,10.15,7.84,27.24,22.93
porecatu,12.14,9.42,1.79,1.14,10.99,6.25,37.32,29.38
primeiro de maio,16.54,10.48,2.28,0.93,14.42,7.84,45.31,28.46
quatro barras,7.15,4.73,1.18,0.73,7.19,3.63,27.08,20.08
querencia do norte,21.33,15.36,4.97,1.52,22.02,13.16,55.63,45.32
quitandinha,11.54,7.11,2.56,1.35,9.47,4.98,38.88,23.5
realeza,11,7.87,2.3,1.0,9.62,6.29,33.81,22.51
reboucas,9.7,6.85,1.52,1.0,8.62,5.42,30.19,21.15
ribeirao claro,13.06,7.45,2.06,1.16,10.61,5.16,36.56,21.33
ribeirao do pinhal,20.35,15.38,3.36,0.76,20.75,12.76,46.35,39.19
rio azul,6.57,4.17,1.4,1.84,4.84,2.87,23.87,13.48
rio bonito do iguacu,17.06,10.86,7.3,1.4,18.45,10.01,44.83,32.9
roncador,18.6,15.55,3.86,1.84,18.39,13.08,49.53,41.76
salto do lontra,15.97,9.73,3.41,1.38,15.1,8.0,44.03,29.72
santa fe,12.93,8.68,1.64,0.73,10.08,5.35,41.24,30.66
santa izabel do oeste,14.84,9.78,3.96,1.54,13.39,7.99,38.55,28.06
santa maria do oeste,19.51,14.44,4.94,1.69,21.28,13.13,49.67,40.37
santa mariana,18.45,13.7,3.26,1.75,16.66,10.17,45.11,34.57
santa tereza do oeste,13.75,7.44,2.79,1.16,13.29,5.89,44.66,27.25
santo antonio do sudoeste,15.09,11.66,3.93,1.85,14.44,9.37,38.67,33.46
sao jeronimo da serra,26.39,17.23,7.36,3.29,27.56,15.54,55.19,41.27
sao joao,12.51,7.63,1.85,0.96,10.08,4.88,38.74,24.07
sao joao do ivai,22.27,16.22,4.42,1.73,21.19,13.54,54.12,38.54
sao joao do triunfo,11.15,7.84,3.43,1.46,11.09,6.96,30.54,24.66
sao pedro do ivai,15.78,10.7,2.46,1.17,14.75,8.39,46.44,33.66
senges,14.37,8.43,3.84,1.28,14.33,7.24,41.94,28.78
sertanopolis,11.94,6.82,1.77,0.66,10.41,4.51,35.97,22.51
siqueira campos,13.26,8.8,1.57,0.79,11.07,6.01,40.77,29.38
tamarana,22.74,15.25,6.45,4.31,22.44,12.71,60.28,43.79
tapejara,15.05,11.77,2.02,1.59,13.29,8.78,48.76,40.75
teixeira soares,9.37,5.5,2.97,1.41,8.66,4.33,27.49,17.73
terra boa,15.33,8.67,2.12,0.9,13.15,5.8,44.73,28.36
terra rica,15.98,10.74,3.46,1.58,13.22,7.43,44.86,33.4
terra roxa,14.37,10.05,2.17,1.05,11.91,6.8,42.95,31.27
tibagi,17.44,12.13,4.06,1.39,17.76,10.49,46.14,37.43
tijucas do sul,13.32,8.59,2.44,1.37,12.28,7.05,39.66,25.12
tres barras do parana,16.71,12.44,3.91,1.45,16.87,10.93,44.23,33.66
turvo,15.44,12.29,4.67,1.44,16.02,11.16,42.14,37.56
urai,16.15,11.07,2.43,0.86,13.78,7.54,43.45,30.67
wenceslau braz,15.55,10.96,3.01,1.42,13.8,7.71,43.89,34.06
de 20.001 a 50.000 ,11.3,7.98,2.48,1.21,10.25,6.12,35.13,25.53
altonia,16.77,10.18,1.61,0.66,14.28,6.89,45.18,30.13
andira,14.28,10.11,2.7,1.01,12.73,7.39,42.29,29.13
arapoti,10.95,7.68,2.58,1.38,9.95,5.68,39.57,29.37
assis chateaubriand,12.93,8.13,1.68,0.71,10.44,5.43,40.81,24.54
astorga,11.96,8.06,1.72,0.65,9.43,4.88,39.4,27.33
bandeirantes,12.92,9.07,2.19,1.27,11.49,6.66,39.28,27.5
cambara,11.83,8.59,1.69,1.14,10.02,6.05,34.36,25.57
campina grande do sul,7.81,6.03,1.9,1.04,7.31,4.81,34.56,25.9
campo magro,9.7,6.17,2.79,1.04,9.25,4.88,36.87,25.66
colorado,11.93,8.84,1.62,1.09,9.76,5.4,41.45,31.48
cornelio procopio,10.61,6.72,1.64,0.85,9.05,4.65,33.16,20.48
coronel vivida,11.9,8.2,2.11,1.2,9.89,5.21,38.43,27.31
cruzeiro do oeste,15.94,12.56,3.09,1.44,13.69,9.11,44.83,35.85
dois vizinhos,9.84,6.52,1.82,0.76,8.38,4.89,37.38,24.79
goioere,13.83,10.64,2.32,1.32,12.47,7.47,41.87,33.56
guaira,12.58,9.5,2.66,1.66,11.39,7.0,38.48,30.22
guaratuba,7.9,5.4,2.62,1.24,7.63,4.68,23.1,14.25
ibaiti,18.15,11.59,3.3,1.3,17.11,9.48,48.22,33.42
ibipora,11.2,7.44,1.66,1.13,9.03,4.67,40.02,27.13
imbituva,7.2,5.84,1.37,1.04,6.92,5.25,23.46,18.13
itaperucu,15.82,10.79,3.62,1.37,16.74,9.15,61.05,50.1
ivaipora,16.75,11.57,2.68,1.33,14.76,8.08,45.68,33.89
jacarezinho,12.34,9.04,2.4,1.48,11.38,7.03,36.01,27.64
jaguariaiva,10.57,6.9,2.47,1.27,9.33,5.12,39.76,27.58
jandaia do sul,11.47,7.33,2.21,0.93,9.2,5.32,34.33,20.6
lapa,8.57,5.67,1.95,1.16,7.68,4.13,28.08,19.27
laranjeiras do sul,12.04,8.47,3.72,1.15,11.29,7.13,33.53,25.52
loanda,12.37,8.25,1.73,0.87,10.04,5.83,39.97,27.65
mandaguari,11.77,7.32,1.47,0.74,10.03,4.82,37.26,23.95
mandirituba,10.25,6.63,2.12,0.96,8.78,4.91,35.56,23.25
marechal candido rondon,4.35,3.84,1.02,0.91,3.6,2.84,14.11,11.76
