city,quantity
natalandia,1159
natercia,1056
nazareno,1997
nepomuceno,6404
ninheira,2475
nova belem,1187
nova era,6159
nova lima,21223
nova modica,1359
nova ponte,2838
nova porteirinha,2598
nova resende,2719
nova serrana,8812
nova uniao,1611
novo cruzeiro,9465
novo oriente de minas,3009
novorizonte,1499
olaria,552
olhos-d'agua,1373
olimpio noronha,562
oliveira,9663
oliveira fortes,520
onca de pitangui,730
oratorios,1535
orizania,1329
ouro branco,11690
ouro fino,7205
ouro preto,22011
ouro verde de minas,2134
padre carvalho,1920
padre paraiso,5365
pai pedro,1800
paineiras,1257
pains,2011
paiva,426
palma,1714
palmopolis,2822
papagaios,3345
para de minas,21004
paracatu,25372
paraguacu,4881
paraisopolis,4451
paraopeba,6521
passa quatro,3889
passa tempo,2098
passabem,541
passa-vinte,559
passos,27157
patis,1888
patos de minas,37085
patrocinio,21448
patrocinio do muriae,1188
paula candido,2405
paulistas,1579
pavao,2897
pecanha,4846
pedra azul,7915
pedra bonita,2243
pedra do anta,983
pedra do indaia,929
pedra dourada,507
pedralva,3304
pedras de maria da cruz,3305
pedrinopolis,916
pedro leopoldo,17152
pedro teixeira,380
pequeri,843
pequi,1082
perdigao,1429
perdizes,3320
perdoes,4992
periquito,2174
pescador,1388
piau,651
piedade de caratinga,1260
piedade de ponte nova,1263
piedade do rio grande,1293
piedade dos gerais,955
pimenta,1845
pingo-d'agua,1086
pintopolis,2478
piracema,1637
pirajuba,776
piranga,4444
pirangucu,1156
piranguinho,2005
pirapetinga,2517
pirapora,17935
pirauba,2830
pitangui,6350
piumhi,7193
planura,2206
poco fundo,3181
pocos de caldas,36964
pocrane,2374
pompeu,7451
ponte nova,16378
ponto chique,1266
ponto dos volantes,3171
porteirinha,12123
porto firme,2177
pote,4822
pouso alegre,32188
pouso alto,1560
prados,1586
prata,6287
pratapolis,2147
pratinha,677
presidente bernardes,1395
presidente juscelino,1508
presidente kubitschek,967
presidente olegario,4831
prudente de morais,2829
quartel geral,714
queluzito,339
raposos,4702
raul soares,6184
recreio,2579
reduto,1384
resende costa,2660
resplendor,4544
ressaquinha,1175
riachinho,2629
riacho dos machados,3204
ribeirao das neves,74609
ribeirao vermelho,1000
rio acima,2117
rio casca,4116
rio do prado,1732
rio doce,720
rio espera,1466
rio manso,1083
rio novo,2248
rio paranaiba,2809
rio pardo de minas,8210
rio piracicaba,4194
rio pomba,4285
rio preto,1308
rio vermelho,4310
ritapolis,1280
rochedo de minas,510
rodeiro,1260
romaria,1059
rosario da limeira,1114
rubelita,3104
rubim,3135
sabara,37033
sabinopolis,4871
sacramento,6192
salinas,11394
salto da divisa,2242
santa barbara,8286
santa barbara do leste,1804
santa barbara do monte verde,590
santa barbara do tugurio,1083
santa cruz de minas,2009
santa cruz de salinas,1747
santa cruz do escalvado,1607
santa efigenia de minas,1466
santa fe de minas,1278
santa helena de minas,1840
santa juliana,2230
santa luzia,55285
santa margarida,2917
santa maria de itabira,3266
santa maria do salto,1728
santa maria do suacui,4535
santa rita de caldas,1902
santa rita de ibitipoca,836
santa rita de jacutinga,1190
santa rita de minas,1424
santa rita do itueto,1338
santa rita do sapucai,8951
santa rosa da serra,784
santa vitoria,4018
santana da vargem,1815
santana de cataguases,783
santana de pirapama,2208
santana do deserto,1204
santana do garambeu,550
santana do jacare,1153
santana do manhuacu,2150
santana do paraiso,5339
santana do riacho,1122
santana dos montes,924
santo antonio do amparo,4585
santo antonio do aventureiro,912
santo antonio do grama,1346
santo antonio do itambe,1337
santo antonio do jacinto,3979
santo antonio do monte,5886
santo antonio do retiro,2136
santo antonio do rio abaixo,517
santo hipolito,1119
santos dumont,12650
sao bento abade,1057
sao bras do suacui,861
sao domingos das dores,1378
sao domingos do prata,4943
sao felix de minas,1027
sao francisco,18214
sao francisco de paula,1653
sao francisco de sales,1435
sao francisco do gloria,1309
sao geraldo,1905
sao geraldo da piedade,1586
sao geraldo do baixio,851
sao goncalo do abaete,1571
sao goncalo do para,2007
sao goncalo do rio abaixo,2322
sao goncalo do rio preto,1060
sao goncalo do sapucai,6003
sao gotardo,7501
sao joao batista do gloria,1644
sao joao da lagoa,1365
sao joao da mata,724
sao joao da ponte,8441
sao joao das missoes,3431
sao joao del rei,22017
sao joao do manhuacu,2186
sao joao do manteninha,1237
sao joao do oriente,2411
sao joao do pacui,1156
sao joao do paraiso,7173
sao joao evangelista,4859
sao joao nepomuceno,6174
sao joaquim de bicas,5537
sao jose da barra,1880
sao jose da lapa,4707
sao jose da safira,1242
sao jose da varginha,1041
sao jose do alegre,969
sao jose do divino,1216
sao jose do goiabal,1820
sao jose do jacuri,1895
sao jose do mantimento,625
sao lourenco,10433
sao miguel do anta,1716
sao pedro da uniao,1228
sao pedro do suacui,1872
sao pedro dos ferros,2763
sao romao,2609
sao roque de minas,1154
sao sebastiao da bela vista,1098
sao sebastiao da vargem alegre,832
sao sebastiao do anta,1227
sao sebastiao do maranhao,3209
sao sebastiao do oeste,1075
sao sebastiao do paraiso,15840
sao sebastiao do rio preto,499
sao sebastiao do rio verde,464
sao thome das letras,1571
sao tiago,2486
sao tomas de aquino,1778
sao vicente de minas,1836
sapucai-mirim,1411
sardoa,1405
sarzedo,4933
sem-peixe,1017
senador amaral,1282
senador cortes,533
senador firmino,1825
senador jose bento,476
senador modestino goncalves,1860
senhora de oliveira,1172
senhora do porto,835
senhora dos remedios,2413
sericita,1530
seritinga,463
serra azul de minas,1320
serra da saudade,244
serra do salitre,2415
serra dos aimores,2729
serrania,1938
serranopolis de minas,1247
serranos,539
serro,6825
sete lagoas,59438
setubinha,2961
silveirania,626
silvianopolis,1499
simao pereira,623
simonesia,4032
sobralia,1748
soledade de minas,1248
tabuleiro,1222
taiobeiras,8299
taparuba,860
tapira,947
tapirai,414
taquaracu de minas,868
tarumirim,4011
teixeiras,3055
teofilo otoni,40317
timoteo,24729
tiradentes,1475
tiros,1768
