city,total,regular,military_and_gov,irregular,entrepreneur,employers
manoel ribas,1157.9,952.95,2630.9,595.71,1087.2,4885.82
marechal candido rondon,1460.71,1036.69,1843.67,702.51,1263.62,8399.27
maria helena,816.71,747.28,1214.05,557.45,976.74,3421.64
marialva,1153,1009.3,1642.73,665.89,1409.62,3718.09
marilandia do sul,842.94,849.44,3139.23,511.61,1055.97,3514.69
marilena,685.88,786.86,1012.53,521.36,655.69,1384.88
mariluz,774.54,795.86,1291.17,481.83,888.41,1489.64
maringa,1672.72,1294.4,2759.41,1003.1,1962.44,4883.45
mariopolis,1164.7,894.94,1788.27,492.1,1714.21,2941.58
maripa,1036.03,943.87,1544.98,605.83,1151.18,3134.8
marmeleiro,1064.35,941.16,1605.75,528.73,1045.32,4997.33
marquinho,611.98,774.87,1309.49,359.56,635.38,4339.28
marumbi,938.23,1118.24,1883.4,506.83,1068.16,4000
matelandia,1061.82,971.33,1681.42,671.81,1093.82,6964.7
matinhos,1160.01,1061.5,1754.17,726.66,1080.67,3123.28
mato rico,526.59,627.31,806.23,360.73,575.4,1500
maua da serra,974.24,895.57,1266.91,502.11,1741.13,1922.77
medianeira,1297.37,1020.45,2730.03,633.13,1696.83,3666.08
mercedes,994.54,886.86,1183.34,695.79,1115.15,2046.96
mirador,875.41,748.24,1010.16,552.48,1835.63,-
miraselva,866.98,834.8,1249.92,583.73,1197.81,1804.09
missal,1019.21,857.62,1351.52,644.76,1158.68,2502.24
moreira sales,864.44,833.05,1668.89,479.47,1061.3,1754.48
morretes,1009.65,979.97,1734.07,534.05,1039.63,5810.67
munhoz de melo,855.72,758.57,1754.99,601.41,1070.02,1284.81
nossa senhora das gracas,861.49,889.43,1213.88,593.28,865.72,1810.16
nova alianca do ivai,856.76,801.11,1429.81,488.53,1071.6,1573.8
nova america da colina,736.88,800.41,1536.02,530.49,686.57,4405.57
nova aurora,1300.75,912.05,1159.77,643.29,1321.71,13434.17
nova cantu,715.9,850.18,1619.39,368.18,819.21,2725.68
nova esperanca,966.34,889.29,1762.81,680.86,939.27,2904.92
nova esperanca do sudoeste,1042.97,813.41,1496,576.36,1382.82,3304.87
nova fatima,846.59,893.07,2056.74,499.01,940.29,1852.34
nova laranjeiras,724.45,948.44,1189.76,505.73,657.55,1950.77
nova londrina,1036.86,946.7,1287.5,507.25,1300.48,3286.83
nova olimpia,863.22,749.99,1812.95,629.35,1044.33,2287.86
nova prata do iguacu,949.96,830.68,1461.27,543.51,1069.32,2509.95
nova santa barbara,854.44,743.94,1323.61,428.97,1404.12,1631.07
nova santa rosa,1040.74,884.49,1807.44,640.62,1197.64,2653.33
nova tebas,699.12,1022.83,1215.97,373.98,641.02,1526.07
novo itacolomi,793.1,913.47,814.46,578.32,833.38,2825.17
ortigueira,743.71,859.27,1294.85,459.49,659.21,4442.65
ourizona,1045.73,880.16,1835.02,981.96,1281.21,2613.26
ouro verde do oeste,936.01,860.92,1803.6,614.95,1330.9,1331.92
paicandu,953.22,881.81,1194.06,657.08,1101.25,5403.62
palmas,1066.18,931.4,1862.76,562.7,1580.23,3932.42
palmeira,1329.42,947.69,1879.49,571.76,1964.28,3575.46
palmital,731,843.43,1872.83,454.12,731.31,2117.08
palotina,1300.52,1077.41,2036.06,607.36,1999.27,3007.19
paraiso do norte,1169.55,992.93,1366.53,604.41,1165.14,5676.01
paranacity,954.61,925.36,1286.91,513.84,1398.24,2500
paranagua,1321.31,1223.26,2164.68,814.13,1475.1,5079.46
paranapoema,893.25,870.73,2978.96,445.05,1085.03,1500
paranavai,1263.78,1040.22,2162.36,665.15,1384.74,4531.42
pato bragado,1140.59,748.74,1587.5,534.18,1519.87,5190.99
pato branco,1465.15,1196.47,2898.6,729.65,1970.61,4389.79
paula freitas,885.72,871.29,1188.01,491.13,997.78,5864.93
paulo frontin,879.28,967.29,964.23,677.34,689.01,7471.85
peabiru,1255.38,947.49,1911.91,533.88,1466.8,16449.35
perobal,890.55,816.24,1121.77,666.05,1102.5,6433.64
perola,837.56,770.18,1937.42,589.82,952.71,2006.56
perola d'oeste,834.53,964.09,1411.35,465.07,786.46,1400.19
pien,834.91,889.97,1467.06,577.68,791.4,2317.25
pinhais,1418,1186.47,2576.67,798.32,1619.42,9127.64
pinhal de sao bento,679.86,690.48,1250.63,381.04,638.75,2982.96
pinhalao,779.47,842.37,1430.3,423.72,741.99,6763.37
pinhao,859.03,1017.57,1609.2,452.1,761.5,3949.06
pirai do sul,1268.17,1051.62,2313.54,594.16,1569.53,12866.22
piraquara,955.96,947.58,1824.99,607.32,1032.21,2454.62
pitanga,1008.13,1048.34,2506.36,526.67,890.44,3431.77
pitangueiras,738.46,728.46,1099.34,526.03,885.35,1887.18
planaltina do parana,856.67,881.43,973.3,504.58,1168.78,3305.15
planalto,808.4,857.09,1591.06,488.92,764.79,2218.4
ponta grossa,1408.31,1219.35,3017.49,689.35,1481.66,5457.72
pontal do parana,1102.48,1158.82,1798.98,626.25,1087.12,2664.94
porecatu,1071.09,1057.95,2226.66,593.35,1434.07,3081.88
porto amazonas,972.79,878.8,1847.59,487.27,993.66,4354.89
porto barreiro,754.45,859.39,1330,498.45,797.32,150
porto rico,907.6,959.1,984.1,530.44,802.37,13159.8
porto vitoria,823.1,834.72,2007.62,520.34,861.5,2573.87
prado ferreira,1105.4,819.37,2283.71,520.09,2026.03,4690.48
pranchita,1159.51,921.27,1363.45,467.96,1551.45,3894.89
presidente castelo branco,996.83,827.18,1418.17,611.58,1612.03,1876.68
primeiro de maio,953.89,882.36,1179.58,545.75,1405.69,2286.75
prudentopolis,754.87,939.02,1606.98,484.76,620.24,2402.04
quarto centenario,1340.18,844.89,1669.63,475.88,3279.31,1095.25
quatigua,929.85,846.87,1564.72,494.93,1383.62,2556.64
quatro barras,1310.69,1125.55,2084.63,854.94,1879.15,5119.19
quatro pontes,1597.13,939.43,1512.35,670.17,2457.85,4281.37
quedas do iguacu,892.74,980.19,1596.87,523.33,850.02,1929.13
querencia do norte,740.5,840.58,1298.42,464.79,573.32,4099.46
quinta do sol,872.1,874.81,1639.92,559.11,827.17,2825.56
quitandinha,752.94,855.51,1113.77,576.37,622.53,5244.45
ramilandia,785.85,784.45,840.37,550.44,824.56,3485.93
rancho alegre,951.53,795.04,2078.79,500.66,908.43,4772.88
rancho alegre d'oeste,840.87,786.35,1047.13,608.29,860.13,3416.45
realeza,983.77,972.22,1465.1,589.13,1090.93,2312.76
